feature,dir_prefix,padding,init,task,task_type,main_metric,head,mode,subject,fold,seed,n_train,n_val,n_test,brain_model,brain_init,brain_padding,video,best_lr,val_main,test_auroc,test_auprc,test_bal_acc,test_main
Phase2_A,n/a,n/a,n/a,A_binary,binary,AUROC,trained,pooled,pool,1,0,3335,1100,1100,brain_jepa,resting,zero,clip_pretrained,0.0003,0.7752620967741937,0.8092103494623657,0.8044787015186472,0.7116599462365591,0.8092103494623657
Phase2_A,n/a,n/a,n/a,A_binary,binary,AUROC,trained,pooled,pool,1,1,3335,1100,1100,brain_jepa,resting,zero,clip_pretrained,0.0001,0.7881048387096774,0.8262836021505376,0.8405876657648287,0.7363575268817204,0.8262836021505376
Phase2_A,n/a,n/a,n/a,A_binary,binary,AUROC,trained,pooled,pool,1,2,3335,1100,1100,brain_jepa,resting,zero,clip_pretrained,0.0001,0.7962163978494624,0.8416565860215053,0.8449102853909296,0.7661962365591398,0.8416565860215053
Phase2_A,n/a,n/a,n/a,A_binary,binary,AUROC,trained,pooled,pool,2,0,3325,1110,1100,brain_jepa,resting,zero,clip_pretrained,0.0003,0.7673942678820728,0.7699663978494624,0.7942514273340011,0.6944556451612903,0.7699663978494624
Phase2_A,n/a,n/a,n/a,A_binary,binary,AUROC,trained,pooled,pool,2,1,3325,1110,1100,brain_jepa,resting,zero,clip_pretrained,0.0001,0.7725186827625852,0.8001344086021505,0.8345694006951687,0.7383736559139785,0.8001344086021505
Phase2_A,n/a,n/a,n/a,A_binary,binary,AUROC,trained,pooled,pool,2,2,3325,1110,1100,brain_jepa,resting,zero,clip_pretrained,0.0001,0.7830368727929703,0.8171975806451612,0.8425440678433582,0.7457661290322581,0.8171975806451612
Phase2_A,n/a,n/a,n/a,A_binary,binary,AUROC,trained,pooled,pool,3,0,3310,1115,1110,brain_jepa,resting,zero,clip_pretrained,0.0001,0.8370612244897959,0.7143401494621007,0.7546851840422348,0.6256220744025622,0.7143401494621007
Phase2_A,n/a,n/a,n/a,A_binary,binary,AUROC,trained,pooled,pool,3,1,3310,1115,1110,brain_jepa,resting,zero,clip_pretrained,0.001,0.8422530612244897,0.7258733678245872,0.74871705992025,0.6597684158659769,0.7258733678245872
Phase2_A,n/a,n/a,n/a,A_binary,binary,AUROC,trained,pooled,pool,3,2,3310,1115,1110,brain_jepa,resting,zero,clip_pretrained,0.0003,0.8339461224489797,0.7439402151597273,0.7889101674561276,0.6648189209164819,0.7439402151597273
Phase2_A,n/a,n/a,n/a,A_binary,binary,AUROC,trained,pooled,pool,4,0,3310,1110,1115,brain_jepa,resting,zero,clip_pretrained,0.0001,0.7761838624338625,0.8562742857142858,0.8840258708835852,0.7664163265306122,0.8562742857142858
Phase2_A,n/a,n/a,n/a,A_binary,binary,AUROC,trained,pooled,pool,4,1,3310,1110,1115,brain_jepa,resting,zero,clip_pretrained,0.001,0.7709755291005291,0.849985306122449,0.853077332822083,0.785330612244898,0.849985306122449
Phase2_A,n/a,n/a,n/a,A_binary,binary,AUROC,trained,pooled,pool,4,2,3310,1110,1115,brain_jepa,resting,zero,clip_pretrained,0.0003,0.7776322751322752,0.8514742857142857,0.8705815614013666,0.7743102040816326,0.8514742857142857
Phase2_A,n/a,n/a,n/a,A_binary,binary,AUROC,trained,pooled,pool,5,0,3325,1100,1110,brain_jepa,resting,zero,clip_pretrained,0.0001,0.8331720430107526,0.7493518518518519,0.7916312223119168,0.6816964285714285,0.7493518518518519
Phase2_A,n/a,n/a,n/a,A_binary,binary,AUROC,trained,pooled,pool,5,1,3325,1100,1110,brain_jepa,resting,zero,clip_pretrained,0.0003,0.8376579301075269,0.7579993386243387,0.794535015078194,0.676984126984127,0.7579993386243387
Phase2_A,n/a,n/a,n/a,A_binary,binary,AUROC,trained,pooled,pool,5,2,3325,1100,1110,brain_jepa,resting,zero,clip_pretrained,0.0003,0.8470026881720429,0.7650231481481481,0.8000810932894813,0.6798115079365079,0.7650231481481481
