feature,dir_prefix,padding,init,task,task_type,main_metric,head,mode,subject,fold,seed,n_train,n_val,n_test,brain_model,brain_init,brain_padding,video,best_lr,val_main,test_pearson_r,test_mae,test_mse,test_rmse,test_main
Phase2_A,n/a,n/a,n/a,A_reg,regression,pearson_r,trained,pooled,pool,1,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0003,0.3979538708475703,0.5033219209106008,0.6530323624610901,0.6907384991645813,0.8311067916727557,0.5033219209106008
Phase2_A,n/a,n/a,n/a,A_reg,regression,pearson_r,trained,pooled,pool,1,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0003,0.37535396227647366,0.447972491694145,0.7159827947616577,0.7998493909835815,0.8943429940372886,0.447972491694145
Phase2_A,n/a,n/a,n/a,A_reg,regression,pearson_r,trained,pooled,pool,1,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0001,0.39885375148928937,0.4728354328962041,0.6678990721702576,0.7173288464546204,0.8469526825358193,0.4728354328962041
Phase2_A,n/a,n/a,n/a,A_reg,regression,pearson_r,trained,pooled,pool,2,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0001,0.4077509016386429,0.36166408552097096,0.6857764720916748,0.7835110425949097,0.8851615912334367,0.36166408552097096
Phase2_A,n/a,n/a,n/a,A_reg,regression,pearson_r,trained,pooled,pool,2,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0003,0.4107415809594872,0.36619530587242366,0.68418288230896,0.763168454170227,0.873595131723058,0.36619530587242366
Phase2_A,n/a,n/a,n/a,A_reg,regression,pearson_r,trained,pooled,pool,2,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.001,0.41082558237490474,0.39834057967571823,0.6759729385375977,0.7460048198699951,0.8637157054667902,0.39834057967571823
Phase2_A,n/a,n/a,n/a,A_reg,regression,pearson_r,trained,pooled,pool,3,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0003,0.5073417851399995,0.3952834166221795,0.6910640597343445,0.7455349564552307,0.8634436614251277,0.3952834166221795
Phase2_A,n/a,n/a,n/a,A_reg,regression,pearson_r,trained,pooled,pool,3,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0003,0.5069547577308242,0.39044604837789265,0.7197214365005493,0.8181405067443848,0.9045111976887764,0.39044604837789265
Phase2_A,n/a,n/a,n/a,A_reg,regression,pearson_r,trained,pooled,pool,3,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0001,0.4927032388434326,0.35229331163168354,0.7113612294197083,0.8133062720298767,0.9018349472214285,0.35229331163168354
Phase2_A,n/a,n/a,n/a,A_reg,regression,pearson_r,trained,pooled,pool,4,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0001,0.4058302448894153,0.4567915425482738,0.697319507598877,0.7400405406951904,0.860256090181982,0.4567915425482738
Phase2_A,n/a,n/a,n/a,A_reg,regression,pearson_r,trained,pooled,pool,4,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0001,0.4218138922894106,0.49958296746406283,0.6469829082489014,0.6753702759742737,0.8218091481446733,0.49958296746406283
Phase2_A,n/a,n/a,n/a,A_reg,regression,pearson_r,trained,pooled,pool,4,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0001,0.41521676868188706,0.48299371229977694,0.701734185218811,0.7871803045272827,0.8872318211872716,0.48299371229977694
Phase2_A,n/a,n/a,n/a,A_reg,regression,pearson_r,trained,pooled,pool,5,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0001,0.4692533523557314,0.41362587958229824,0.6490895748138428,0.6534854769706726,0.8083844858547649,0.41362587958229824
Phase2_A,n/a,n/a,n/a,A_reg,regression,pearson_r,trained,pooled,pool,5,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.001,0.48028398274614403,0.41510926795789516,0.6538169384002686,0.6595873236656189,0.8121498160226467,0.41510926795789516
Phase2_A,n/a,n/a,n/a,A_reg,regression,pearson_r,trained,pooled,pool,5,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.001,0.460534599621778,0.405480625334782,0.7075103521347046,0.7891203761100769,0.8883244768158068,0.405480625334782
