feature,dir_prefix,padding,init,task,task_type,main_metric,head,mode,subject,fold,seed,n_train,n_val,n_test,brain_model,brain_init,brain_padding,video,best_lr,val_main,test_macro_auroc,test_macro_f1,test_micro_f1,test_main
Phase2_A,n/a,n/a,n/a,Cat34_multilabel,multilabel,macro_auroc,trained,pooled,pool,1,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.001,0.8656057469837736,0.8774851293004245,0.4047379551870708,0.5699758484809966,0.8774851293004245
Phase2_A,n/a,n/a,n/a,Cat34_multilabel,multilabel,macro_auroc,trained,pooled,pool,1,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0001,0.8645270382400865,0.8719280840771241,0.3819313323489321,0.5654443254817987,0.8719280840771241
Phase2_A,n/a,n/a,n/a,Cat34_multilabel,multilabel,macro_auroc,trained,pooled,pool,1,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.001,0.8682443623365264,0.8777426880821135,0.4306648691472159,0.5903241771838654,0.8777426880821135
Phase2_A,n/a,n/a,n/a,Cat34_multilabel,multilabel,macro_auroc,trained,pooled,pool,2,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.001,0.8361186698784051,0.8559861118803777,0.41994485032164747,0.569237429649329,0.8559861118803777
Phase2_A,n/a,n/a,n/a,Cat34_multilabel,multilabel,macro_auroc,trained,pooled,pool,2,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.001,0.8281782633413621,0.8641520916343903,0.41619064906404013,0.5643589102724319,0.8641520916343903
Phase2_A,n/a,n/a,n/a,Cat34_multilabel,multilabel,macro_auroc,trained,pooled,pool,2,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.001,0.8318507331657422,0.8603588570772205,0.413788837427641,0.552636674627251,0.8603588570772205
Phase2_A,n/a,n/a,n/a,Cat34_multilabel,multilabel,macro_auroc,trained,pooled,pool,3,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.001,0.8428359492193341,0.8393196466249977,0.3979126070354864,0.5796896129821624,0.8393196466249977
Phase2_A,n/a,n/a,n/a,Cat34_multilabel,multilabel,macro_auroc,trained,pooled,pool,3,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.001,0.8457210051762927,0.8288825530852931,0.41362225188895074,0.5737248840803709,0.8288825530852931
Phase2_A,n/a,n/a,n/a,Cat34_multilabel,multilabel,macro_auroc,trained,pooled,pool,3,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0003,0.8489591049282166,0.8260540477721151,0.3595066664035062,0.5459299525218468,0.8260540477721151
Phase2_A,n/a,n/a,n/a,Cat34_multilabel,multilabel,macro_auroc,trained,pooled,pool,4,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.001,0.8743376477135144,0.8523709587250131,0.39771522242067936,0.5553418661714968,0.8523709587250131
Phase2_A,n/a,n/a,n/a,Cat34_multilabel,multilabel,macro_auroc,trained,pooled,pool,4,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.001,0.875256112343655,0.8472366390334101,0.4066387221026055,0.5791189821622659,0.8472366390334101
Phase2_A,n/a,n/a,n/a,Cat34_multilabel,multilabel,macro_auroc,trained,pooled,pool,4,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.001,0.870786633832996,0.840896020876934,0.4308018173510686,0.5863841912903426,0.840896020876934
Phase2_A,n/a,n/a,n/a,Cat34_multilabel,multilabel,macro_auroc,trained,pooled,pool,5,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.001,0.872257851074358,0.8616085747619883,0.441406764218228,0.5864186046511628,0.8616085747619883
Phase2_A,n/a,n/a,n/a,Cat34_multilabel,multilabel,macro_auroc,trained,pooled,pool,5,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.001,0.8730760482059957,0.8709482708249913,0.43944428645139444,0.6026293971337202,0.8709482708249913
Phase2_A,n/a,n/a,n/a,Cat34_multilabel,multilabel,macro_auroc,trained,pooled,pool,5,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.001,0.8700857547167994,0.8643245754480475,0.40752566428555564,0.5689306452665231,0.8643245754480475
