feature,dir_prefix,padding,init,task,task_type,main_metric,head,mode,subject,fold,seed,n_train,n_val,n_test,brain_model,brain_init,brain_padding,video,best_lr,val_main,test_pearson_r_mean,test_top1_acc,test_main
Phase2_A,n/a,n/a,n/a,Cat34_soft,soft_dist,mean_pearson_r,trained,pooled,pool,1,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0001,0.584949693402292,0.6036324771303045,0.5006864988558353,0.6036324771303045
Phase2_A,n/a,n/a,n/a,Cat34_soft,soft_dist,mean_pearson_r,trained,pooled,pool,1,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0001,0.5895753830009244,0.6020202477808502,0.525858123569794,0.6020202477808502
Phase2_A,n/a,n/a,n/a,Cat34_soft,soft_dist,mean_pearson_r,trained,pooled,pool,1,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0003,0.5872534584314312,0.6087099113267564,0.5167048054919908,0.6087099113267564
Phase2_A,n/a,n/a,n/a,Cat34_soft,soft_dist,mean_pearson_r,trained,pooled,pool,2,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.001,0.5856223713765408,0.5868817662689771,0.5167048054919908,0.5868817662689771
Phase2_A,n/a,n/a,n/a,Cat34_soft,soft_dist,mean_pearson_r,trained,pooled,pool,2,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0003,0.5784640053405523,0.5920087769105785,0.5029748283752861,0.5920087769105785
Phase2_A,n/a,n/a,n/a,Cat34_soft,soft_dist,mean_pearson_r,trained,pooled,pool,2,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0003,0.5727149538489922,0.5856635547617672,0.5308924485125858,0.5856635547617672
Phase2_A,n/a,n/a,n/a,Cat34_soft,soft_dist,mean_pearson_r,trained,pooled,pool,3,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0003,0.5773433825787141,0.5778544255901168,0.4810068649885583,0.5778544255901168
Phase2_A,n/a,n/a,n/a,Cat34_soft,soft_dist,mean_pearson_r,trained,pooled,pool,3,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0003,0.5778024722660821,0.5757202013106203,0.4965675057208238,0.5757202013106203
Phase2_A,n/a,n/a,n/a,Cat34_soft,soft_dist,mean_pearson_r,trained,pooled,pool,3,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0003,0.5789168754238303,0.5733586476661062,0.47276887871853546,0.5733586476661062
Phase2_A,n/a,n/a,n/a,Cat34_soft,soft_dist,mean_pearson_r,trained,pooled,pool,4,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.001,0.5983689772610972,0.5764651173701606,0.5098398169336384,0.5764651173701606
Phase2_A,n/a,n/a,n/a,Cat34_soft,soft_dist,mean_pearson_r,trained,pooled,pool,4,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0003,0.6071413143918052,0.5818477724812806,0.5377574370709383,0.5818477724812806
Phase2_A,n/a,n/a,n/a,Cat34_soft,soft_dist,mean_pearson_r,trained,pooled,pool,4,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0003,0.5956857529660915,0.5877208755113795,0.5473684210526316,0.5877208755113795
Phase2_A,n/a,n/a,n/a,Cat34_soft,soft_dist,mean_pearson_r,trained,pooled,pool,5,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0003,0.6049818848225119,0.5878968820788879,0.494279176201373,0.5878968820788879
Phase2_A,n/a,n/a,n/a,Cat34_soft,soft_dist,mean_pearson_r,trained,pooled,pool,5,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.001,0.6038548345902418,0.5822391197352357,0.5130434782608696,0.5822391197352357
Phase2_A,n/a,n/a,n/a,Cat34_soft,soft_dist,mean_pearson_r,trained,pooled,pool,5,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0003,0.6040362376570733,0.5924266860600113,0.5070938215102975,0.5924266860600113
