feature,dir_prefix,padding,init,task,task_type,main_metric,head,mode,subject,fold,seed,n_train,n_val,n_test,brain_model,brain_init,brain_padding,video,best_lr,val_main,test_auroc,test_auprc,test_bal_acc,test_main
Phase2_A,n/a,n/a,n/a,V_binary,binary,AUROC,trained,pooled,pool,1,0,3390,1130,1135,brain_jepa,resting,zero,clip_pretrained,0.0001,0.9658568158497121,0.9759036898061288,0.9780318446086037,0.9053314571607254,0.9759036898061288
Phase2_A,n/a,n/a,n/a,V_binary,binary,AUROC,trained,pooled,pool,1,1,3390,1130,1135,brain_jepa,resting,zero,clip_pretrained,0.0003,0.9668450548583156,0.9832676672920575,0.9858116770637901,0.9189571607254534,0.9832676672920575
Phase2_A,n/a,n/a,n/a,V_binary,binary,AUROC,trained,pooled,pool,1,2,3390,1130,1135,brain_jepa,resting,zero,clip_pretrained,0.0001,0.9659831083747731,0.9810881801125704,0.981321685406535,0.9275250156347717,0.9810881801125704
Phase2_A,n/a,n/a,n/a,V_binary,binary,AUROC,trained,pooled,pool,2,0,3395,1130,1130,brain_jepa,resting,zero,clip_pretrained,0.0001,0.9665132408575032,0.972275633435946,0.9771685161012262,0.9159523245717893,0.972275633435946
Phase2_A,n/a,n/a,n/a,V_binary,binary,AUROC,trained,pooled,pool,2,1,3395,1130,1130,brain_jepa,resting,zero,clip_pretrained,0.001,0.9664738335435057,0.9540642513221248,0.964331890379581,0.8670218643934011,0.9540642513221248
Phase2_A,n/a,n/a,n/a,V_binary,binary,AUROC,trained,pooled,pool,2,2,3395,1130,1130,brain_jepa,resting,zero,clip_pretrained,0.0001,0.968297604035309,0.972705028021154,0.976110367911313,0.9090693819559554,0.972705028021154
Phase2_A,n/a,n/a,n/a,V_binary,binary,AUROC,trained,pooled,pool,3,0,3395,1130,1130,brain_jepa,resting,zero,clip_pretrained,0.0003,0.954501891551072,0.9683385876418664,0.9713212297467393,0.9250788146279949,0.9683385876418664
Phase2_A,n/a,n/a,n/a,V_binary,binary,AUROC,trained,pooled,pool,3,1,3395,1130,1130,brain_jepa,resting,zero,clip_pretrained,0.001,0.9610529634300126,0.9625567465321564,0.9666174425401137,0.9075189155107188,0.9625567465321564
Phase2_A,n/a,n/a,n/a,V_binary,binary,AUROC,trained,pooled,pool,3,2,3395,1130,1130,brain_jepa,resting,zero,clip_pretrained,0.001,0.9586601513240857,0.9623045397225725,0.9617844909030674,0.882203656998739,0.9623045397225725
Phase2_A,n/a,n/a,n/a,V_binary,binary,AUROC,trained,pooled,pool,4,0,3395,1130,1130,brain_jepa,resting,zero,clip_pretrained,0.0003,0.9800315258511979,0.9500551702395965,0.958087652163595,0.8630044136191677,0.9500551702395965
Phase2_A,n/a,n/a,n/a,V_binary,binary,AUROC,trained,pooled,pool,4,1,3395,1130,1130,brain_jepa,resting,zero,clip_pretrained,0.0001,0.9771973518284994,0.9543820933165195,0.9611795598535771,0.8874211853720051,0.9543820933165195
Phase2_A,n/a,n/a,n/a,V_binary,binary,AUROC,trained,pooled,pool,4,2,3395,1130,1130,brain_jepa,resting,zero,clip_pretrained,0.0001,0.9755769230769231,0.9506305170239595,0.9552510272587813,0.8778846153846154,0.9506305170239595
Phase2_A,n/a,n/a,n/a,V_binary,binary,AUROC,trained,pooled,pool,5,0,3390,1135,1130,brain_jepa,resting,zero,clip_pretrained,0.0001,0.9795184490306442,0.967547288776797,0.9721891062896282,0.9057849936948298,0.967547288776797
Phase2_A,n/a,n/a,n/a,V_binary,binary,AUROC,trained,pooled,pool,5,1,3390,1135,1130,brain_jepa,resting,zero,clip_pretrained,0.0001,0.9790462789243277,0.9699810844892812,0.9724364550394236,0.9015447667087011,0.9699810844892812
Phase2_A,n/a,n/a,n/a,V_binary,binary,AUROC,trained,pooled,pool,5,2,3390,1135,1130,brain_jepa,resting,zero,clip_pretrained,0.0003,0.9841494684177611,0.9805989911727617,0.9846450890156078,0.92156368221942,0.9805989911727617
