feature,dir_prefix,padding,init,task,task_type,main_metric,head,mode,subject,fold,seed,n_train,n_val,n_test,brain_model,brain_init,brain_padding,video,best_lr,val_main,test_pearson_r,test_mae,test_mse,test_rmse,test_main
Phase2_A,n/a,n/a,n/a,V_reg,regression,pearson_r,trained,pooled,pool,1,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0003,0.7732776738114796,0.7779500826064041,0.9826471209526062,1.5963270664215088,1.2634583754210142,0.7779500826064041
Phase2_A,n/a,n/a,n/a,V_reg,regression,pearson_r,trained,pooled,pool,1,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0003,0.777989115946145,0.8028876538092371,1.1587457656860352,2.0518972873687744,1.4324445145864375,0.8028876538092371
Phase2_A,n/a,n/a,n/a,V_reg,regression,pearson_r,trained,pooled,pool,1,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.001,0.7658355994755475,0.8003507337831977,1.0060944557189941,1.588950276374817,1.2605357100752113,0.8003507337831977
Phase2_A,n/a,n/a,n/a,V_reg,regression,pearson_r,trained,pooled,pool,2,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.001,0.7597048715588244,0.7758685995456425,1.0312705039978027,1.869456171989441,1.3672805754450843,0.7758685995456425
Phase2_A,n/a,n/a,n/a,V_reg,regression,pearson_r,trained,pooled,pool,2,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0001,0.7536426836447419,0.7708194723653783,1.0175766944885254,1.7250844240188599,1.3134246929378401,0.7708194723653783
Phase2_A,n/a,n/a,n/a,V_reg,regression,pearson_r,trained,pooled,pool,2,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.001,0.7456782440533978,0.7643767783803241,1.0513052940368652,1.788175344467163,1.3372267363716457,0.7643767783803241
Phase2_A,n/a,n/a,n/a,V_reg,regression,pearson_r,trained,pooled,pool,3,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0003,0.7552467411122876,0.7359551404111428,1.2237476110458374,2.453071117401123,1.566228309475066,0.7359551404111428
Phase2_A,n/a,n/a,n/a,V_reg,regression,pearson_r,trained,pooled,pool,3,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0001,0.7560043439002158,0.7360315747976145,1.0773944854736328,1.865196943283081,1.3657221325302893,0.7360315747976145
Phase2_A,n/a,n/a,n/a,V_reg,regression,pearson_r,trained,pooled,pool,3,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0001,0.7554545805325716,0.7334128034687417,1.070265531539917,1.8397696018218994,1.3563810680711743,0.7334128034687417
Phase2_A,n/a,n/a,n/a,V_reg,regression,pearson_r,trained,pooled,pool,4,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0001,0.7766413229951663,0.750568786218129,1.0760021209716797,1.7737021446228027,1.3318040939352915,0.750568786218129
Phase2_A,n/a,n/a,n/a,V_reg,regression,pearson_r,trained,pooled,pool,4,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0001,0.7734006345648303,0.7578417746836408,1.0543889999389648,1.7910715341567993,1.3383092072300777,0.7578417746836408
Phase2_A,n/a,n/a,n/a,V_reg,regression,pearson_r,trained,pooled,pool,4,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0001,0.7706095817508114,0.7601336524206075,1.0388798713684082,1.7725379467010498,1.331366946675878,0.7601336524206075
Phase2_A,n/a,n/a,n/a,V_reg,regression,pearson_r,trained,pooled,pool,5,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.001,0.7994662130809189,0.7654739921119891,1.0173627138137817,1.662267804145813,1.2892896509884089,0.7654739921119891
Phase2_A,n/a,n/a,n/a,V_reg,regression,pearson_r,trained,pooled,pool,5,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0003,0.7969173978556512,0.7519681198480637,1.0524287223815918,1.8521828651428223,1.3609492514942731,0.7519681198480637
Phase2_A,n/a,n/a,n/a,V_reg,regression,pearson_r,trained,pooled,pool,5,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0003,0.7925313701681489,0.7589495658203624,1.00220787525177,1.6853160858154297,1.2981972445724224,0.7589495658203624
