feature,dir_prefix,padding,init,task,task_type,main_metric,head,mode,subject,fold,seed,n_train,n_val,n_test,brain_model,brain_init,brain_padding,video,best_lr,val_main,test_auroc,test_auprc,test_bal_acc,test_main
Phase2_B,n/a,n/a,n/a,A_binary,binary,AUROC,trained,pooled,pool,1,0,3335,1100,1100,brain_jepa,resting,zero,clip_pretrained,0.0001,0.7743783602150538,0.829929435483871,0.8213284617915368,0.7639784946236559,0.829929435483871
Phase2_B,n/a,n/a,n/a,A_binary,binary,AUROC,trained,pooled,pool,1,1,3335,1100,1100,brain_jepa,resting,zero,clip_pretrained,0.0001,0.7637701612903225,0.8239314516129032,0.813735970423501,0.7522849462365591,0.8239314516129032
Phase2_B,n/a,n/a,n/a,A_binary,binary,AUROC,trained,pooled,pool,1,2,3335,1100,1100,brain_jepa,resting,zero,clip_pretrained,0.0003,0.7725974462365592,0.8259912634408602,0.8182094673374722,0.7530577956989247,0.8259912634408602
Phase2_B,n/a,n/a,n/a,A_binary,binary,AUROC,trained,pooled,pool,2,0,3325,1110,1100,brain_jepa,resting,zero,clip_pretrained,0.0003,0.7870378582573704,0.7911391129032258,0.8228147480387404,0.729771505376344,0.7911391129032258
Phase2_B,n/a,n/a,n/a,A_binary,binary,AUROC,trained,pooled,pool,2,1,3325,1110,1100,brain_jepa,resting,zero,clip_pretrained,0.0001,0.7895540773589553,0.7901243279569893,0.8191852946445879,0.7193884408602151,0.7901243279569893
Phase2_B,n/a,n/a,n/a,A_binary,binary,AUROC,trained,pooled,pool,2,2,3325,1110,1100,brain_jepa,resting,zero,clip_pretrained,0.0001,0.7764474008376446,0.8083770161290322,0.8182833996244572,0.7599798387096774,0.8083770161290322
Phase2_B,n/a,n/a,n/a,A_binary,binary,AUROC,trained,pooled,pool,3,0,3310,1115,1110,brain_jepa,resting,zero,clip_pretrained,0.0001,0.8395004081632653,0.7365360926336537,0.7736757003735588,0.6837152007883716,0.7365360926336537
Phase2_B,n/a,n/a,n/a,A_binary,binary,AUROC,trained,pooled,pool,3,1,3310,1115,1110,brain_jepa,resting,zero,clip_pretrained,0.003,0.8309861224489796,0.6753321836248667,0.7021241401248621,0.6174427198817443,0.6753321836248667
Phase2_B,n/a,n/a,n/a,A_binary,binary,AUROC,trained,pooled,pool,3,2,3310,1115,1110,brain_jepa,resting,zero,clip_pretrained,0.001,0.8473338775510204,0.7146062248501273,0.7508159159895418,0.6447647203744764,0.7146062248501273
Phase2_B,n/a,n/a,n/a,A_binary,binary,AUROC,trained,pooled,pool,4,0,3310,1110,1115,brain_jepa,resting,zero,clip_pretrained,0.0001,0.7601818783068783,0.8631608163265305,0.8743187107182098,0.8071755102040816,0.8631608163265305
Phase2_B,n/a,n/a,n/a,A_binary,binary,AUROC,trained,pooled,pool,4,1,3310,1110,1115,brain_jepa,resting,zero,clip_pretrained,0.0001,0.7660780423280424,0.8398530612244899,0.8556807984562511,0.7803918367346938,0.8398530612244899
Phase2_B,n/a,n/a,n/a,A_binary,binary,AUROC,trained,pooled,pool,4,2,3310,1110,1115,brain_jepa,resting,zero,clip_pretrained,0.0003,0.7706712962962963,0.8404702040816328,0.8599463121878196,0.7792081632653061,0.8404702040816328
Phase2_B,n/a,n/a,n/a,A_binary,binary,AUROC,trained,pooled,pool,5,0,3325,1100,1110,brain_jepa,resting,zero,clip_pretrained,0.0001,0.8414012096774194,0.750188492063492,0.7955104175561161,0.6768353174603174,0.750188492063492
Phase2_B,n/a,n/a,n/a,A_binary,binary,AUROC,trained,pooled,pool,5,1,3325,1100,1110,brain_jepa,resting,zero,clip_pretrained,0.0001,0.8326377688172042,0.7520271164021164,0.8002536981780406,0.677876984126984,0.7520271164021164
Phase2_B,n/a,n/a,n/a,A_binary,binary,AUROC,trained,pooled,pool,5,2,3325,1100,1110,brain_jepa,resting,zero,clip_pretrained,0.0001,0.8338810483870968,0.753042328042328,0.7903532536439777,0.6909722222222223,0.753042328042328
