feature,dir_prefix,padding,init,task,task_type,main_metric,head,mode,subject,fold,seed,n_train,n_val,n_test,brain_model,brain_init,brain_padding,video,best_lr,val_main,test_pearson_r,test_mae,test_mse,test_rmse,test_main
Phase2_B,n/a,n/a,n/a,A_reg,regression,pearson_r,trained,pooled,pool,1,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.001,0.3673046302097873,0.4364606327348213,0.6893154382705688,0.7474371790885925,0.8645444922550791,0.4364606327348213
Phase2_B,n/a,n/a,n/a,A_reg,regression,pearson_r,trained,pooled,pool,1,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.003,0.35994716600148813,0.43814229733155585,0.661767840385437,0.7169808149337769,0.8467471965904445,0.43814229733155585
Phase2_B,n/a,n/a,n/a,A_reg,regression,pearson_r,trained,pooled,pool,1,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.003,0.35727972519147233,0.4342246443493707,0.7080590128898621,0.792813777923584,0.8904009085370387,0.4342246443493707
Phase2_B,n/a,n/a,n/a,A_reg,regression,pearson_r,trained,pooled,pool,2,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.003,0.35090624762053757,0.3476610315034243,0.7549760341644287,0.9204866886138916,0.9594199750963556,0.3476610315034243
Phase2_B,n/a,n/a,n/a,A_reg,regression,pearson_r,trained,pooled,pool,2,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.003,0.3696225818647778,0.3412295851438216,0.695013701915741,0.778307318687439,0.8822172740812997,0.3412295851438216
Phase2_B,n/a,n/a,n/a,A_reg,regression,pearson_r,trained,pooled,pool,2,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.003,0.36436037706623203,0.3757134957654813,0.6719120144844055,0.7436738014221191,0.8623652366730231,0.3757134957654813
Phase2_B,n/a,n/a,n/a,A_reg,regression,pearson_r,trained,pooled,pool,3,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.003,0.512721603266904,0.3584955080717229,0.6966539025306702,0.7661852240562439,0.8753200694924366,0.3584955080717229
Phase2_B,n/a,n/a,n/a,A_reg,regression,pearson_r,trained,pooled,pool,3,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.003,0.48034065666821846,0.31939678591280796,0.7465810179710388,0.8889806270599365,0.942857691838984,0.31939678591280796
Phase2_B,n/a,n/a,n/a,A_reg,regression,pearson_r,trained,pooled,pool,3,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.003,0.5212027120018785,0.36033760141052396,0.7055953741073608,0.7932478785514832,0.8906446421280955,0.36033760141052396
Phase2_B,n/a,n/a,n/a,A_reg,regression,pearson_r,trained,pooled,pool,4,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0001,0.4152246795846679,0.4531137034428596,0.6667622923851013,0.7088905572891235,0.8419563868093902,0.4531137034428596
Phase2_B,n/a,n/a,n/a,A_reg,regression,pearson_r,trained,pooled,pool,4,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0001,0.4065260604372156,0.44833538590966526,0.6552810072898865,0.6740057468414307,0.8209785300733696,0.44833538590966526
Phase2_B,n/a,n/a,n/a,A_reg,regression,pearson_r,trained,pooled,pool,4,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0001,0.40478282357323536,0.43550284113231186,0.6665773987770081,0.7265697121620178,0.8523905866221294,0.43550284113231186
Phase2_B,n/a,n/a,n/a,A_reg,regression,pearson_r,trained,pooled,pool,5,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0001,0.4275005135074732,0.4105961851627704,0.6819183826446533,0.7389076948165894,0.8595974027511887,0.4105961851627704
Phase2_B,n/a,n/a,n/a,A_reg,regression,pearson_r,trained,pooled,pool,5,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0001,0.43366820160982655,0.39951818344150114,0.6717334389686584,0.7148640155792236,0.8454963131671384,0.39951818344150114
Phase2_B,n/a,n/a,n/a,A_reg,regression,pearson_r,trained,pooled,pool,5,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.003,0.44483439571632744,0.37503562922937306,0.6835025548934937,0.7222185730934143,0.8498344386369702,0.37503562922937306
