feature,dir_prefix,padding,init,task,task_type,main_metric,head,mode,subject,fold,seed,n_train,n_val,n_test,brain_model,brain_init,brain_padding,video,best_lr,val_main,test_macro_auroc,test_macro_f1,test_micro_f1,test_main
Phase2_B,n/a,n/a,n/a,Cat34_multilabel,multilabel,macro_auroc,trained,pooled,pool,1,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.01,0.8503643817306288,0.86153268191746,0.41111816699996273,0.5740991267986717,0.86153268191746
Phase2_B,n/a,n/a,n/a,Cat34_multilabel,multilabel,macro_auroc,trained,pooled,pool,1,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.01,0.8464300240009992,0.8549653825375647,0.3357977722948443,0.5450588837685612,0.8549653825375647
Phase2_B,n/a,n/a,n/a,Cat34_multilabel,multilabel,macro_auroc,trained,pooled,pool,1,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.01,0.8495680925263415,0.859281774869942,0.33766318370652515,0.5442602040816327,0.859281774869942
Phase2_B,n/a,n/a,n/a,Cat34_multilabel,multilabel,macro_auroc,trained,pooled,pool,2,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.01,0.8252068425657935,0.8535510694296264,0.4180927074472244,0.5628122769450392,0.8535510694296264
Phase2_B,n/a,n/a,n/a,Cat34_multilabel,multilabel,macro_auroc,trained,pooled,pool,2,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.01,0.8340253092325224,0.8533316918358036,0.4059930951119198,0.5557040456809622,0.8533316918358036
Phase2_B,n/a,n/a,n/a,Cat34_multilabel,multilabel,macro_auroc,trained,pooled,pool,2,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.01,0.8308991691274686,0.8506531463191502,0.43785431422429577,0.5568844281507302,0.8506531463191502
Phase2_B,n/a,n/a,n/a,Cat34_multilabel,multilabel,macro_auroc,trained,pooled,pool,3,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.01,0.8376918354155647,0.8360730925553321,0.35606535798113037,0.5522970421648836,0.8360730925553321
Phase2_B,n/a,n/a,n/a,Cat34_multilabel,multilabel,macro_auroc,trained,pooled,pool,3,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.01,0.8212896963309183,0.8192310897437779,0.4087457843587527,0.5558422410615554,0.8192310897437779
Phase2_B,n/a,n/a,n/a,Cat34_multilabel,multilabel,macro_auroc,trained,pooled,pool,3,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.01,0.8323569552847139,0.8338652068237677,0.40763379144240014,0.5644898205763306,0.8338652068237677
Phase2_B,n/a,n/a,n/a,Cat34_multilabel,multilabel,macro_auroc,trained,pooled,pool,4,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.01,0.8668745880416006,0.8371050573662014,0.3919761011998938,0.5614256825075834,0.8371050573662014
Phase2_B,n/a,n/a,n/a,Cat34_multilabel,multilabel,macro_auroc,trained,pooled,pool,4,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.01,0.8637514733282645,0.843951057130783,0.4146942011987246,0.566888045540797,0.843951057130783
Phase2_B,n/a,n/a,n/a,Cat34_multilabel,multilabel,macro_auroc,trained,pooled,pool,4,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.01,0.8639338256981872,0.8273793819544797,0.4134016702645926,0.569358305188824,0.8273793819544797
Phase2_B,n/a,n/a,n/a,Cat34_multilabel,multilabel,macro_auroc,trained,pooled,pool,5,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.01,0.8563164960244426,0.8559391133386572,0.4107192753070681,0.5593147223762864,0.8559391133386572
Phase2_B,n/a,n/a,n/a,Cat34_multilabel,multilabel,macro_auroc,trained,pooled,pool,5,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.01,0.8568322703461225,0.850301701825724,0.3810900153003822,0.5490574535160523,0.850301701825724
Phase2_B,n/a,n/a,n/a,Cat34_multilabel,multilabel,macro_auroc,trained,pooled,pool,5,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.01,0.8594011968584875,0.8503387259942613,0.3936580836019953,0.5562838052815781,0.8503387259942613
