feature,dir_prefix,padding,init,task,task_type,main_metric,head,mode,subject,fold,seed,n_train,n_val,n_test,brain_model,brain_init,brain_padding,video,best_lr,val_main,test_pearson_r_mean,test_top1_acc,test_main
Phase2_B,n/a,n/a,n/a,Cat34_soft,soft_dist,mean_pearson_r,trained,pooled,pool,1,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0001,0.561297420376652,0.5763101741892397,0.49061784897025174,0.5763101741892397
Phase2_B,n/a,n/a,n/a,Cat34_soft,soft_dist,mean_pearson_r,trained,pooled,pool,1,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0001,0.5503584098092543,0.5695530425114604,0.4819221967963387,0.5695530425114604
Phase2_B,n/a,n/a,n/a,Cat34_soft,soft_dist,mean_pearson_r,trained,pooled,pool,1,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0001,0.5541189998942698,0.5721305755986953,0.47185354691075515,0.5721305755986953
Phase2_B,n/a,n/a,n/a,Cat34_soft,soft_dist,mean_pearson_r,trained,pooled,pool,2,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0001,0.5580049786260329,0.5611977294740685,0.4791762013729977,0.5611977294740685
Phase2_B,n/a,n/a,n/a,Cat34_soft,soft_dist,mean_pearson_r,trained,pooled,pool,2,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0001,0.5535568956082316,0.5558515561219213,0.4851258581235698,0.5558515561219213
Phase2_B,n/a,n/a,n/a,Cat34_soft,soft_dist,mean_pearson_r,trained,pooled,pool,2,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.001,0.5542542660116212,0.5575826465779782,0.4604118993135011,0.5575826465779782
Phase2_B,n/a,n/a,n/a,Cat34_soft,soft_dist,mean_pearson_r,trained,pooled,pool,3,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0003,0.5595106633879816,0.5551228811324297,0.4791762013729977,0.5551228811324297
Phase2_B,n/a,n/a,n/a,Cat34_soft,soft_dist,mean_pearson_r,trained,pooled,pool,3,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0001,0.5605199286619433,0.552581878735146,0.4768878718535469,0.552581878735146
Phase2_B,n/a,n/a,n/a,Cat34_soft,soft_dist,mean_pearson_r,trained,pooled,pool,3,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0001,0.5604177268828467,0.551211655110688,0.47368421052631576,0.551211655110688
Phase2_B,n/a,n/a,n/a,Cat34_soft,soft_dist,mean_pearson_r,trained,pooled,pool,4,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0001,0.5646946985454074,0.5641768327695635,0.4965675057208238,0.5641768327695635
Phase2_B,n/a,n/a,n/a,Cat34_soft,soft_dist,mean_pearson_r,trained,pooled,pool,4,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.003,0.5676243776186167,0.5642511973395244,0.48924485125858125,0.5642511973395244
Phase2_B,n/a,n/a,n/a,Cat34_soft,soft_dist,mean_pearson_r,trained,pooled,pool,4,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0001,0.5606987392459721,0.5682809537430593,0.4864988558352403,0.5682809537430593
Phase2_B,n/a,n/a,n/a,Cat34_soft,soft_dist,mean_pearson_r,trained,pooled,pool,5,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0001,0.5720529918195937,0.559961608810655,0.4842105263157895,0.559961608810655
Phase2_B,n/a,n/a,n/a,Cat34_soft,soft_dist,mean_pearson_r,trained,pooled,pool,5,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.003,0.5713889930963324,0.5579819617761124,0.45675057208237985,0.5579819617761124
Phase2_B,n/a,n/a,n/a,Cat34_soft,soft_dist,mean_pearson_r,trained,pooled,pool,5,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,0.0001,0.5728577488090356,0.5506998062335884,0.4691075514874142,0.5506998062335884
