feature,dir_prefix,padding,init,task,task_type,main_metric,head,mode,subject,fold,seed,n_train,n_val,n_test,brain_model,brain_init,brain_padding,video,best_hp,val_main,test_auroc,test_auprc,test_bal_acc,test_main
Phase2_C_brain_only,n/a,n/a,n/a,A_binary,binary,AUROC,linear,pooled,pool,1,0,3335,1100,1100,brain_jepa,resting,zero,clip_pretrained,C=0.01,0.6432661290322581,0.6946774193548387,0.7332428764784369,0.6156586021505376,0.6946774193548387
Phase2_C_brain_only,n/a,n/a,n/a,A_binary,binary,AUROC,linear,pooled,pool,1,1,3335,1100,1100,brain_jepa,resting,zero,clip_pretrained,C=0.01,0.6410651881720429,0.6876276881720429,0.7287407261844531,0.6141801075268818,0.6876276881720429
Phase2_C_brain_only,n/a,n/a,n/a,A_binary,binary,AUROC,linear,pooled,pool,1,2,3335,1100,1100,brain_jepa,resting,zero,clip_pretrained,C=0.01,0.6429267473118279,0.6950974462365591,0.7250793160241031,0.6202620967741935,0.6950974462365591
Phase2_C_brain_only,n/a,n/a,n/a,A_binary,binary,AUROC,linear,pooled,pool,2,0,3325,1110,1100,brain_jepa,resting,zero,clip_pretrained,C=0.1,0.6433242999096658,0.6350907258064517,0.682478650815717,0.5899193548387096,0.6350907258064517
Phase2_C_brain_only,n/a,n/a,n/a,A_binary,binary,AUROC,linear,pooled,pool,2,1,3325,1110,1100,brain_jepa,resting,zero,clip_pretrained,C=0.1,0.6417836905641784,0.6329905913978494,0.6823633199817272,0.5917674731182796,0.6329905913978494
Phase2_C_brain_only,n/a,n/a,n/a,A_binary,binary,AUROC,linear,pooled,pool,2,2,3325,1110,1100,brain_jepa,resting,zero,clip_pretrained,C=0.1,0.6289200952615587,0.6289213709677419,0.6772646256379622,0.5835685483870967,0.6289213709677419
Phase2_C_brain_only,n/a,n/a,n/a,A_binary,binary,AUROC,linear,pooled,pool,3,0,3310,1115,1110,brain_jepa,resting,zero,clip_pretrained,C=0.01,0.6829583673469388,0.6309895705017656,0.679000245843829,0.5910815471791082,0.6309895705017656
Phase2_C_brain_only,n/a,n/a,n/a,A_binary,binary,AUROC,linear,pooled,pool,3,1,3310,1115,1110,brain_jepa,resting,zero,clip_pretrained,C=0.01,0.6778938775510205,0.6264827133119816,0.664448634133864,0.5914757329391476,0.6264827133119816
Phase2_C_brain_only,n/a,n/a,n/a,A_binary,binary,AUROC,linear,pooled,pool,3,2,3310,1115,1110,brain_jepa,resting,zero,clip_pretrained,C=0.01,0.6865665306122448,0.6177777777777778,0.6704370950476066,0.5816949987681694,0.6177777777777778
Phase2_C_brain_only,n/a,n/a,n/a,A_binary,binary,AUROC,linear,pooled,pool,4,0,3310,1110,1115,brain_jepa,resting,zero,clip_pretrained,C=0.1,0.6236441798941799,0.6731363265306122,0.7071540887453633,0.6353714285714286,0.6731363265306122
Phase2_C_brain_only,n/a,n/a,n/a,A_binary,binary,AUROC,linear,pooled,pool,4,1,3310,1110,1115,brain_jepa,resting,zero,clip_pretrained,C=0.1,0.6250661375661376,0.671542857142857,0.6979141107958956,0.6294693877551021,0.671542857142857
Phase2_C_brain_only,n/a,n/a,n/a,A_binary,binary,AUROC,linear,pooled,pool,4,2,3310,1110,1115,brain_jepa,resting,zero,clip_pretrained,C=0.1,0.6334689153439154,0.6750334693877552,0.7115734391579607,0.6328326530612245,0.6750334693877552
Phase2_C_brain_only,n/a,n/a,n/a,A_binary,binary,AUROC,linear,pooled,pool,5,0,3325,1100,1110,brain_jepa,resting,zero,clip_pretrained,C=0.001,0.7039952956989247,0.6192096560846561,0.6686236120994757,0.5892857142857143,0.6192096560846561
Phase2_C_brain_only,n/a,n/a,n/a,A_binary,binary,AUROC,linear,pooled,pool,5,1,3325,1100,1110,brain_jepa,resting,zero,clip_pretrained,C=0.001,0.6970060483870968,0.6188359788359789,0.6610308366313269,0.5840277777777778,0.6188359788359789
Phase2_C_brain_only,n/a,n/a,n/a,A_binary,binary,AUROC,linear,pooled,pool,5,2,3325,1100,1110,brain_jepa,resting,zero,clip_pretrained,C=0.001,0.7054368279569893,0.6200264550264549,0.6710341379540558,0.5881944444444445,0.6200264550264549
