feature,dir_prefix,padding,init,task,task_type,main_metric,head,mode,subject,fold,seed,n_train,n_val,n_test,brain_model,brain_init,brain_padding,video,best_hp,val_main,test_pearson_r,test_mae,test_mse,test_rmse,test_main
Phase2_C_brain_only,n/a,n/a,n/a,A_reg,regression,pearson_r,linear,pooled,pool,1,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.19171381419836564,0.2445519956079778,0.717094361782074,0.8306608200073242,0.9114059578515625,0.2445519956079778
Phase2_C_brain_only,n/a,n/a,n/a,A_reg,regression,pearson_r,linear,pooled,pool,1,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.18147821864697544,0.27300756426862793,0.7121822237968445,0.8176619410514832,0.9042466151728096,0.27300756426862793
Phase2_C_brain_only,n/a,n/a,n/a,A_reg,regression,pearson_r,linear,pooled,pool,1,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.18979609474546333,0.25666218577536704,0.7142374515533447,0.8251098394393921,0.9083555688382122,0.25666218577536704
Phase2_C_brain_only,n/a,n/a,n/a,A_reg,regression,pearson_r,linear,pooled,pool,2,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.22440611655152054,0.17122980073056837,0.7111101150512695,0.8190149664878845,0.9049944566061632,0.17122980073056837
Phase2_C_brain_only,n/a,n/a,n/a,A_reg,regression,pearson_r,linear,pooled,pool,2,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.2105347406154081,0.1658393345138478,0.7116941213607788,0.8209708333015442,0.9060744082588053,0.1658393345138478
Phase2_C_brain_only,n/a,n/a,n/a,A_reg,regression,pearson_r,linear,pooled,pool,2,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.2020862931725791,0.17279640439863275,0.7076901197433472,0.8166698813438416,0.9036978927406224,0.17279640439863275
Phase2_C_brain_only,n/a,n/a,n/a,A_reg,regression,pearson_r,linear,pooled,pool,3,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.26222953448005626,0.2309477032027374,0.7080809473991394,0.7997534275054932,0.8942893421625314,0.2309477032027374
Phase2_C_brain_only,n/a,n/a,n/a,A_reg,regression,pearson_r,linear,pooled,pool,3,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.2500040653555473,0.2164877177585769,0.7101338505744934,0.8068139553070068,0.8982282311901618,0.2164877177585769
Phase2_C_brain_only,n/a,n/a,n/a,A_reg,regression,pearson_r,linear,pooled,pool,3,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.2565446693392168,0.2040926020166296,0.7168431282043457,0.8123586773872375,0.901309423775896,0.2040926020166296
Phase2_C_brain_only,n/a,n/a,n/a,A_reg,regression,pearson_r,linear,pooled,pool,4,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.2056952416701705,0.25132052270600624,0.7071560621261597,0.7742557525634766,0.8799180374122788,0.25132052270600624
Phase2_C_brain_only,n/a,n/a,n/a,A_reg,regression,pearson_r,linear,pooled,pool,4,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.21056515625157202,0.23417285355165518,0.7123260498046875,0.782366156578064,0.8845146446374215,0.23417285355165518
Phase2_C_brain_only,n/a,n/a,n/a,A_reg,regression,pearson_r,linear,pooled,pool,4,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.20982245336062633,0.24699873474180922,0.7095265984535217,0.7763928771018982,0.8811315889819739,0.24699873474180922
Phase2_C_brain_only,n/a,n/a,n/a,A_reg,regression,pearson_r,linear,pooled,pool,5,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.250594401463923,0.21135049869153022,0.6884719729423523,0.7430282235145569,0.8619908488577804,0.21135049869153022
Phase2_C_brain_only,n/a,n/a,n/a,A_reg,regression,pearson_r,linear,pooled,pool,5,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.24718856574205716,0.22714630852316464,0.6866387724876404,0.7364705801010132,0.8581786411354068,0.22714630852316464
Phase2_C_brain_only,n/a,n/a,n/a,A_reg,regression,pearson_r,linear,pooled,pool,5,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.24974823949404001,0.20586684266115896,0.6892197728157043,0.7447772026062012,0.8630047523659422,0.20586684266115896
