feature,dir_prefix,padding,init,task,task_type,main_metric,head,mode,subject,fold,seed,n_train,n_val,n_test,brain_model,brain_init,brain_padding,video,best_hp,val_main,test_macro_auroc,test_macro_f1,test_micro_f1,test_main
Phase2_C_brain_only,n/a,n/a,n/a,Cat34_multilabel,multilabel,macro_auroc,linear,pooled,pool,1,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,C=0.01,0.6578393907192256,0.6677776976236761,0.2647303912554212,0.31048743618265306,0.6677776976236761
Phase2_C_brain_only,n/a,n/a,n/a,Cat34_multilabel,multilabel,macro_auroc,linear,pooled,pool,1,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,C=0.01,0.6588248450693339,0.6730029393275557,0.2668928725228143,0.3135802469135803,0.6730029393275557
Phase2_C_brain_only,n/a,n/a,n/a,Cat34_multilabel,multilabel,macro_auroc,linear,pooled,pool,1,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,C=0.01,0.6557693864314517,0.6741864838273716,0.2668568297934318,0.3143053645116919,0.6741864838273716
Phase2_C_brain_only,n/a,n/a,n/a,Cat34_multilabel,multilabel,macro_auroc,linear,pooled,pool,2,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,C=0.01,0.6466474188983702,0.6708098027954916,0.26352525365962526,0.3139457840002305,0.6708098027954916
Phase2_C_brain_only,n/a,n/a,n/a,Cat34_multilabel,multilabel,macro_auroc,linear,pooled,pool,2,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,C=0.01,0.6493196124026223,0.6702926633621176,0.2642410840958755,0.3160808511865286,0.6702926633621176
Phase2_C_brain_only,n/a,n/a,n/a,Cat34_multilabel,multilabel,macro_auroc,linear,pooled,pool,2,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,C=0.01,0.6435004917930761,0.6711220359300283,0.26296757580615127,0.3134096531093597,0.6711220359300283
Phase2_C_brain_only,n/a,n/a,n/a,Cat34_multilabel,multilabel,macro_auroc,linear,pooled,pool,3,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,C=0.01,0.6661746967001339,0.6453539390091958,0.25778250658701235,0.3083516671904912,0.6453539390091958
Phase2_C_brain_only,n/a,n/a,n/a,Cat34_multilabel,multilabel,macro_auroc,linear,pooled,pool,3,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,C=0.01,0.6631423722643802,0.6404785696797111,0.2558219000566939,0.30734115096008446,0.6404785696797111
Phase2_C_brain_only,n/a,n/a,n/a,Cat34_multilabel,multilabel,macro_auroc,linear,pooled,pool,3,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,C=0.01,0.6648884392994169,0.6439020604341991,0.25588432750837964,0.307186928702011,0.6439020604341991
Phase2_C_brain_only,n/a,n/a,n/a,Cat34_multilabel,multilabel,macro_auroc,linear,pooled,pool,4,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,C=0.01,0.6561223359604533,0.6691153153024304,0.2595419725498112,0.30674206176598523,0.6691153153024304
Phase2_C_brain_only,n/a,n/a,n/a,Cat34_multilabel,multilabel,macro_auroc,linear,pooled,pool,4,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,C=0.01,0.6565906872006809,0.6669725172682873,0.2576291220175357,0.30418938223375414,0.6669725172682873
Phase2_C_brain_only,n/a,n/a,n/a,Cat34_multilabel,multilabel,macro_auroc,linear,pooled,pool,4,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,C=0.01,0.6558121764689918,0.6662540187193753,0.25901226011056905,0.30692052688708304,0.6662540187193753
Phase2_C_brain_only,n/a,n/a,n/a,Cat34_multilabel,multilabel,macro_auroc,linear,pooled,pool,5,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,C=0.01,0.6687716620480147,0.6536796602352135,0.2537422631195818,0.30005720823798626,0.6536796602352135
Phase2_C_brain_only,n/a,n/a,n/a,Cat34_multilabel,multilabel,macro_auroc,linear,pooled,pool,5,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,C=0.01,0.6721621770971944,0.6518704865173092,0.2542367563930103,0.3016929698708752,0.6518704865173092
Phase2_C_brain_only,n/a,n/a,n/a,Cat34_multilabel,multilabel,macro_auroc,linear,pooled,pool,5,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,C=0.01,0.6756722120899359,0.6515032685251062,0.2540051371661329,0.3021242207342415,0.6515032685251062
