feature,dir_prefix,padding,init,task,task_type,main_metric,head,mode,subject,fold,seed,n_train,n_val,n_test,brain_model,brain_init,brain_padding,video,best_hp,val_main,test_pearson_r_mean,test_top1_acc,test_main
Phase2_C_brain_only,n/a,n/a,n/a,Cat34_soft,soft_dist,mean_pearson_r,linear,pooled,pool,1,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.21029688697125026,0.21722173628214658,0.3102974828375286,0.21722173628214658
Phase2_C_brain_only,n/a,n/a,n/a,Cat34_soft,soft_dist,mean_pearson_r,linear,pooled,pool,1,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.2104936828925219,0.21679730388669177,0.30572082379862703,0.21679730388669177
Phase2_C_brain_only,n/a,n/a,n/a,Cat34_soft,soft_dist,mean_pearson_r,linear,pooled,pool,1,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.2100754936147716,0.22194327281718174,0.32219679633867276,0.22194327281718174
Phase2_C_brain_only,n/a,n/a,n/a,Cat34_soft,soft_dist,mean_pearson_r,linear,pooled,pool,2,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.21467155024465095,0.21789695364058906,0.2938215102974828,0.21789695364058906
Phase2_C_brain_only,n/a,n/a,n/a,Cat34_soft,soft_dist,mean_pearson_r,linear,pooled,pool,2,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.21090591505307432,0.220251486756472,0.29244851258581234,0.220251486756472
Phase2_C_brain_only,n/a,n/a,n/a,Cat34_soft,soft_dist,mean_pearson_r,linear,pooled,pool,2,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.21479271571291494,0.21645689477486516,0.28695652173913044,0.21645689477486516
Phase2_C_brain_only,n/a,n/a,n/a,Cat34_soft,soft_dist,mean_pearson_r,linear,pooled,pool,3,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.20874539947514945,0.21256257443389953,0.30983981693363843,0.21256257443389953
Phase2_C_brain_only,n/a,n/a,n/a,Cat34_soft,soft_dist,mean_pearson_r,linear,pooled,pool,3,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.20296894098812793,0.20752227653095212,0.30983981693363843,0.20752227653095212
Phase2_C_brain_only,n/a,n/a,n/a,Cat34_soft,soft_dist,mean_pearson_r,linear,pooled,pool,3,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.205185123508173,0.21149769453000172,0.30709382151029746,0.21149769453000172
Phase2_C_brain_only,n/a,n/a,n/a,Cat34_soft,soft_dist,mean_pearson_r,linear,pooled,pool,4,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.20819984786762202,0.2065717499317919,0.2764302059496567,0.2065717499317919
Phase2_C_brain_only,n/a,n/a,n/a,Cat34_soft,soft_dist,mean_pearson_r,linear,pooled,pool,4,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.2057777414573343,0.20990229940707467,0.271395881006865,0.20990229940707467
Phase2_C_brain_only,n/a,n/a,n/a,Cat34_soft,soft_dist,mean_pearson_r,linear,pooled,pool,4,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.20800965622669101,0.20968533107619436,0.2732265446224256,0.20968533107619436
Phase2_C_brain_only,n/a,n/a,n/a,Cat34_soft,soft_dist,mean_pearson_r,linear,pooled,pool,5,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.22568557326861835,0.20168315954461344,0.2622425629290618,0.20168315954461344
Phase2_C_brain_only,n/a,n/a,n/a,Cat34_soft,soft_dist,mean_pearson_r,linear,pooled,pool,5,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.22640704833264066,0.20279448303102304,0.26819221967963386,0.20279448303102304
Phase2_C_brain_only,n/a,n/a,n/a,Cat34_soft,soft_dist,mean_pearson_r,linear,pooled,pool,5,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.22841570546955642,0.20334150744152468,0.271395881006865,0.20334150744152468
