feature,dir_prefix,padding,init,task,task_type,main_metric,head,mode,subject,fold,seed,n_train,n_val,n_test,brain_model,brain_init,brain_padding,video,best_hp,val_main,test_auroc,test_auprc,test_bal_acc,test_main
Phase2_C_brain_only,n/a,n/a,n/a,V_binary,binary,AUROC,linear,pooled,pool,1,0,3390,1130,1135,brain_jepa,resting,zero,clip_pretrained,C=0.01,0.7072507695950745,0.6904534083802377,0.7114953836997516,0.6304174484052533,0.6904534083802377
Phase2_C_brain_only,n/a,n/a,n/a,V_binary,binary,AUROC,linear,pooled,pool,1,1,3390,1130,1135,brain_jepa,resting,zero,clip_pretrained,C=0.01,0.7111784671244771,0.6893746091307067,0.7132926380736995,0.6262820512820513,0.6893746091307067
Phase2_C_brain_only,n/a,n/a,n/a,V_binary,binary,AUROC,linear,pooled,pool,1,2,3390,1130,1135,brain_jepa,resting,zero,clip_pretrained,C=0.01,0.7050374930933775,0.7004721701063165,0.730395926992816,0.6332317073170732,0.7004721701063165
Phase2_C_brain_only,n/a,n/a,n/a,V_binary,binary,AUROC,linear,pooled,pool,2,0,3395,1130,1130,brain_jepa,resting,zero,clip_pretrained,C=0.01,0.7415699873896595,0.7090820112084616,0.7258839630066198,0.654858315573447,0.7090820112084616
Phase2_C_brain_only,n/a,n/a,n/a,V_binary,binary,AUROC,linear,pooled,pool,2,1,3395,1130,1130,brain_jepa,resting,zero,clip_pretrained,C=0.1,0.7409142496847414,0.7149735575025653,0.728477535756328,0.6631225826821375,0.7149735575025653
Phase2_C_brain_only,n/a,n/a,n/a,V_binary,binary,AUROC,linear,pooled,pool,2,2,3395,1130,1130,brain_jepa,resting,zero,clip_pretrained,C=0.01,0.7386822194199243,0.719033862183282,0.7247566051047023,0.6723577235772358,0.719033862183282
Phase2_C_brain_only,n/a,n/a,n/a,V_binary,binary,AUROC,linear,pooled,pool,3,0,3395,1130,1130,brain_jepa,resting,zero,clip_pretrained,C=0.1,0.7030580075662043,0.7321153846153845,0.7437222625818011,0.6781841109709963,0.7321153846153845
Phase2_C_brain_only,n/a,n/a,n/a,V_binary,binary,AUROC,linear,pooled,pool,3,1,3395,1130,1130,brain_jepa,resting,zero,clip_pretrained,C=1.0,0.6990573770491803,0.7225346784363177,0.7349583511817771,0.6689943253467843,0.7225346784363177
Phase2_C_brain_only,n/a,n/a,n/a,V_binary,binary,AUROC,linear,pooled,pool,3,2,3395,1130,1130,brain_jepa,resting,zero,clip_pretrained,C=0.1,0.7057250945775535,0.7266834804539722,0.7265460039205683,0.6702080706179067,0.7266834804539722
Phase2_C_brain_only,n/a,n/a,n/a,V_binary,binary,AUROC,linear,pooled,pool,4,0,3395,1130,1130,brain_jepa,resting,zero,clip_pretrained,C=0.1,0.7340825977301388,0.7073770491803278,0.7107098887847179,0.6581809583858764,0.7073770491803278
Phase2_C_brain_only,n/a,n/a,n/a,V_binary,binary,AUROC,linear,pooled,pool,4,1,3395,1130,1130,brain_jepa,resting,zero,clip_pretrained,C=0.01,0.7261979823455234,0.7006935687263557,0.6963630054524831,0.6489911727616646,0.7006935687263557
Phase2_C_brain_only,n/a,n/a,n/a,V_binary,binary,AUROC,linear,pooled,pool,4,2,3395,1130,1130,brain_jepa,resting,zero,clip_pretrained,C=0.01,0.7392717528373266,0.701046658259773,0.7026493392552524,0.6467055485498108,0.701046658259773
Phase2_C_brain_only,n/a,n/a,n/a,V_binary,binary,AUROC,linear,pooled,pool,5,0,3390,1135,1130,brain_jepa,resting,zero,clip_pretrained,C=0.1,0.7045684803001876,0.7174558638083228,0.7245035497699774,0.6655107187894073,0.7174558638083228
Phase2_C_brain_only,n/a,n/a,n/a,V_binary,binary,AUROC,linear,pooled,pool,5,1,3390,1135,1130,brain_jepa,resting,zero,clip_pretrained,C=1.0,0.6971419637273295,0.7243474148802017,0.7230410045404991,0.6691677175283732,0.7243474148802017
Phase2_C_brain_only,n/a,n/a,n/a,V_binary,binary,AUROC,linear,pooled,pool,5,2,3390,1135,1130,brain_jepa,resting,zero,clip_pretrained,C=1.0,0.7081550969355848,0.728499369482976,0.7354440897994423,0.6832440100882724,0.728499369482976
