feature,dir_prefix,padding,init,task,task_type,main_metric,head,mode,subject,fold,seed,n_train,n_val,n_test,brain_model,brain_init,brain_padding,video,best_hp,val_main,test_pearson_r,test_mae,test_mse,test_rmse,test_main
Phase2_C_brain_only,n/a,n/a,n/a,V_reg,regression,pearson_r,linear,pooled,pool,1,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.28726148096619397,0.26315613382038805,1.590518832206726,3.6292951107025146,1.9050708938783656,0.26315613382038805
Phase2_C_brain_only,n/a,n/a,n/a,V_reg,regression,pearson_r,linear,pooled,pool,1,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.28384834506753975,0.26221908692831164,1.5883599519729614,3.6313562393188477,1.9056117756035325,0.26221908692831164
Phase2_C_brain_only,n/a,n/a,n/a,V_reg,regression,pearson_r,linear,pooled,pool,1,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.2835096040545544,0.2810028540516214,1.5803476572036743,3.585681676864624,1.8935896273650803,0.2810028540516214
Phase2_C_brain_only,n/a,n/a,n/a,V_reg,regression,pearson_r,linear,pooled,pool,2,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.33617278386036276,0.2969638182773906,1.578956961631775,3.5230400562286377,1.8769763067840355,0.2969638182773906
Phase2_C_brain_only,n/a,n/a,n/a,V_reg,regression,pearson_r,linear,pooled,pool,2,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.33029196059872845,0.30615992686968596,1.5700809955596924,3.498964786529541,1.8705520004879685,0.30615992686968596
Phase2_C_brain_only,n/a,n/a,n/a,V_reg,regression,pearson_r,linear,pooled,pool,2,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.3308374419645048,0.3059193654090393,1.5687508583068848,3.5011420249938965,1.8711338875114993,0.3059193654090393
Phase2_C_brain_only,n/a,n/a,n/a,V_reg,regression,pearson_r,linear,pooled,pool,3,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.28283796873620215,0.3285292971331373,1.5350422859191895,3.341963291168213,1.8281037419053145,0.3285292971331373
Phase2_C_brain_only,n/a,n/a,n/a,V_reg,regression,pearson_r,linear,pooled,pool,3,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=10.0,0.27670053338587053,0.3073655854944575,1.5460587739944458,3.4141438007354736,1.8477401875630333,0.3073655854944575
Phase2_C_brain_only,n/a,n/a,n/a,V_reg,regression,pearson_r,linear,pooled,pool,3,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.28197411701800323,0.3161706061085272,1.5450036525726318,3.3751189708709717,1.8371496865718295,0.3161706061085272
Phase2_C_brain_only,n/a,n/a,n/a,V_reg,regression,pearson_r,linear,pooled,pool,4,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=10.0,0.28930672432714655,0.28106801174002394,1.603659749031067,3.6646220684051514,1.9143202627578153,0.28106801174002394
Phase2_C_brain_only,n/a,n/a,n/a,V_reg,regression,pearson_r,linear,pooled,pool,4,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.284272586905578,0.2820785636624823,1.5995086431503296,3.641187906265259,1.908189693470033,0.2820785636624823
Phase2_C_brain_only,n/a,n/a,n/a,V_reg,regression,pearson_r,linear,pooled,pool,4,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.30389441881873075,0.2915293009207609,1.5936000347137451,3.6156227588653564,1.901479097667223,0.2915293009207609
Phase2_C_brain_only,n/a,n/a,n/a,V_reg,regression,pearson_r,linear,pooled,pool,5,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=10.0,0.3020050551079736,0.29386883054515067,1.5710817575454712,3.592322826385498,1.8953424034684334,0.29386883054515067
Phase2_C_brain_only,n/a,n/a,n/a,V_reg,regression,pearson_r,linear,pooled,pool,5,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=10.0,0.29254614084882746,0.2990929766077963,1.5717283487319946,3.5696985721588135,1.8893645948198599,0.2990929766077963
Phase2_C_brain_only,n/a,n/a,n/a,V_reg,regression,pearson_r,linear,pooled,pool,5,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=10.0,0.30176432123400687,0.3091673282226157,1.5621333122253418,3.5448975563049316,1.8827898332806376,0.3091673282226157
