feature,dir_prefix,padding,init,task,task_type,main_metric,head,mode,subject,fold,seed,n_train,n_val,n_test,brain_model,brain_init,brain_padding,video,best_hp,val_main,test_auroc,test_auprc,test_bal_acc,test_main
Phase2_C_joint,n/a,n/a,n/a,A_binary,binary,AUROC,linear,pooled,pool,1,0,3335,1100,1100,brain_jepa,resting,zero,clip_pretrained,C=0.001,0.7582862903225807,0.807627688172043,0.8170413461837351,0.7323924731182796,0.807627688172043
Phase2_C_joint,n/a,n/a,n/a,A_binary,binary,AUROC,linear,pooled,pool,1,1,3335,1100,1100,brain_jepa,resting,zero,clip_pretrained,C=0.001,0.7505409946236559,0.8079032258064516,0.8179490652438531,0.7119959677419355,0.8079032258064516
Phase2_C_joint,n/a,n/a,n/a,A_binary,binary,AUROC,linear,pooled,pool,1,2,3335,1100,1100,brain_jepa,resting,zero,clip_pretrained,C=0.001,0.7501041666666667,0.8248319892473118,0.8218435679464546,0.7464381720430107,0.8248319892473118
Phase2_C_joint,n/a,n/a,n/a,A_binary,binary,AUROC,linear,pooled,pool,2,0,3325,1110,1100,brain_jepa,resting,zero,clip_pretrained,C=0.001,0.7404878048780487,0.7638709677419353,0.7757751447665131,0.7157594086021506,0.7638709677419353
Phase2_C_joint,n/a,n/a,n/a,A_binary,binary,AUROC,linear,pooled,pool,2,1,3325,1110,1100,brain_jepa,resting,zero,clip_pretrained,C=0.001,0.7239122936683913,0.7633165322580645,0.7844863768642882,0.7057123655913979,0.7633165322580645
Phase2_C_joint,n/a,n/a,n/a,A_binary,binary,AUROC,linear,pooled,pool,2,2,3325,1110,1100,brain_jepa,resting,zero,clip_pretrained,C=0.001,0.7501486408803482,0.7658635752688173,0.7802772412154475,0.6940860215053763,0.7658635752688173
Phase2_C_joint,n/a,n/a,n/a,A_binary,binary,AUROC,linear,pooled,pool,3,0,3310,1115,1110,brain_jepa,resting,zero,clip_pretrained,C=0.001,0.8175575510204082,0.7216588650734992,0.7484979859221577,0.665730475486573,0.7216588650734992
Phase2_C_joint,n/a,n/a,n/a,A_binary,binary,AUROC,linear,pooled,pool,3,1,3310,1115,1110,brain_jepa,resting,zero,clip_pretrained,C=0.001,0.8370938775510206,0.7350349018641702,0.7620113299868165,0.6779255974377926,0.7350349018641702
Phase2_C_joint,n/a,n/a,n/a,A_binary,binary,AUROC,linear,pooled,pool,3,2,3310,1115,1110,brain_jepa,resting,zero,clip_pretrained,C=0.001,0.8304816326530613,0.7342071117680873,0.7662704927623932,0.6748460211874846,0.7342071117680873
Phase2_C_joint,n/a,n/a,n/a,A_binary,binary,AUROC,linear,pooled,pool,4,0,3310,1110,1115,brain_jepa,resting,zero,clip_pretrained,C=0.001,0.7348908730158732,0.8327934693877551,0.840009718906793,0.753534693877551,0.8327934693877551
Phase2_C_joint,n/a,n/a,n/a,A_binary,binary,AUROC,linear,pooled,pool,4,1,3310,1110,1115,brain_jepa,resting,zero,clip_pretrained,C=0.01,0.7184193121693123,0.8012571428571429,0.8293836570936123,0.7366775510204082,0.8012571428571429
Phase2_C_joint,n/a,n/a,n/a,A_binary,binary,AUROC,linear,pooled,pool,4,2,3310,1110,1115,brain_jepa,resting,zero,clip_pretrained,C=0.001,0.6980621693121694,0.8284571428571429,0.8457755509333358,0.7584979591836736,0.8284571428571429
Phase2_C_joint,n/a,n/a,n/a,A_binary,binary,AUROC,linear,pooled,pool,5,0,3325,1100,1110,brain_jepa,resting,zero,clip_pretrained,C=0.01,0.8329032258064516,0.7361739417989417,0.774395979917694,0.667609126984127,0.7361739417989417
Phase2_C_joint,n/a,n/a,n/a,A_binary,binary,AUROC,linear,pooled,pool,5,1,3325,1100,1110,brain_jepa,resting,zero,clip_pretrained,C=0.001,0.7948454301075267,0.7094080687830687,0.7546452689213833,0.6588789682539683,0.7094080687830687
Phase2_C_joint,n/a,n/a,n/a,A_binary,binary,AUROC,linear,pooled,pool,5,2,3325,1100,1110,brain_jepa,resting,zero,clip_pretrained,C=0.001,0.8155073924731183,0.7166269841269841,0.7515295919338159,0.6608630952380952,0.7166269841269841
