feature,dir_prefix,padding,init,task,task_type,main_metric,head,mode,subject,fold,seed,n_train,n_val,n_test,brain_model,brain_init,brain_padding,video,best_hp,val_main,test_pearson_r,test_mae,test_mse,test_rmse,test_main
Phase2_C_joint,n/a,n/a,n/a,A_reg,regression,pearson_r,linear,pooled,pool,1,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.3315080577719982,0.4143866873129305,0.6835523843765259,0.7522198557853699,0.8673060911727588,0.4143866873129305
Phase2_C_joint,n/a,n/a,n/a,A_reg,regression,pearson_r,linear,pooled,pool,1,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.29432697125938745,0.38457491990484094,0.6887125372886658,0.7771573662757874,0.8815652932572762,0.38457491990484094
Phase2_C_joint,n/a,n/a,n/a,A_reg,regression,pearson_r,linear,pooled,pool,1,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.3550995096634946,0.3830467071386714,0.7049087285995483,0.7901687622070312,0.8889143728205947,0.3830467071386714
Phase2_C_joint,n/a,n/a,n/a,A_reg,regression,pearson_r,linear,pooled,pool,2,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.30449585256903333,0.2844275615619267,0.7297594547271729,0.8459764122962952,0.919769760481554,0.2844275615619267
Phase2_C_joint,n/a,n/a,n/a,A_reg,regression,pearson_r,linear,pooled,pool,2,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.2994872004918445,0.32982274999712224,0.7008682489395142,0.7921278476715088,0.8900156446217723,0.32982274999712224
Phase2_C_joint,n/a,n/a,n/a,A_reg,regression,pearson_r,linear,pooled,pool,2,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.34558900589595964,0.37973644403510676,0.6769285202026367,0.75020432472229,0.8661433626844288,0.37973644403510676
Phase2_C_joint,n/a,n/a,n/a,A_reg,regression,pearson_r,linear,pooled,pool,3,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.4069618816332081,0.276134933843295,0.7337111830711365,0.8581333160400391,0.9263548542756384,0.276134933843295
Phase2_C_joint,n/a,n/a,n/a,A_reg,regression,pearson_r,linear,pooled,pool,3,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.39498178283793095,0.3188375899317286,0.7136086225509644,0.8138833045959473,0.9021548118787303,0.3188375899317286
Phase2_C_joint,n/a,n/a,n/a,A_reg,regression,pearson_r,linear,pooled,pool,3,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.49674046709475306,0.3101688746436224,0.7273862957954407,0.8305341005325317,0.9113364365219531,0.3101688746436224
Phase2_C_joint,n/a,n/a,n/a,A_reg,regression,pearson_r,linear,pooled,pool,4,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.32153474805647697,0.3937320086686409,0.6920197010040283,0.7460348606109619,0.863733095702001,0.3937320086686409
Phase2_C_joint,n/a,n/a,n/a,A_reg,regression,pearson_r,linear,pooled,pool,4,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.33272736078043863,0.35182444296521,0.7016311883926392,0.7714528441429138,0.8783238833954783,0.35182444296521
Phase2_C_joint,n/a,n/a,n/a,A_reg,regression,pearson_r,linear,pooled,pool,4,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.3169888644743821,0.4515950736058123,0.6677420735359192,0.6869497299194336,0.8288243058208619,0.4515950736058123
Phase2_C_joint,n/a,n/a,n/a,A_reg,regression,pearson_r,linear,pooled,pool,5,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.4107779961623663,0.3755963130749116,0.6774248480796814,0.7102354764938354,0.8427546953258911,0.3755963130749116
Phase2_C_joint,n/a,n/a,n/a,A_reg,regression,pearson_r,linear,pooled,pool,5,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.3753371090860469,0.30164066894695196,0.6895006895065308,0.773313581943512,0.8793825003623349,0.30164066894695196
Phase2_C_joint,n/a,n/a,n/a,A_reg,regression,pearson_r,linear,pooled,pool,5,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.34481835039918707,0.32733240997867874,0.7112197875976562,0.7913083434104919,0.8895551379259703,0.32733240997867874
