feature,dir_prefix,padding,init,task,task_type,main_metric,head,mode,subject,fold,seed,n_train,n_val,n_test,brain_model,brain_init,brain_padding,video,best_hp,val_main,test_auroc,test_auprc,test_bal_acc,test_main
Phase2_C_joint,n/a,n/a,n/a,V_binary,binary,AUROC,linear,pooled,pool,1,0,3390,1130,1135,brain_jepa,resting,zero,clip_pretrained,C=0.01,0.965983108374773,0.961635397123202,0.9664874934592654,0.8873827392120075,0.961635397123202
Phase2_C_joint,n/a,n/a,n/a,V_binary,binary,AUROC,linear,pooled,pool,1,1,3390,1130,1135,brain_jepa,resting,zero,clip_pretrained,C=0.01,0.9547588602099614,0.9766948092557849,0.9796573267249311,0.9198405253283302,0.9766948092557849
Phase2_C_joint,n/a,n/a,n/a,V_binary,binary,AUROC,linear,pooled,pool,1,2,3390,1130,1135,brain_jepa,resting,zero,clip_pretrained,C=0.001,0.9492998658141922,0.9675641025641026,0.9677933779565002,0.9054174484052533,0.9675641025641026
Phase2_C_joint,n/a,n/a,n/a,V_binary,binary,AUROC,linear,pooled,pool,2,0,3395,1130,1130,brain_jepa,resting,zero,clip_pretrained,C=0.001,0.9654255989911728,0.9517088957297339,0.9589506740807123,0.8924698081932276,0.9517088957297339
Phase2_C_joint,n/a,n/a,n/a,V_binary,binary,AUROC,linear,pooled,pool,2,1,3395,1130,1130,brain_jepa,resting,zero,clip_pretrained,C=0.01,0.9696279949558637,0.9640887204988555,0.9678076362884389,0.9143736680085248,0.9640887204988555
Phase2_C_joint,n/a,n/a,n/a,V_binary,binary,AUROC,linear,pooled,pool,2,2,3395,1130,1130,brain_jepa,resting,zero,clip_pretrained,C=0.001,0.9685056746532157,0.9614144762806851,0.9689593854408289,0.8909148314784119,0.9614144762806851
Phase2_C_joint,n/a,n/a,n/a,V_binary,binary,AUROC,linear,pooled,pool,3,0,3395,1130,1130,brain_jepa,resting,zero,clip_pretrained,C=0.01,0.953420554854981,0.9693852459016393,0.9768821146352378,0.900078814627995,0.9693852459016393
Phase2_C_joint,n/a,n/a,n/a,V_binary,binary,AUROC,linear,pooled,pool,3,1,3395,1130,1130,brain_jepa,resting,zero,clip_pretrained,C=0.01,0.9425063051702397,0.9612610340479193,0.9691074762821983,0.9116488020176545,0.9612610340479193
Phase2_C_joint,n/a,n/a,n/a,V_binary,binary,AUROC,linear,pooled,pool,3,2,3395,1130,1130,brain_jepa,resting,zero,clip_pretrained,C=0.01,0.9406651954602774,0.9564029003783102,0.9642063295470518,0.8985498108448928,0.9564029003783102
Phase2_C_joint,n/a,n/a,n/a,V_binary,binary,AUROC,linear,pooled,pool,4,0,3395,1130,1130,brain_jepa,resting,zero,clip_pretrained,C=0.01,0.9742717528373266,0.9528783102143759,0.9495382050493377,0.907203656998739,0.9528783102143759
Phase2_C_joint,n/a,n/a,n/a,V_binary,binary,AUROC,linear,pooled,pool,4,1,3395,1130,1130,brain_jepa,resting,zero,clip_pretrained,C=0.01,0.9553121059268601,0.9424810844892811,0.9483276844407675,0.8882408575031526,0.9424810844892811
Phase2_C_joint,n/a,n/a,n/a,V_binary,binary,AUROC,linear,pooled,pool,4,2,3395,1130,1130,brain_jepa,resting,zero,clip_pretrained,C=0.01,0.9726450189155107,0.9658480453972256,0.969126797553749,0.9207440100882724,0.9658480453972256
Phase2_C_joint,n/a,n/a,n/a,V_binary,binary,AUROC,linear,pooled,pool,5,0,3390,1135,1130,brain_jepa,resting,zero,clip_pretrained,C=0.01,0.9641369606003751,0.9536506935687263,0.9585260167464863,0.862484237074401,0.9536506935687263
Phase2_C_joint,n/a,n/a,n/a,V_binary,binary,AUROC,linear,pooled,pool,5,1,3390,1135,1130,brain_jepa,resting,zero,clip_pretrained,C=0.01,0.9549968730456536,0.9581336696090794,0.9662930881351065,0.8858921815889029,0.9581336696090794
Phase2_C_joint,n/a,n/a,n/a,V_binary,binary,AUROC,linear,pooled,pool,5,2,3390,1135,1130,brain_jepa,resting,zero,clip_pretrained,C=0.01,0.9690025015634771,0.9654791929382093,0.9727595908102082,0.8880674653215637,0.9654791929382093
