feature,dir_prefix,padding,init,task,task_type,main_metric,head,mode,subject,fold,seed,n_train,n_val,n_test,brain_model,brain_init,brain_padding,video,best_hp,val_main,test_pearson_r,test_mae,test_mse,test_rmse,test_main
Phase2_C_joint,n/a,n/a,n/a,V_reg,regression,pearson_r,linear,pooled,pool,1,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.712872834345248,0.7365256055353839,1.073040246963501,1.8066211938858032,1.3441060947283154,0.7365256055353839
Phase2_C_joint,n/a,n/a,n/a,V_reg,regression,pearson_r,linear,pooled,pool,1,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.7119287230814315,0.7271290514247184,1.0978225469589233,1.8772729635238647,1.3701361113129837,0.7271290514247184
Phase2_C_joint,n/a,n/a,n/a,V_reg,regression,pearson_r,linear,pooled,pool,1,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.6952709636641359,0.7564348425620881,1.0462045669555664,1.6986583471298218,1.3033258790992457,0.7564348425620881
Phase2_C_joint,n/a,n/a,n/a,V_reg,regression,pearson_r,linear,pooled,pool,2,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.6660760205590179,0.7072739077767234,1.1121829748153687,1.978214144706726,1.4064900087475651,0.7072739077767234
Phase2_C_joint,n/a,n/a,n/a,V_reg,regression,pearson_r,linear,pooled,pool,2,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.6998115197692059,0.7371195413631142,1.0627751350402832,1.7840907573699951,1.335698602743147,0.7371195413631142
Phase2_C_joint,n/a,n/a,n/a,V_reg,regression,pearson_r,linear,pooled,pool,2,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.693791362178527,0.7084152079918908,1.0922549962997437,1.9400814771652222,1.392868076009075,0.7084152079918908
Phase2_C_joint,n/a,n/a,n/a,V_reg,regression,pearson_r,linear,pooled,pool,3,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.7087860466280169,0.6867548295086472,1.157246708869934,2.0737485885620117,1.4400515923264734,0.6867548295086472
Phase2_C_joint,n/a,n/a,n/a,V_reg,regression,pearson_r,linear,pooled,pool,3,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.6943919706776676,0.695047153022287,1.1380884647369385,2.0082480907440186,1.4171267024313734,0.695047153022287
Phase2_C_joint,n/a,n/a,n/a,V_reg,regression,pearson_r,linear,pooled,pool,3,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.7051484819264076,0.7041581700741801,1.1179633140563965,1.9761255979537964,1.4057473449926186,0.7041581700741801
Phase2_C_joint,n/a,n/a,n/a,V_reg,regression,pearson_r,linear,pooled,pool,4,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.7333405399793602,0.707693399808278,1.1511344909667969,2.0040857791900635,1.4156573664520888,0.707693399808278
Phase2_C_joint,n/a,n/a,n/a,V_reg,regression,pearson_r,linear,pooled,pool,4,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.7020854844777258,0.707520482923055,1.1231693029403687,2.0025534629821777,1.4151160598983314,0.707520482923055
Phase2_C_joint,n/a,n/a,n/a,V_reg,regression,pearson_r,linear,pooled,pool,4,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.7093056015753314,0.7379963972239745,1.0882713794708252,1.8048704862594604,1.3434546833665288,0.7379963972239745
Phase2_C_joint,n/a,n/a,n/a,V_reg,regression,pearson_r,linear,pooled,pool,5,0,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.7377838079960988,0.6867117057456831,1.1574897766113281,2.132984161376953,1.4604739509409106,0.6867117057456831
Phase2_C_joint,n/a,n/a,n/a,V_reg,regression,pearson_r,linear,pooled,pool,5,1,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.7374232778690368,0.6970638189694525,1.1232569217681885,2.0507888793945312,1.432057568463828,0.6970638189694525
Phase2_C_joint,n/a,n/a,n/a,V_reg,regression,pearson_r,linear,pooled,pool,5,2,6555,2185,2185,brain_jepa,resting,zero,clip_pretrained,alpha=100.0,0.7389715514448625,0.6879895549370296,1.145217776298523,2.1114001274108887,1.4530657684395736,0.6879895549370296
