task,metric,method,kind,phase2_mean,phase2_std,phase1_top_overall,phase1_top_overall_feature,delta_vs_phase1_overall,phase1_top_bfm,phase1_top_bfm_feature,delta_vs_phase1_bfm
V_binary,AUROC,D_late_fusion,joint,0.9717549238208625,0.008181169824725878,0.9707665377961338,CLIP_pretrained,0.0009883860247287268,,,
V_binary,AUROC,A_token_transformer,joint,0.9670466312603662,0.011090760483705093,0.9707665377961338,CLIP_pretrained,-0.003719906535767592,,,
V_binary,AUROC,B_cross_attention,joint,0.9662717387030749,0.008679015098430687,0.9707665377961338,CLIP_pretrained,-0.004494799093058832,,,
V_binary,AUROC,C_contrastive_joint,joint,0.9605751051998087,0.008406492120623115,0.9707665377961338,CLIP_pretrained,-0.010191432596325045,,,
V_binary,AUROC,BrainOnly_III_multitask,brain_only,0.7235222018735448,0.020931303961446837,0.9707665377961338,CLIP_pretrained,-0.247244335922589,,,
V_binary,AUROC,BrainOnly_II_distillation,brain_only,0.7213668184041626,0.018586021920486067,0.9707665377961338,CLIP_pretrained,-0.24939971939197114,,,
V_binary,AUROC,BrainOnly_IV_subject_aware,brain_only,0.7205566519139585,0.01718180911161247,0.9707665377961338,CLIP_pretrained,-0.2502098858821753,,,
V_binary,AUROC,BrainOnly_I_supervised,brain_only,0.7165383445410318,0.019159293809908575,0.9707665377961338,CLIP_pretrained,-0.25422819325510193,,,
V_binary,AUROC,C_contrastive_brain,joint,0.7122762057570134,0.013705035991970418,0.9707665377961338,CLIP_pretrained,-0.2584903320391203,,,
A_binary,AUROC,D_late_fusion,joint,0.8024841983067885,0.052807102809700454,0.8003491107701614,CLIP_pretrained,0.002135087536627167,,,
A_binary,AUROC,A_token_transformer,joint,0.7919140582235306,0.0482335468446012,0.8003491107701614,CLIP_pretrained,-0.008435052546630795,,,
A_binary,AUROC,B_cross_attention,joint,0.7863139417850746,0.0538817854949016,0.8003491107701614,CLIP_pretrained,-0.014035168985086721,,,
A_binary,AUROC,C_contrastive_joint,joint,0.7699354404674277,0.04375288522072925,0.8003491107701614,CLIP_pretrained,-0.030413670302733675,,,
A_binary,AUROC,BrainOnly_II_distillation,brain_only,0.6644599353003984,0.029929260133962896,0.8003491107701614,CLIP_pretrained,-0.13588917546976298,,,
A_binary,AUROC,BrainOnly_III_multitask,brain_only,0.6573060610388952,0.027255837044145918,0.8003491107701614,CLIP_pretrained,-0.14304304973126614,,,
A_binary,AUROC,BrainOnly_IV_subject_aware,brain_only,0.6536383137465707,0.02658082547005792,0.8003491107701614,CLIP_pretrained,-0.1467107970235907,,,
A_binary,AUROC,BrainOnly_I_supervised,brain_only,0.6534198274964427,0.02735330977365176,0.8003491107701614,CLIP_pretrained,-0.14692928327371868,,,
A_binary,AUROC,C_contrastive_brain,joint,0.6484960031023549,0.030194753450010825,0.8003491107701614,CLIP_pretrained,-0.15185310766780646,,,
V_reg,Pearson r,A_token_transformer,joint,0.7628392486846984,0.020883298265193268,0.7644636876565961,CLIP_pretrained,-0.0016244389718976793,,,
V_reg,Pearson r,B_cross_attention,joint,0.745352167778176,0.02293042337011109,0.7644636876565961,CLIP_pretrained,-0.01911151987842008,,,
V_reg,Pearson r,C_contrastive_joint,joint,0.7122555779244337,0.021728475877878576,0.7644636876565961,CLIP_pretrained,-0.05220810973216239,,,
V_reg,Pearson r,D_late_fusion,joint,0.5888278882511191,0.024615643413851224,0.7644636876565961,CLIP_pretrained,-0.17563579940547702,,,
V_reg,Pearson r,BrainOnly_III_multitask,brain_only,0.3254467229048411,0.01688164504024493,0.7644636876565961,CLIP_pretrained,-0.439016964751755,,,
V_reg,Pearson r,BrainOnly_I_supervised,brain_only,0.3237916092077891,0.020015346443901,0.7644636876565961,CLIP_pretrained,-0.440672078448807,,,
V_reg,Pearson r,BrainOnly_IV_subject_aware,brain_only,0.3225067416826884,0.018068043440689803,0.7644636876565961,CLIP_pretrained,-0.4419569459739077,,,
V_reg,Pearson r,BrainOnly_II_distillation,brain_only,0.3224357008934021,0.021738771237821905,0.7644636876565961,CLIP_pretrained,-0.442027986763194,,,
V_reg,Pearson r,C_contrastive_brain,joint,0.29495277905275924,0.018611268867639474,0.7644636876565961,CLIP_pretrained,-0.4695109086038369,,,
A_reg,Pearson r,A_token_transformer,joint,0.4241291058925938,0.05001940606598675,0.4230705994289088,CLIP_pretrained,0.001058506463684994,,,
A_reg,Pearson r,B_cross_attention,joint,0.3955842340361341,0.04423345718638536,0.4230705994289088,CLIP_pretrained,-0.027486365392774714,,,
A_reg,Pearson r,C_contrastive_joint,joint,0.3521904923739633,0.05050527417738649,0.4230705994289088,CLIP_pretrained,-0.07088010705494546,,,
A_reg,Pearson r,D_late_fusion,joint,0.268238228440859,0.040422024794979854,0.4230705994289088,CLIP_pretrained,-0.1548323709880498,,,
A_reg,Pearson r,BrainOnly_II_distillation,brain_only,0.22963679730892178,0.032998273571558205,0.4230705994289088,CLIP_pretrained,-0.193433802119987,,,
A_reg,Pearson r,BrainOnly_III_multitask,brain_only,0.22754481732845303,0.034105874355880986,0.4230705994289088,CLIP_pretrained,-0.19552578210045576,,,
A_reg,Pearson r,BrainOnly_I_supervised,brain_only,0.22624261478583016,0.032585586478579134,0.4230705994289088,CLIP_pretrained,-0.19682798464307863,,,
A_reg,Pearson r,BrainOnly_IV_subject_aware,brain_only,0.22563099463780717,0.03301644603786627,0.4230705994289088,CLIP_pretrained,-0.19743960479110162,,,
A_reg,Pearson r,C_contrastive_brain,joint,0.22083140460988596,0.03263223554708405,0.4230705994289088,CLIP_pretrained,-0.20223919481902283,,,
