feature,method,aux_video,task,task_type,main_metric,head,mode,subject,fold,seed,n_train,n_val,n_test,brain_model,best_lr,val_main,test_auroc,test_auprc,test_bal_acc,test_main
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,A_binary,binary,AUROC,mlp_mtl,pooled,pool,1,0,3335,1100,1100,brain_jepa,0.0003,0.6541515456989246,0.7022328629032258,0.7204816667133928,0.6269153225806452,0.7022328629032258
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,A_binary,binary,AUROC,mlp_mtl,pooled,pool,1,1,3335,1100,1100,brain_jepa,0.0001,0.6515692204301075,0.6972345430107527,0.7175134699473638,0.6363239247311828,0.6972345430107527
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,A_binary,binary,AUROC,mlp_mtl,pooled,pool,1,2,3335,1100,1100,brain_jepa,0.003,0.649375,0.6880174731182795,0.7203897092092926,0.599361559139785,0.6880174731182795
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,A_binary,binary,AUROC,mlp_mtl,pooled,pool,2,0,3325,1110,1100,brain_jepa,0.0001,0.6559366017902604,0.6332291666666667,0.6857258848461627,0.5911626344086022,0.6332291666666667
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,A_binary,binary,AUROC,mlp_mtl,pooled,pool,2,1,3325,1110,1100,brain_jepa,0.003,0.6518419972078509,0.633635752688172,0.685164358114135,0.5759072580645161,0.633635752688172
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,A_binary,binary,AUROC,mlp_mtl,pooled,pool,2,2,3325,1110,1100,brain_jepa,0.001,0.6596041717992938,0.6405342741935485,0.6836300575462481,0.6078629032258065,0.6405342741935485
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,A_binary,binary,AUROC,mlp_mtl,pooled,pool,3,0,3310,1115,1110,brain_jepa,0.0003,0.6876995918367347,0.6388272973638827,0.6836661536977863,0.5983493471298349,0.6388272973638827
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,A_binary,binary,AUROC,mlp_mtl,pooled,pool,3,1,3310,1115,1110,brain_jepa,0.0001,0.684829387755102,0.6317598751745093,0.67532868486592,0.5781473269278148,0.6317598751745093
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,A_binary,binary,AUROC,mlp_mtl,pooled,pool,3,2,3310,1115,1110,brain_jepa,0.0003,0.6861551020408163,0.6328816621499549,0.6879176018889837,0.5980783444198079,0.6328816621499549
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,A_binary,binary,AUROC,mlp_mtl,pooled,pool,4,0,3310,1110,1115,brain_jepa,0.001,0.6403472222222223,0.6826351020408163,0.7104435981946559,0.6371836734693878,0.6826351020408163
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,A_binary,binary,AUROC,mlp_mtl,pooled,pool,4,1,3310,1110,1115,brain_jepa,0.0001,0.6400925925925925,0.6789551020408162,0.707472863047008,0.6361959183673469,0.6789551020408162
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,A_binary,binary,AUROC,mlp_mtl,pooled,pool,4,2,3310,1110,1115,brain_jepa,0.0003,0.648425925925926,0.6824685714285714,0.7120891370177221,0.6225632653061224,0.6824685714285714
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,A_binary,binary,AUROC,mlp_mtl,pooled,pool,5,0,3325,1100,1110,brain_jepa,0.0003,0.7120497311827957,0.6313756613756614,0.682951792900595,0.5924107142857142,0.6313756613756614
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,A_binary,binary,AUROC,mlp_mtl,pooled,pool,5,1,3325,1100,1110,brain_jepa,0.0001,0.7060584677419355,0.6419543650793651,0.6858073244719023,0.6020833333333333,0.6419543650793651
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,A_binary,binary,AUROC,mlp_mtl,pooled,pool,5,2,3325,1100,1110,brain_jepa,0.0003,0.700470430107527,0.6438492063492064,0.6902452814942186,0.6010912698412698,0.6438492063492064
