feature,method,aux_video,task,task_type,main_metric,head,mode,subject,fold,seed,n_train,n_val,n_test,brain_model,best_lr,val_main,test_pearson_r,test_mae,test_mse,test_rmse,test_main
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,A_reg,regression,pearson_r,mlp_mtl,pooled,pool,1,0,6555,2185,2185,brain_jepa,0.0001,0.19319120049476624,0.27991020679473877,0.7093225121498108,0.8171343207359314,0.9039548222870053,0.27991020679473877
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,A_reg,regression,pearson_r,mlp_mtl,pooled,pool,1,1,6555,2185,2185,brain_jepa,0.0001,0.19626805186271667,0.26810210943222046,0.7119044065475464,0.8219193816184998,0.9065976955731245,0.26810210943222046
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,A_reg,regression,pearson_r,mlp_mtl,pooled,pool,1,2,6555,2185,2185,brain_jepa,0.0001,0.19658643007278442,0.2634522318840027,0.7103005051612854,0.8225652575492859,0.9069538342987948,0.2634522318840027
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,A_reg,regression,pearson_r,mlp_mtl,pooled,pool,2,0,6555,2185,2185,brain_jepa,0.0001,0.22178012132644653,0.16791969537734985,0.715002179145813,0.8331928849220276,0.9127939991706933,0.16791969537734985
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,A_reg,regression,pearson_r,mlp_mtl,pooled,pool,2,1,6555,2185,2185,brain_jepa,0.0001,0.22443318367004395,0.19363723695278168,0.712388277053833,0.8223979473114014,0.9068615921470052,0.19363723695278168
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,A_reg,regression,pearson_r,mlp_mtl,pooled,pool,2,2,6555,2185,2185,brain_jepa,0.0001,0.2227037400007248,0.18825846910476685,0.7087717652320862,0.814422607421875,0.9024536594318153,0.18825846910476685
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,A_reg,regression,pearson_r,mlp_mtl,pooled,pool,3,0,6555,2185,2185,brain_jepa,0.0003,0.26860442757606506,0.20682741701602936,0.7126347422599792,0.8078054785728455,0.8987799945330589,0.20682741701602936
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,A_reg,regression,pearson_r,mlp_mtl,pooled,pool,3,1,6555,2185,2185,brain_jepa,0.0003,0.2708778381347656,0.2080259621143341,0.7164816856384277,0.8174437880516052,0.9041259801883835,0.2080259621143341
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,A_reg,regression,pearson_r,mlp_mtl,pooled,pool,3,2,6555,2185,2185,brain_jepa,0.0001,0.2604416012763977,0.19556012749671936,0.7143774628639221,0.8126899600028992,0.9014931835587551,0.19556012749671936
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,A_reg,regression,pearson_r,mlp_mtl,pooled,pool,4,0,6555,2185,2185,brain_jepa,0.0001,0.22526779770851135,0.2613407373428345,0.7071218490600586,0.7714627385139465,0.8783295159072969,0.2613407373428345
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,A_reg,regression,pearson_r,mlp_mtl,pooled,pool,4,1,6555,2185,2185,brain_jepa,0.0003,0.22841644287109375,0.2639847993850708,0.7052435874938965,0.7691945433616638,0.8770373671410265,0.2639847993850708
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,A_reg,regression,pearson_r,mlp_mtl,pooled,pool,4,2,6555,2185,2185,brain_jepa,0.0003,0.22036662697792053,0.23490986227989197,0.7097123265266418,0.7804983854293823,0.8834581967639342,0.23490986227989197
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,A_reg,regression,pearson_r,mlp_mtl,pooled,pool,5,0,6555,2185,2185,brain_jepa,0.0001,0.2600778639316559,0.22819304466247559,0.6876236200332642,0.7369130253791809,0.8584363840024378,0.22819304466247559
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,A_reg,regression,pearson_r,mlp_mtl,pooled,pool,5,1,6555,2185,2185,brain_jepa,0.0003,0.26248669624328613,0.22614707052707672,0.6868414282798767,0.7364029884338379,0.858139259347711,0.22614707052707672
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,A_reg,regression,pearson_r,mlp_mtl,pooled,pool,5,2,6555,2185,2185,brain_jepa,0.0001,0.26644331216812134,0.2269032895565033,0.687526285648346,0.7377105355262756,0.8589007716414485,0.2269032895565033
