feature,method,aux_video,task,task_type,main_metric,head,mode,subject,fold,seed,n_train,n_val,n_test,brain_model,best_lr,val_main,test_pearson_r_mean,test_top1_acc,test_main
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,Cat34_soft,soft_dist,mean_pearson_r,mlp_mtl,pooled,pool,1,0,6555,2185,2185,brain_jepa,0.0003,0.25345665216445923,0.26834830400698323,0.3322654462242563,0.26834830400698323
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,Cat34_soft,soft_dist,mean_pearson_r,mlp_mtl,pooled,pool,1,1,6555,2185,2185,brain_jepa,0.0003,0.25564542412757874,0.26980161686044407,0.32494279176201374,0.26980161686044407
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,Cat34_soft,soft_dist,mean_pearson_r,mlp_mtl,pooled,pool,1,2,6555,2185,2185,brain_jepa,0.0003,0.25685787200927734,0.27217380680582104,0.31899313501144166,0.27217380680582104
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,Cat34_soft,soft_dist,mean_pearson_r,mlp_mtl,pooled,pool,2,0,6555,2185,2185,brain_jepa,0.0003,0.264238566160202,0.2632972140084295,0.30434782608695654,0.2632972140084295
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,Cat34_soft,soft_dist,mean_pearson_r,mlp_mtl,pooled,pool,2,1,6555,2185,2185,brain_jepa,0.0003,0.26312172412872314,0.25979142000570016,0.3011441647597254,0.25979142000570016
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,Cat34_soft,soft_dist,mean_pearson_r,mlp_mtl,pooled,pool,2,2,6555,2185,2185,brain_jepa,0.0003,0.2641473114490509,0.25732430158292546,0.2988558352402746,0.25732430158292546
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,Cat34_soft,soft_dist,mean_pearson_r,mlp_mtl,pooled,pool,3,0,6555,2185,2185,brain_jepa,0.0001,0.24691994488239288,0.259440227137769,0.32219679633867276,0.259440227137769
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,Cat34_soft,soft_dist,mean_pearson_r,mlp_mtl,pooled,pool,3,1,6555,2185,2185,brain_jepa,0.0003,0.24739080667495728,0.26015089737141833,0.3135011441647597,0.26015089737141833
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,Cat34_soft,soft_dist,mean_pearson_r,mlp_mtl,pooled,pool,3,2,6555,2185,2185,brain_jepa,0.0003,0.24794699251651764,0.26171416997471275,0.3217391304347826,0.26171416997471275
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,Cat34_soft,soft_dist,mean_pearson_r,mlp_mtl,pooled,pool,4,0,6555,2185,2185,brain_jepa,0.0003,0.2498827874660492,0.2468794845044613,0.29153318077803203,0.2468794845044613
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,Cat34_soft,soft_dist,mean_pearson_r,mlp_mtl,pooled,pool,4,1,6555,2185,2185,brain_jepa,0.0003,0.2514799237251282,0.24520975515684662,0.2951945080091533,0.24520975515684662
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,Cat34_soft,soft_dist,mean_pearson_r,mlp_mtl,pooled,pool,4,2,6555,2185,2185,brain_jepa,0.0003,0.25150066614151,0.24557100641815102,0.2906178489702517,0.24557100641815102
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,Cat34_soft,soft_dist,mean_pearson_r,mlp_mtl,pooled,pool,5,0,6555,2185,2185,brain_jepa,0.0003,0.2730088233947754,0.24009327962994576,0.2723112128146453,0.24009327962994576
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,Cat34_soft,soft_dist,mean_pearson_r,mlp_mtl,pooled,pool,5,1,6555,2185,2185,brain_jepa,0.0001,0.2729462683200836,0.24534759045962026,0.2805491990846682,0.24534759045962026
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,Cat34_soft,soft_dist,mean_pearson_r,mlp_mtl,pooled,pool,5,2,6555,2185,2185,brain_jepa,0.0003,0.2765079736709595,0.24675701679114034,0.28329519450800916,0.24675701679114034
