feature,method,aux_video,task,task_type,main_metric,head,mode,subject,fold,seed,n_train,n_val,n_test,brain_model,best_lr,val_main,test_pearson_r,test_mae,test_mse,test_rmse,test_main
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,V_reg,regression,pearson_r,mlp_mtl,pooled,pool,1,0,6555,2185,2185,brain_jepa,0.0001,0.33096843957901,0.31464219093322754,1.5603586435317993,3.6133852005004883,1.9008906334927553,0.31464219093322754
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,V_reg,regression,pearson_r,mlp_mtl,pooled,pool,1,1,6555,2185,2185,brain_jepa,0.003,0.3306131362915039,0.29238927364349365,1.561909556388855,3.563680410385132,1.8877712812692993,0.29238927364349365
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,V_reg,regression,pearson_r,mlp_mtl,pooled,pool,1,2,6555,2185,2185,brain_jepa,0.0003,0.33320870995521545,0.3102750778198242,1.5720856189727783,3.6183338165283203,1.9021918453532283,0.3102750778198242
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,V_reg,regression,pearson_r,mlp_mtl,pooled,pool,2,0,6555,2185,2185,brain_jepa,0.0003,0.36556732654571533,0.3310571610927582,1.5278418064117432,3.4750304222106934,1.8641433480853058,0.3310571610927582
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,V_reg,regression,pearson_r,mlp_mtl,pooled,pool,2,1,6555,2185,2185,brain_jepa,0.0003,0.36034005880355835,0.32117533683776855,1.552610993385315,3.4784529209136963,1.8650611038016145,0.32117533683776855
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,V_reg,regression,pearson_r,mlp_mtl,pooled,pool,2,2,6555,2185,2185,brain_jepa,0.0003,0.3685718774795532,0.3226708173751831,1.541818380355835,3.5028960704803467,1.871602540733568,0.3226708173751831
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,V_reg,regression,pearson_r,mlp_mtl,pooled,pool,3,0,6555,2185,2185,brain_jepa,0.0001,0.335468053817749,0.3507269620895386,1.5134118795394897,3.301645278930664,1.817043004150057,0.3507269620895386
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,V_reg,regression,pearson_r,mlp_mtl,pooled,pool,3,1,6555,2185,2185,brain_jepa,0.0003,0.32456648349761963,0.3394593596458435,1.5157982110977173,3.345874309539795,1.8291731218066252,0.3394593596458435
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,V_reg,regression,pearson_r,mlp_mtl,pooled,pool,3,2,6555,2185,2185,brain_jepa,0.0001,0.3276001811027527,0.35450202226638794,1.5107241868972778,3.294661283493042,1.8151201843109568,0.35450202226638794
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,V_reg,regression,pearson_r,mlp_mtl,pooled,pool,4,0,6555,2185,2185,brain_jepa,0.0001,0.3356803357601166,0.30681297183036804,1.5704914331436157,3.619915246963501,1.9026074863101692,0.30681297183036804
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,V_reg,regression,pearson_r,mlp_mtl,pooled,pool,4,1,6555,2185,2185,brain_jepa,0.0001,0.33124011754989624,0.3163512349128723,1.561639428138733,3.5949866771698,1.8960450092679235,0.3163512349128723
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,V_reg,regression,pearson_r,mlp_mtl,pooled,pool,4,2,6555,2185,2185,brain_jepa,0.0001,0.3318433463573456,0.3160867691040039,1.554020881652832,3.6270885467529297,1.90449167673501,0.3160867691040039
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,V_reg,regression,pearson_r,mlp_mtl,pooled,pool,5,0,6555,2185,2185,brain_jepa,0.0001,0.3402858376502991,0.33296382427215576,1.543314814567566,3.4858717918395996,1.8670489527164518,0.33296382427215576
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,V_reg,regression,pearson_r,mlp_mtl,pooled,pool,5,1,6555,2185,2185,brain_jepa,0.0001,0.3315238952636719,0.33765068650245667,1.5266727209091187,3.468883752822876,1.8624939604795705,0.33765068650245667
Phase2_BrainOnly_III_multitask,III_multitask,clip_pretrained,V_reg,regression,pearson_r,mlp_mtl,pooled,pool,5,2,6555,2185,2185,brain_jepa,0.0001,0.32935357093811035,0.3349371552467346,1.5380058288574219,3.4599037170410156,1.8600816425740607,0.3349371552467346
