feature,method,teacher_video,task,task_type,main_metric,head,mode,subject,fold,seed,n_train,n_val,n_test,brain_model,best_lr,val_main,test_auroc,test_auprc,test_bal_acc,test_main
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,A_binary,binary,AUROC,mlp_distilled,pooled,pool,1,0,3335,1100,1100,brain_jepa,0.0003,0.660510752688172,0.703635752688172,0.7322091076605718,0.6319556451612903,0.703635752688172
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,A_binary,binary,AUROC,mlp_distilled,pooled,pool,1,1,3335,1100,1100,brain_jepa,0.0001,0.6601176075268818,0.7111424731182796,0.7300270874844839,0.6356518817204301,0.7111424731182796
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,A_binary,binary,AUROC,mlp_distilled,pooled,pool,1,2,3335,1100,1100,brain_jepa,0.001,0.6621538978494623,0.7136055107526882,0.7458470865821238,0.6389112903225806,0.7136055107526882
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,A_binary,binary,AUROC,mlp_distilled,pooled,pool,2,0,3325,1110,1100,brain_jepa,0.0001,0.659397224275273,0.6527788978494624,0.6887191436167921,0.6185147849462366,0.6527788978494624
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,A_binary,binary,AUROC,mlp_distilled,pooled,pool,2,1,3325,1110,1100,brain_jepa,0.0003,0.6622747803235608,0.6452654569892473,0.6830349414127699,0.6139448924731182,0.6452654569892473
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,A_binary,binary,AUROC,mlp_distilled,pooled,pool,2,2,3325,1110,1100,brain_jepa,0.0003,0.6670871314773753,0.6558434139784945,0.6946705999728839,0.6116935483870968,0.6558434139784945
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,A_binary,binary,AUROC,mlp_distilled,pooled,pool,3,0,3310,1115,1110,brain_jepa,0.0003,0.6929077551020408,0.6407259587747394,0.6979907209149758,0.5912047302291205,0.6407259587747394
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,A_binary,binary,AUROC,mlp_distilled,pooled,pool,3,1,3310,1115,1110,brain_jepa,0.0003,0.693250612244898,0.6366559908023323,0.6941412461349331,0.5889381621088938,0.6366559908023323
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,A_binary,binary,AUROC,mlp_distilled,pooled,pool,3,2,3310,1115,1110,brain_jepa,0.0001,0.6900244897959183,0.6437316251950398,0.6977286145617823,0.5855383099285538,0.6437316251950398
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,A_binary,binary,AUROC,mlp_distilled,pooled,pool,4,0,3310,1110,1115,brain_jepa,0.0003,0.6506415343915344,0.6922481632653061,0.7174128629285392,0.6448571428571428,0.6922481632653061
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,A_binary,binary,AUROC,mlp_distilled,pooled,pool,4,1,3310,1110,1115,brain_jepa,0.001,0.6507605820105821,0.6739885714285715,0.7062123675699534,0.6238530612244898,0.6739885714285715
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,A_binary,binary,AUROC,mlp_distilled,pooled,pool,4,2,3310,1110,1115,brain_jepa,0.0001,0.6501984126984126,0.6889273469387754,0.7135218925799092,0.6423755102040817,0.6889273469387754
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,A_binary,binary,AUROC,mlp_distilled,pooled,pool,5,0,3325,1100,1110,brain_jepa,0.003,0.7216263440860216,0.6252083333333334,0.6762031925445391,0.5659722222222222,0.6252083333333334
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,A_binary,binary,AUROC,mlp_distilled,pooled,pool,5,1,3325,1100,1110,brain_jepa,0.001,0.7180846774193549,0.6444047619047619,0.6906583210610115,0.602281746031746,0.6444047619047619
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,A_binary,binary,AUROC,mlp_distilled,pooled,pool,5,2,3325,1100,1110,brain_jepa,0.0003,0.7161525537634409,0.6387367724867725,0.6869548105340804,0.593452380952381,0.6387367724867725
