feature,method,teacher_video,task,task_type,main_metric,head,mode,subject,fold,seed,n_train,n_val,n_test,brain_model,best_lr,val_main,test_pearson_r,test_mae,test_mse,test_rmse,test_main
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,A_reg,regression,pearson_r,mlp_distilled,pooled,pool,1,0,6555,2185,2185,brain_jepa,0.0001,0.1934908926486969,0.2806733250617981,0.7094237208366394,0.8132052421569824,0.9017789319766694,0.2806733250617981
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,A_reg,regression,pearson_r,mlp_distilled,pooled,pool,1,1,6555,2185,2185,brain_jepa,0.0003,0.2009091079235077,0.2739831209182739,0.7108621597290039,0.817660391330719,0.9042457582597327,0.2739831209182739
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,A_reg,regression,pearson_r,mlp_distilled,pooled,pool,1,2,6555,2185,2185,brain_jepa,0.0001,0.1930091232061386,0.2685393691062927,0.709881067276001,0.8208066821098328,0.9059838200044373,0.2685393691062927
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,A_reg,regression,pearson_r,mlp_distilled,pooled,pool,2,0,6555,2185,2185,brain_jepa,0.0003,0.22227288782596588,0.17717701196670532,0.7084314227104187,0.815502941608429,0.9030520148963895,0.17717701196670532
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,A_reg,regression,pearson_r,mlp_distilled,pooled,pool,2,1,6555,2185,2185,brain_jepa,0.0001,0.2271941751241684,0.1895393282175064,0.7079882621765137,0.8151377439498901,0.9028497903582247,0.1895393282175064
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,A_reg,regression,pearson_r,mlp_distilled,pooled,pool,2,2,6555,2185,2185,brain_jepa,0.0001,0.22883012890815735,0.18648158013820648,0.7090398073196411,0.8216254115104675,0.9064355528720547,0.18648158013820648
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,A_reg,regression,pearson_r,mlp_distilled,pooled,pool,3,0,6555,2185,2185,brain_jepa,0.0003,0.27677810192108154,0.20887139439582825,0.7139112949371338,0.809580385684967,0.8997668507368823,0.20887139439582825
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,A_reg,regression,pearson_r,mlp_distilled,pooled,pool,3,1,6555,2185,2185,brain_jepa,0.0001,0.27416157722473145,0.21930356323719025,0.714661717414856,0.8073369860649109,0.8985193298226315,0.21930356323719025
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,A_reg,regression,pearson_r,mlp_distilled,pooled,pool,3,2,6555,2185,2185,brain_jepa,0.0003,0.2817800045013428,0.21064797043800354,0.7157209515571594,0.8154787421226501,0.9030386160749994,0.21064797043800354
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,A_reg,regression,pearson_r,mlp_distilled,pooled,pool,4,0,6555,2185,2185,brain_jepa,0.0001,0.2318400740623474,0.249487042427063,0.7093406319618225,0.7746749520301819,0.8801562088800953,0.249487042427063
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,A_reg,regression,pearson_r,mlp_distilled,pooled,pool,4,1,6555,2185,2185,brain_jepa,0.0001,0.22933799028396606,0.25701433420181274,0.7077896595001221,0.7720085978507996,0.8786401981760222,0.25701433420181274
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,A_reg,regression,pearson_r,mlp_distilled,pooled,pool,4,2,6555,2185,2185,brain_jepa,0.0001,0.2348438948392868,0.25549188256263733,0.7105292081832886,0.7765012383460999,0.8811930766557916,0.25549188256263733
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,A_reg,regression,pearson_r,mlp_distilled,pooled,pool,5,0,6555,2185,2185,brain_jepa,0.0001,0.2771819531917572,0.22932249307632446,0.6879395842552185,0.7366698980331421,0.8582947617416421,0.22932249307632446
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,A_reg,regression,pearson_r,mlp_distilled,pooled,pool,5,1,6555,2185,2185,brain_jepa,0.0001,0.26573067903518677,0.21967899799346924,0.6888378262519836,0.7391647100448608,0.8597468871969591,0.21967899799346924
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,A_reg,regression,pearson_r,mlp_distilled,pooled,pool,5,2,6555,2185,2185,brain_jepa,0.0003,0.2756344676017761,0.21834054589271545,0.689631462097168,0.7400800585746765,0.8602790585470952,0.21834054589271545
