feature,method,teacher_video,task,task_type,main_metric,head,mode,subject,fold,seed,n_train,n_val,n_test,brain_model,best_lr,val_main,test_macro_auroc,test_macro_f1,test_micro_f1,test_main
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,Cat34_multilabel,multilabel,macro_auroc,mlp_distilled,pooled,pool,1,0,6555,2185,2185,brain_jepa,0.0003,0.6886891440758789,0.7102485956978164,0.12571834723298023,0.27010794578362146,0.7102485956978164
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,Cat34_multilabel,multilabel,macro_auroc,mlp_distilled,pooled,pool,1,1,6555,2185,2185,brain_jepa,0.0003,0.6875573356195247,0.7098088113997316,0.12915959426016133,0.2812599936040934,0.7098088113997316
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,Cat34_multilabel,multilabel,macro_auroc,mlp_distilled,pooled,pool,1,2,6555,2185,2185,brain_jepa,0.0003,0.6868580761832516,0.7075245685996279,0.12650363836560793,0.2747261663286004,0.7075245685996279
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,Cat34_multilabel,multilabel,macro_auroc,mlp_distilled,pooled,pool,2,0,6555,2185,2185,brain_jepa,0.0003,0.6909451291146687,0.6888876575330047,0.10449331726802061,0.23946522254188526,0.6888876575330047
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,Cat34_multilabel,multilabel,macro_auroc,mlp_distilled,pooled,pool,2,1,6555,2185,2185,brain_jepa,0.0003,0.6921343749365082,0.694986264152803,0.10180685279708761,0.24091063540604826,0.694986264152803
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,Cat34_multilabel,multilabel,macro_auroc,mlp_distilled,pooled,pool,2,2,6555,2185,2185,brain_jepa,0.0003,0.6939269370153243,0.6937467836130881,0.11196422175255277,0.2644451739986868,0.6937467836130881
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,Cat34_multilabel,multilabel,macro_auroc,mlp_distilled,pooled,pool,3,0,6555,2185,2185,brain_jepa,0.0003,0.6885722329003698,0.6811992500672619,0.11310224785476883,0.2601039745094751,0.6811992500672619
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,Cat34_multilabel,multilabel,macro_auroc,mlp_distilled,pooled,pool,3,1,6555,2185,2185,brain_jepa,0.0003,0.6896404221333485,0.6787075391678977,0.12248946212786258,0.27853249816969006,0.6787075391678977
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,Cat34_multilabel,multilabel,macro_auroc,mlp_distilled,pooled,pool,3,2,6555,2185,2185,brain_jepa,0.001,0.6878934277538898,0.6774036256732694,0.13042701617408411,0.27878689588063577,0.6774036256732694
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,Cat34_multilabel,multilabel,macro_auroc,mlp_distilled,pooled,pool,4,0,6555,2185,2185,brain_jepa,0.001,0.6904933662210148,0.6872513038160678,0.11648508135328549,0.24981188863807374,0.6872513038160678
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,Cat34_multilabel,multilabel,macro_auroc,mlp_distilled,pooled,pool,4,1,6555,2185,2185,brain_jepa,0.001,0.6939506242345287,0.6832011907603452,0.1187273433839301,0.2537127686053265,0.6832011907603452
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,Cat34_multilabel,multilabel,macro_auroc,mlp_distilled,pooled,pool,4,2,6555,2185,2185,brain_jepa,0.0003,0.6976450945810598,0.6829164608145517,0.1255958136251143,0.2664281067013663,0.6829164608145517
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,Cat34_multilabel,multilabel,macro_auroc,mlp_distilled,pooled,pool,5,0,6555,2185,2185,brain_jepa,0.0003,0.7130606317155815,0.6822747332305514,0.12577685052041035,0.2792116764245073,0.6822747332305514
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,Cat34_multilabel,multilabel,macro_auroc,mlp_distilled,pooled,pool,5,1,6555,2185,2185,brain_jepa,0.0003,0.7123687900540017,0.6821242984233941,0.13532564609093634,0.2767857142857143,0.6821242984233941
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,Cat34_multilabel,multilabel,macro_auroc,mlp_distilled,pooled,pool,5,2,6555,2185,2185,brain_jepa,0.0003,0.7112820845071028,0.6806111126492465,0.11716063350251738,0.26026467594163555,0.6806111126492465
