feature,method,teacher_video,task,task_type,main_metric,head,mode,subject,fold,seed,n_train,n_val,n_test,brain_model,best_lr,val_main,test_pearson_r_mean,test_top1_acc,test_main
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,Cat34_soft,soft_dist,mean_pearson_r,mlp_distilled,pooled,pool,1,0,6555,2185,2185,brain_jepa,0.0003,0.252040296792984,0.26835345895960927,0.32723112128146453,0.26835345895960927
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,Cat34_soft,soft_dist,mean_pearson_r,mlp_distilled,pooled,pool,1,1,6555,2185,2185,brain_jepa,0.0003,0.2532460689544678,0.2708885568221483,0.32494279176201374,0.2708885568221483
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,Cat34_soft,soft_dist,mean_pearson_r,mlp_distilled,pooled,pool,1,2,6555,2185,2185,brain_jepa,0.0003,0.25550293922424316,0.27183449106729207,0.32677345537757435,0.27183449106729207
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,Cat34_soft,soft_dist,mean_pearson_r,mlp_distilled,pooled,pool,2,0,6555,2185,2185,brain_jepa,0.0001,0.26432833075523376,0.2606462739846286,0.30526315789473685,0.2606462739846286
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,Cat34_soft,soft_dist,mean_pearson_r,mlp_distilled,pooled,pool,2,1,6555,2185,2185,brain_jepa,0.0003,0.2612245976924896,0.25940127210582004,0.2974828375286041,0.25940127210582004
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,Cat34_soft,soft_dist,mean_pearson_r,mlp_distilled,pooled,pool,2,2,6555,2185,2185,brain_jepa,0.0003,0.26362940669059753,0.2585599757730961,0.30297482837528605,0.2585599757730961
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,Cat34_soft,soft_dist,mean_pearson_r,mlp_distilled,pooled,pool,3,0,6555,2185,2185,brain_jepa,0.0003,0.24781881272792816,0.25422446051722064,0.32128146453089246,0.25422446051722064
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,Cat34_soft,soft_dist,mean_pearson_r,mlp_distilled,pooled,pool,3,1,6555,2185,2185,brain_jepa,0.0001,0.24556487798690796,0.2591074508998324,0.3194508009153318,0.2591074508998324
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,Cat34_soft,soft_dist,mean_pearson_r,mlp_distilled,pooled,pool,3,2,6555,2185,2185,brain_jepa,0.0003,0.2468220740556717,0.25753927964936285,0.33043478260869563,0.25753927964936285
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,Cat34_soft,soft_dist,mean_pearson_r,mlp_distilled,pooled,pool,4,0,6555,2185,2185,brain_jepa,0.0003,0.2536047399044037,0.24638745807768667,0.297025171624714,0.24638745807768667
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,Cat34_soft,soft_dist,mean_pearson_r,mlp_distilled,pooled,pool,4,1,6555,2185,2185,brain_jepa,0.0003,0.25414395332336426,0.2462041270097389,0.2897025171624714,0.2462041270097389
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,Cat34_soft,soft_dist,mean_pearson_r,mlp_distilled,pooled,pool,4,2,6555,2185,2185,brain_jepa,0.0003,0.2511630356311798,0.24403037196573088,0.29016018306636154,0.24403037196573088
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,Cat34_soft,soft_dist,mean_pearson_r,mlp_distilled,pooled,pool,5,0,6555,2185,2185,brain_jepa,0.0003,0.2736402451992035,0.24679074524080052,0.2782608695652174,0.24679074524080052
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,Cat34_soft,soft_dist,mean_pearson_r,mlp_distilled,pooled,pool,5,1,6555,2185,2185,brain_jepa,0.0003,0.2775813341140747,0.24509942378191388,0.2805491990846682,0.24509942378191388
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,Cat34_soft,soft_dist,mean_pearson_r,mlp_distilled,pooled,pool,5,2,6555,2185,2185,brain_jepa,0.0001,0.27331849932670593,0.2488243507550043,0.28924485125858124,0.2488243507550043
