feature,method,teacher_video,task,task_type,main_metric,head,mode,subject,fold,seed,n_train,n_val,n_test,brain_model,best_lr,val_main,test_auroc,test_auprc,test_bal_acc,test_main
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,V_binary,binary,AUROC,mlp_distilled,pooled,pool,1,0,3390,1130,1135,brain_jepa,0.0003,0.7250769595074591,0.7147498436522826,0.7256953330654973,0.6560272045028143,0.7147498436522826
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,V_binary,binary,AUROC,mlp_distilled,pooled,pool,1,1,3390,1130,1135,brain_jepa,0.003,0.7228794695713947,0.6938930581613508,0.7008698350327771,0.6436366479049406,0.6938930581613508
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,V_binary,binary,AUROC,mlp_distilled,pooled,pool,1,2,3390,1130,1135,brain_jepa,0.001,0.7154534690977978,0.702010631644778,0.7169774465245491,0.6276735459662289,0.702010631644778
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,V_binary,binary,AUROC,mlp_distilled,pooled,pool,2,0,3395,1130,1130,brain_jepa,0.0003,0.7604192938209332,0.7159586391980426,0.7198204087619461,0.6675428210592786,0.7159586391980426
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,V_binary,binary,AUROC,mlp_distilled,pooled,pool,2,1,3395,1130,1130,brain_jepa,0.0001,0.7625914249684741,0.7142536901097166,0.7187453388816314,0.6624437603599337,0.7142536901097166
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,V_binary,binary,AUROC,mlp_distilled,pooled,pool,2,2,3395,1130,1130,brain_jepa,0.0003,0.7603404791929381,0.7108848370037099,0.7155532038559518,0.6531849396163865,0.7108848370037099
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,V_binary,binary,AUROC,mlp_distilled,pooled,pool,3,0,3395,1130,1130,brain_jepa,0.0001,0.7175914249684742,0.7486475409836066,0.7388430815103257,0.6947824716267339,0.7486475409836066
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,V_binary,binary,AUROC,mlp_distilled,pooled,pool,3,1,3395,1130,1130,brain_jepa,0.0001,0.7182723833543505,0.7510435056746533,0.7482553307101311,0.6831967213114754,0.7510435056746533
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,V_binary,binary,AUROC,mlp_distilled,pooled,pool,3,2,3395,1130,1130,brain_jepa,0.003,0.7214627994955864,0.7339911727616646,0.7267755951373852,0.6775693568726355,0.7339911727616646
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,V_binary,binary,AUROC,mlp_distilled,pooled,pool,4,0,3395,1130,1130,brain_jepa,0.003,0.7451513240857504,0.7012137452711222,0.6977382364611217,0.6418978562421185,0.7012137452711222
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,V_binary,binary,AUROC,mlp_distilled,pooled,pool,4,1,3395,1130,1130,brain_jepa,0.003,0.7440163934426228,0.7070680958385875,0.7014843119526192,0.6528058007566204,0.7070680958385875
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,V_binary,binary,AUROC,mlp_distilled,pooled,pool,4,2,3395,1130,1130,brain_jepa,0.0003,0.7453688524590164,0.7096784363177806,0.7007407805272271,0.653688524590164,0.7096784363177806
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,V_binary,binary,AUROC,mlp_distilled,pooled,pool,5,0,3390,1135,1130,brain_jepa,0.0003,0.7151250781738586,0.7395208070617907,0.7315682771769629,0.6853404791929382,0.7395208070617907
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,V_binary,binary,AUROC,mlp_distilled,pooled,pool,5,1,3390,1135,1130,brain_jepa,0.001,0.7170700437773608,0.7372667087011349,0.7237596938621386,0.6850725094577554,0.7372667087011349
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,V_binary,binary,AUROC,mlp_distilled,pooled,pool,5,2,3390,1135,1130,brain_jepa,0.003,0.7143214509068166,0.7403215636822195,0.7401344797263845,0.6904791929382094,0.7403215636822195
