feature,method,teacher_video,task,task_type,main_metric,head,mode,subject,fold,seed,n_train,n_val,n_test,brain_model,best_lr,val_main,test_pearson_r,test_mae,test_mse,test_rmse,test_main
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,V_reg,regression,pearson_r,mlp_distilled,pooled,pool,1,0,6555,2185,2185,brain_jepa,0.0003,0.3263298571109772,0.3083476424217224,1.5562471151351929,3.5628955364227295,1.8875633860675327,0.3083476424217224
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,V_reg,regression,pearson_r,mlp_distilled,pooled,pool,1,1,6555,2185,2185,brain_jepa,0.003,0.337817519903183,0.30495113134384155,1.5569452047348022,3.5581977367401123,1.8863185671407978,0.30495113134384155
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,V_reg,regression,pearson_r,mlp_distilled,pooled,pool,1,2,6555,2185,2185,brain_jepa,0.003,0.32722678780555725,0.27353405952453613,1.5830607414245605,3.5984857082366943,1.8969675032105042,0.27353405952453613
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,V_reg,regression,pearson_r,mlp_distilled,pooled,pool,2,0,6555,2185,2185,brain_jepa,0.0003,0.36203476786613464,0.322174072265625,1.5649369955062866,3.4669172763824463,1.861965970790671,0.322174072265625
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,V_reg,regression,pearson_r,mlp_distilled,pooled,pool,2,1,6555,2185,2185,brain_jepa,0.0003,0.3578941226005554,0.32058754563331604,1.5596073865890503,3.4753332138061523,1.8642245609920904,0.32058754563331604
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,V_reg,regression,pearson_r,mlp_distilled,pooled,pool,2,2,6555,2185,2185,brain_jepa,0.0003,0.3636929988861084,0.3133443295955658,1.5488016605377197,3.501103162765503,1.8711235028093423,0.3133443295955658
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,V_reg,regression,pearson_r,mlp_distilled,pooled,pool,3,0,6555,2185,2185,brain_jepa,0.0001,0.3389867842197418,0.36066731810569763,1.5048795938491821,3.2800750732421875,1.8110977536406443,0.36066731810569763
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,V_reg,regression,pearson_r,mlp_distilled,pooled,pool,3,1,6555,2185,2185,brain_jepa,0.0001,0.3290365934371948,0.35049736499786377,1.5145660638809204,3.312453508377075,1.8200147000442264,0.35049736499786377
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,V_reg,regression,pearson_r,mlp_distilled,pooled,pool,3,2,6555,2185,2185,brain_jepa,0.0001,0.331695020198822,0.35433676838874817,1.5194776058197021,3.2812154293060303,1.8114125508304368,0.35433676838874817
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,V_reg,regression,pearson_r,mlp_distilled,pooled,pool,4,0,6555,2185,2185,brain_jepa,0.0001,0.3338562548160553,0.3177456557750702,1.5586351156234741,3.5741159915924072,1.8905332558811039,0.3177456557750702
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,V_reg,regression,pearson_r,mlp_distilled,pooled,pool,4,1,6555,2185,2185,brain_jepa,0.0001,0.33364027738571167,0.3146183490753174,1.5635011196136475,3.580920934677124,1.892332141743918,0.3146183490753174
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,V_reg,regression,pearson_r,mlp_distilled,pooled,pool,4,2,6555,2185,2185,brain_jepa,0.0001,0.3336604833602905,0.30957502126693726,1.5594713687896729,3.6123623847961426,1.9006215785358596,0.30957502126693726
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,V_reg,regression,pearson_r,mlp_distilled,pooled,pool,5,0,6555,2185,2185,brain_jepa,0.0001,0.33000802993774414,0.3288942277431488,1.5525233745574951,3.476653575897217,1.8645786590801732,0.3288942277431488
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,V_reg,regression,pearson_r,mlp_distilled,pooled,pool,5,1,6555,2185,2185,brain_jepa,0.0001,0.32114824652671814,0.3291670083999634,1.5514910221099854,3.4861061573028564,1.8671117152711716,0.3291670083999634
Phase2_BrainOnly_II_distillation,II_distillation,clip_pretrained,V_reg,regression,pearson_r,mlp_distilled,pooled,pool,5,2,6555,2185,2185,brain_jepa,0.0001,0.32049697637557983,0.328095018863678,1.5481560230255127,3.4796383380889893,1.8653788725320626,0.328095018863678
