feature,method,task,task_type,main_metric,head,mode,subject,fold,seed,n_train,n_val,n_test,brain_model,best_lr,val_main,test_auroc,test_auprc,test_bal_acc,test_main
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,A_binary,binary,AUROC,mlp_subj_emb,pooled,pool,1,0,3335,1100,1100,brain_jepa,0.0003,0.645211693548387,0.6915793010752689,0.7052784555960843,0.6278225806451613,0.6915793010752689
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,A_binary,binary,AUROC,mlp_subj_emb,pooled,pool,1,1,3335,1100,1100,brain_jepa,0.003,0.649106182795699,0.6843380376344086,0.7188443191324511,0.6049059139784946,0.6843380376344086
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,A_binary,binary,AUROC,mlp_subj_emb,pooled,pool,1,2,3335,1100,1100,brain_jepa,0.0001,0.6484677419354838,0.7014684139784948,0.7220602028105332,0.6324596774193548,0.7014684139784948
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,A_binary,binary,AUROC,mlp_subj_emb,pooled,pool,2,0,3325,1110,1100,brain_jepa,0.0001,0.6572193479510552,0.6341666666666668,0.684966305887915,0.5994959677419355,0.6341666666666668
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,A_binary,binary,AUROC,mlp_subj_emb,pooled,pool,2,1,3325,1110,1100,brain_jepa,0.0003,0.6522361829678902,0.6420665322580645,0.6922543342855922,0.6098454301075269,0.6420665322580645
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,A_binary,binary,AUROC,mlp_subj_emb,pooled,pool,2,2,3325,1110,1100,brain_jepa,0.0003,0.6572292025950562,0.6226176075268817,0.6791015048623414,0.5871639784946237,0.6226176075268817
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,A_binary,binary,AUROC,mlp_subj_emb,pooled,pool,3,0,3310,1115,1110,brain_jepa,0.0003,0.6850710204081633,0.6345963702061262,0.6747837964247849,0.5930524759793052,0.6345963702061262
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,A_binary,binary,AUROC,mlp_subj_emb,pooled,pool,3,1,3310,1115,1110,brain_jepa,0.0003,0.6870661224489796,0.6380881990638089,0.6820564709165069,0.6089184528208919,0.6380881990638089
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,A_binary,binary,AUROC,mlp_subj_emb,pooled,pool,3,2,3310,1115,1110,brain_jepa,0.0001,0.6858057142857144,0.6404697380307137,0.6762860330594571,0.5972653362897264,0.6404697380307137
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,A_binary,binary,AUROC,mlp_subj_emb,pooled,pool,4,0,3310,1110,1115,brain_jepa,0.0001,0.6392625661375662,0.6852800000000001,0.7068461678953577,0.6425714285714286,0.6852800000000001
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,A_binary,binary,AUROC,mlp_subj_emb,pooled,pool,4,1,3310,1110,1115,brain_jepa,0.0001,0.6397519841269842,0.6783673469387754,0.7025725647918646,0.6241142857142856,0.6783673469387754
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,A_binary,binary,AUROC,mlp_subj_emb,pooled,pool,4,2,3310,1110,1115,brain_jepa,0.003,0.6433118386243386,0.6515232653061225,0.6931712246171727,0.6112326530612244,0.6515232653061225
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,A_binary,binary,AUROC,mlp_subj_emb,pooled,pool,5,0,3325,1100,1110,brain_jepa,0.0001,0.6992641129032258,0.6403141534391534,0.6867114945291475,0.5982638888888889,0.6403141534391534
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,A_binary,binary,AUROC,mlp_subj_emb,pooled,pool,5,1,3325,1100,1110,brain_jepa,0.0003,0.7024630376344086,0.6252579365079365,0.674336359692129,0.5966269841269841,0.6252579365079365
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,A_binary,binary,AUROC,mlp_subj_emb,pooled,pool,5,2,3325,1100,1110,brain_jepa,0.0001,0.700866935483871,0.6344411375661376,0.6831435583524813,0.6043650793650793,0.6344411375661376
