feature,method,task,task_type,main_metric,head,mode,subject,fold,seed,n_train,n_val,n_test,brain_model,best_lr,val_main,test_pearson_r,test_mae,test_mse,test_rmse,test_main
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,A_reg,regression,pearson_r,mlp_subj_emb,pooled,pool,1,0,6555,2185,2185,brain_jepa,0.0001,0.20101460814476013,0.26807284355163574,0.7109153866767883,0.8200789093971252,0.9055820831913169,0.26807284355163574
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,A_reg,regression,pearson_r,mlp_subj_emb,pooled,pool,1,1,6555,2185,2185,brain_jepa,0.0001,0.19257953763008118,0.2570914030075073,0.7121967673301697,0.8249559998512268,0.9082708846215576,0.2570914030075073
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,A_reg,regression,pearson_r,mlp_subj_emb,pooled,pool,1,2,6555,2185,2185,brain_jepa,0.0001,0.19532960653305054,0.26619070768356323,0.7121930122375488,0.8284004926681519,0.9101650908863468,0.26619070768356323
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,A_reg,regression,pearson_r,mlp_subj_emb,pooled,pool,2,0,6555,2185,2185,brain_jepa,0.0001,0.22841876745224,0.17634505033493042,0.7154713273048401,0.8294841647148132,0.9107602125229304,0.17634505033493042
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,A_reg,regression,pearson_r,mlp_subj_emb,pooled,pool,2,1,6555,2185,2185,brain_jepa,0.0003,0.22910724580287933,0.17939919233322144,0.7106127738952637,0.8178341388702393,0.9043418263412565,0.17939919233322144
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,A_reg,regression,pearson_r,mlp_subj_emb,pooled,pool,2,2,6555,2185,2185,brain_jepa,0.0003,0.222214937210083,0.17927467823028564,0.7083745002746582,0.8153939247131348,0.9029916526264984,0.17927467823028564
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,A_reg,regression,pearson_r,mlp_subj_emb,pooled,pool,3,0,6555,2185,2185,brain_jepa,0.0003,0.27268409729003906,0.20762622356414795,0.7162141799926758,0.8119091391563416,0.9010600086322451,0.20762622356414795
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,A_reg,regression,pearson_r,mlp_subj_emb,pooled,pool,3,1,6555,2185,2185,brain_jepa,0.0003,0.26565298438072205,0.2222682386636734,0.7166523933410645,0.8133026361465454,0.901832931393917,0.2222682386636734
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,A_reg,regression,pearson_r,mlp_subj_emb,pooled,pool,3,2,6555,2185,2185,brain_jepa,0.0003,0.27026882767677307,0.21043407917022705,0.7165260314941406,0.8105037212371826,0.9002798016379033,0.21043407917022705
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,A_reg,regression,pearson_r,mlp_subj_emb,pooled,pool,4,0,6555,2185,2185,brain_jepa,0.0001,0.22848272323608398,0.25963324308395386,0.7088271379470825,0.7744746804237366,0.8800424310359908,0.25963324308395386
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,A_reg,regression,pearson_r,mlp_subj_emb,pooled,pool,4,1,6555,2185,2185,brain_jepa,0.0001,0.22743506729602814,0.25812476873397827,0.7085062861442566,0.7734091281890869,0.8794368244445344,0.25812476873397827
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,A_reg,regression,pearson_r,mlp_subj_emb,pooled,pool,4,2,6555,2185,2185,brain_jepa,0.0001,0.22602422535419464,0.24885857105255127,0.710195779800415,0.7766537070274353,0.881279585050871,0.24885857105255127
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,A_reg,regression,pearson_r,mlp_subj_emb,pooled,pool,5,0,6555,2185,2185,brain_jepa,0.0003,0.2613995671272278,0.19755494594573975,0.6954406499862671,0.7602730989456177,0.8719364076270801,0.19755494594573975
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,A_reg,regression,pearson_r,mlp_subj_emb,pooled,pool,5,1,6555,2185,2185,brain_jepa,0.0001,0.2664434313774109,0.2273990362882614,0.6880323886871338,0.7381654977798462,0.8591655822830929,0.2273990362882614
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,A_reg,regression,pearson_r,mlp_subj_emb,pooled,pool,5,2,6555,2185,2185,brain_jepa,0.0001,0.2608445882797241,0.2261919379234314,0.6888483166694641,0.7399769425392151,0.8602191247230063,0.2261919379234314
