feature,method,task,task_type,main_metric,head,mode,subject,fold,seed,n_train,n_val,n_test,brain_model,best_lr,val_main,test_macro_auroc,test_macro_f1,test_micro_f1,test_main
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,Cat34_multilabel,multilabel,macro_auroc,mlp_subj_emb,pooled,pool,1,0,6555,2185,2185,brain_jepa,0.0003,0.6858878625267354,0.7088034096201149,0.11861147400456681,0.25260525218841184,0.7088034096201149
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,Cat34_multilabel,multilabel,macro_auroc,mlp_subj_emb,pooled,pool,1,1,6555,2185,2185,brain_jepa,0.0003,0.6836269106303896,0.6996714898731422,0.11056457154728241,0.2463535958182278,0.6996714898731422
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,Cat34_multilabel,multilabel,macro_auroc,mlp_subj_emb,pooled,pool,1,2,6555,2185,2185,brain_jepa,0.001,0.6814239958512802,0.7028980724265547,0.1103984141165947,0.24599465954606142,0.7028980724265547
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,Cat34_multilabel,multilabel,macro_auroc,mlp_subj_emb,pooled,pool,2,0,6555,2185,2185,brain_jepa,0.0003,0.691166683581063,0.6934372202244039,0.1224239781698248,0.2614303431169905,0.6934372202244039
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,Cat34_multilabel,multilabel,macro_auroc,mlp_subj_emb,pooled,pool,2,1,6555,2185,2185,brain_jepa,0.0003,0.6866827741858992,0.6876282535880714,0.09442770932984842,0.22957904745440402,0.6876282535880714
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,Cat34_multilabel,multilabel,macro_auroc,mlp_subj_emb,pooled,pool,2,2,6555,2185,2185,brain_jepa,0.0003,0.6893918522709866,0.6868811343584756,0.09684640564856928,0.23320767649074708,0.6868811343584756
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,Cat34_multilabel,multilabel,macro_auroc,mlp_subj_emb,pooled,pool,3,0,6555,2185,2185,brain_jepa,0.0003,0.689130182198934,0.677261022016564,0.13036729951021944,0.27893707205738505,0.677261022016564
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,Cat34_multilabel,multilabel,macro_auroc,mlp_subj_emb,pooled,pool,3,1,6555,2185,2185,brain_jepa,0.001,0.6820117546140069,0.6654897856169797,0.13059265536443895,0.2739440570649996,0.6654897856169797
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,Cat34_multilabel,multilabel,macro_auroc,mlp_subj_emb,pooled,pool,3,2,6555,2185,2185,brain_jepa,0.0003,0.6863634357036278,0.673895626263721,0.12165188127828946,0.2751721876024926,0.673895626263721
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,Cat34_multilabel,multilabel,macro_auroc,mlp_subj_emb,pooled,pool,4,0,6555,2185,2185,brain_jepa,0.0003,0.6875158401444585,0.6814920236178849,0.10482794238294683,0.24909473684210526,0.6814920236178849
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,Cat34_multilabel,multilabel,macro_auroc,mlp_subj_emb,pooled,pool,4,1,6555,2185,2185,brain_jepa,0.0003,0.6881093970645837,0.6820628081381432,0.11367070329256114,0.2539284520227349,0.6820628081381432
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,Cat34_multilabel,multilabel,macro_auroc,mlp_subj_emb,pooled,pool,4,2,6555,2185,2185,brain_jepa,0.0003,0.6878973560515922,0.6827847643804495,0.10486888565576787,0.24114800033964506,0.6827847643804495
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,Cat34_multilabel,multilabel,macro_auroc,mlp_subj_emb,pooled,pool,5,0,6555,2185,2185,brain_jepa,0.0003,0.7096710998112175,0.6804871146657893,0.1229522504469444,0.2577153969730278,0.6804871146657893
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,Cat34_multilabel,multilabel,macro_auroc,mlp_subj_emb,pooled,pool,5,1,6555,2185,2185,brain_jepa,0.0003,0.7107895832377799,0.6795393629173995,0.11355891728569836,0.24939592682084916,0.6795393629173995
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,Cat34_multilabel,multilabel,macro_auroc,mlp_subj_emb,pooled,pool,5,2,6555,2185,2185,brain_jepa,0.0003,0.7100483826695534,0.6765997749347052,0.12039831884271447,0.2623448974423905,0.6765997749347052
