feature,method,task,task_type,main_metric,head,mode,subject,fold,seed,n_train,n_val,n_test,brain_model,best_lr,val_main,test_pearson_r_mean,test_top1_acc,test_main
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,Cat34_soft,soft_dist,mean_pearson_r,mlp_subj_emb,pooled,pool,1,0,6555,2185,2185,brain_jepa,0.0003,0.2530484199523926,0.27021604055977044,0.32723112128146453,0.27021604055977044
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,Cat34_soft,soft_dist,mean_pearson_r,mlp_subj_emb,pooled,pool,1,1,6555,2185,2185,brain_jepa,0.0003,0.2518284022808075,0.2681686100276077,0.32036613272311215,0.2681686100276077
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,Cat34_soft,soft_dist,mean_pearson_r,mlp_subj_emb,pooled,pool,1,2,6555,2185,2185,brain_jepa,0.0003,0.2539238929748535,0.27291986910516725,0.3299771167048055,0.27291986910516725
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,Cat34_soft,soft_dist,mean_pearson_r,mlp_subj_emb,pooled,pool,2,0,6555,2185,2185,brain_jepa,0.0003,0.26043522357940674,0.2563611369799165,0.2956521739130435,0.2563611369799165
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,Cat34_soft,soft_dist,mean_pearson_r,mlp_subj_emb,pooled,pool,2,1,6555,2185,2185,brain_jepa,0.0003,0.26425901055336,0.2565942272982177,0.297025171624714,0.2565942272982177
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,Cat34_soft,soft_dist,mean_pearson_r,mlp_subj_emb,pooled,pool,2,2,6555,2185,2185,brain_jepa,0.0003,0.2648346424102783,0.25849364500711947,0.30205949656750575,0.25849364500711947
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,Cat34_soft,soft_dist,mean_pearson_r,mlp_subj_emb,pooled,pool,3,0,6555,2185,2185,brain_jepa,0.0001,0.24688602983951569,0.2564995291588061,0.32540045766590386,0.2564995291588061
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,Cat34_soft,soft_dist,mean_pearson_r,mlp_subj_emb,pooled,pool,3,1,6555,2185,2185,brain_jepa,0.0003,0.2474008947610855,0.2614341687191935,0.3295194508009153,0.2614341687191935
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,Cat34_soft,soft_dist,mean_pearson_r,mlp_subj_emb,pooled,pool,3,2,6555,2185,2185,brain_jepa,0.0003,0.24747568368911743,0.2568264122614089,0.3208237986270023,0.2568264122614089
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,Cat34_soft,soft_dist,mean_pearson_r,mlp_subj_emb,pooled,pool,4,0,6555,2185,2185,brain_jepa,0.0003,0.24916724860668182,0.24747110191075242,0.2951945080091533,0.24747110191075242
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,Cat34_soft,soft_dist,mean_pearson_r,mlp_subj_emb,pooled,pool,4,1,6555,2185,2185,brain_jepa,0.0003,0.2525086998939514,0.24300657377085266,0.2929061784897025,0.24300657377085266
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,Cat34_soft,soft_dist,mean_pearson_r,mlp_subj_emb,pooled,pool,4,2,6555,2185,2185,brain_jepa,0.0003,0.24883946776390076,0.24594023936044643,0.2933638443935927,0.24594023936044643
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,Cat34_soft,soft_dist,mean_pearson_r,mlp_subj_emb,pooled,pool,5,0,6555,2185,2185,brain_jepa,0.0003,0.2714577615261078,0.24581558449084268,0.28649885583524026,0.24581558449084268
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,Cat34_soft,soft_dist,mean_pearson_r,mlp_subj_emb,pooled,pool,5,1,6555,2185,2185,brain_jepa,0.0003,0.2775697708129883,0.24479081569349065,0.2764302059496567,0.24479081569349065
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,Cat34_soft,soft_dist,mean_pearson_r,mlp_subj_emb,pooled,pool,5,2,6555,2185,2185,brain_jepa,0.0003,0.2756046652793884,0.2465207690701765,0.28421052631578947,0.2465207690701765
