feature,method,task,task_type,main_metric,head,mode,subject,fold,seed,n_train,n_val,n_test,brain_model,best_lr,val_main,test_auroc,test_auprc,test_bal_acc,test_main
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,V_binary,binary,AUROC,mlp_subj_emb,pooled,pool,1,0,3390,1130,1135,brain_jepa,0.003,0.7172436656405399,0.7045372107567229,0.7238908219819136,0.6427923702313947,0.7045372107567229
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,V_binary,binary,AUROC,mlp_subj_emb,pooled,pool,1,1,3390,1130,1135,brain_jepa,0.003,0.7231415265608967,0.7118918073796123,0.7379696961063936,0.6464118198874296,0.7118918073796123
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,V_binary,binary,AUROC,mlp_subj_emb,pooled,pool,1,2,3390,1130,1135,brain_jepa,0.0003,0.7191127950114452,0.7072701688555347,0.7284031208288289,0.6478033145716073,0.7072701688555347
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,V_binary,binary,AUROC,mlp_subj_emb,pooled,pool,2,0,3395,1130,1130,brain_jepa,0.0003,0.7631998738965953,0.7070044991712052,0.7099360088584059,0.6670060778277687,0.7070044991712052
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,V_binary,binary,AUROC,mlp_subj_emb,pooled,pool,2,1,3395,1130,1130,brain_jepa,0.0001,0.7596500630517024,0.7079737943010498,0.7113926514354116,0.6625542663193622,0.7079737943010498
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,V_binary,binary,AUROC,mlp_subj_emb,pooled,pool,2,2,3395,1130,1130,brain_jepa,0.0001,0.7594640605296343,0.7085326387244455,0.7070021699958141,0.6644091877811982,0.7085326387244455
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,V_binary,binary,AUROC,mlp_subj_emb,pooled,pool,3,0,3395,1130,1130,brain_jepa,0.0001,0.7184646910466583,0.7544199243379571,0.7459383497965563,0.6861601513240858,0.7544199243379571
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,V_binary,binary,AUROC,mlp_subj_emb,pooled,pool,3,1,3395,1130,1130,brain_jepa,0.003,0.7158417402269862,0.7315195460277428,0.7278103587572475,0.6684426229508197,0.7315195460277428
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,V_binary,binary,AUROC,mlp_subj_emb,pooled,pool,3,2,3395,1130,1130,brain_jepa,0.0003,0.7225378310214375,0.7444451450189156,0.7372230903554488,0.6684741488020176,0.7444451450189156
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,V_binary,binary,AUROC,mlp_subj_emb,pooled,pool,4,0,3395,1130,1130,brain_jepa,0.0003,0.7371311475409836,0.7060766078184111,0.6899192469260454,0.6441046658259773,0.7060766078184111
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,V_binary,binary,AUROC,mlp_subj_emb,pooled,pool,4,1,3395,1130,1130,brain_jepa,0.0003,0.7363335435056748,0.7051324085750316,0.6988974425714284,0.6479035308953343,0.7051324085750316
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,V_binary,binary,AUROC,mlp_subj_emb,pooled,pool,4,2,3395,1130,1130,brain_jepa,0.0001,0.7455548549810846,0.7105438209331653,0.7042871773390815,0.6466267339218159,0.7105438209331653
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,V_binary,binary,AUROC,mlp_subj_emb,pooled,pool,5,0,3390,1135,1130,brain_jepa,0.0003,0.7201469668542839,0.7370066204287516,0.7325979016393637,0.6854981084489281,0.7370066204287516
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,V_binary,binary,AUROC,mlp_subj_emb,pooled,pool,5,1,3390,1135,1130,brain_jepa,0.0001,0.7157223264540338,0.7376324085750315,0.7322488863331222,0.6888713745271122,0.7376324085750315
Phase2_BrainOnly_IV_subject_aware,IV_subject_aware,V_binary,binary,AUROC,mlp_subj_emb,pooled,pool,5,2,3390,1135,1130,brain_jepa,0.0003,0.7199030644152595,0.7343631778058007,0.7220831758086043,0.6780422446406054,0.7343631778058007
