feature,method,task,task_type,main_metric,head,mode,subject,fold,seed,n_train,n_val,n_test,brain_model,best_lr,val_main,test_auroc,test_auprc,test_bal_acc,test_main
Phase2_BrainOnly_I_supervised,I_supervised,A_binary,binary,AUROC,mlp_trained,pooled,pool,1,0,3335,1100,1100,brain_jepa,0.0003,0.6480678763440861,0.6953293010752688,0.716853622400935,0.6220094086021506,0.6953293010752688
Phase2_BrainOnly_I_supervised,I_supervised,A_binary,binary,AUROC,mlp_trained,pooled,pool,1,1,3335,1100,1100,brain_jepa,0.0001,0.6492405913978495,0.6866733870967741,0.7053102768163719,0.6211693548387096,0.6866733870967741
Phase2_BrainOnly_I_supervised,I_supervised,A_binary,binary,AUROC,mlp_trained,pooled,pool,1,2,3335,1100,1100,brain_jepa,0.001,0.6528897849462366,0.6942641129032259,0.7266660104194834,0.6246639784946236,0.6942641129032259
Phase2_BrainOnly_I_supervised,I_supervised,A_binary,binary,AUROC,mlp_trained,pooled,pool,2,0,3325,1110,1100,brain_jepa,0.003,0.6597158577646383,0.6303528225806452,0.6788521315891309,0.5860551075268817,0.6303528225806452
Phase2_BrainOnly_I_supervised,I_supervised,A_binary,binary,AUROC,mlp_trained,pooled,pool,2,1,3325,1110,1100,brain_jepa,0.0003,0.6570978073417099,0.6164516129032258,0.6743118022155999,0.5732862903225806,0.6164516129032258
Phase2_BrainOnly_I_supervised,I_supervised,A_binary,binary,AUROC,mlp_trained,pooled,pool,2,2,3325,1110,1100,brain_jepa,0.0003,0.6560170813829351,0.6367473118279571,0.6942982530488792,0.5961357526881721,0.6367473118279571
Phase2_BrainOnly_I_supervised,I_supervised,A_binary,binary,AUROC,mlp_trained,pooled,pool,3,0,3310,1115,1110,brain_jepa,0.0003,0.6861322448979592,0.6447565081711424,0.688517752130736,0.6008130081300813,0.6447565081711424
Phase2_BrainOnly_I_supervised,I_supervised,A_binary,binary,AUROC,mlp_trained,pooled,pool,3,1,3310,1115,1110,brain_jepa,0.0003,0.6858579591836735,0.6322378254085571,0.6726663822096228,0.5856614929785662,0.6322378254085571
Phase2_BrainOnly_I_supervised,I_supervised,A_binary,binary,AUROC,mlp_trained,pooled,pool,3,2,3310,1115,1110,brain_jepa,0.003,0.6810742857142857,0.6346916317648026,0.6782040038431261,0.6000985464400099,0.6346916317648026
Phase2_BrainOnly_I_supervised,I_supervised,A_binary,binary,AUROC,mlp_trained,pooled,pool,4,0,3310,1110,1115,brain_jepa,0.0003,0.6389847883597883,0.6760228571428571,0.703464562038738,0.6190122448979591,0.6760228571428571
Phase2_BrainOnly_I_supervised,I_supervised,A_binary,binary,AUROC,mlp_trained,pooled,pool,4,1,3310,1110,1115,brain_jepa,0.0001,0.639725529100529,0.6831869387755102,0.704014391478549,0.6373877551020408,0.6831869387755102
Phase2_BrainOnly_I_supervised,I_supervised,A_binary,binary,AUROC,mlp_trained,pooled,pool,4,2,3310,1110,1115,brain_jepa,0.001,0.6394973544973546,0.670044081632653,0.697402071447461,0.6341142857142856,0.670044081632653
Phase2_BrainOnly_I_supervised,I_supervised,A_binary,binary,AUROC,mlp_trained,pooled,pool,5,0,3325,1100,1110,brain_jepa,0.0003,0.7041969086021505,0.6289980158730158,0.6769668783775744,0.5831349206349207,0.6289980158730158
Phase2_BrainOnly_I_supervised,I_supervised,A_binary,binary,AUROC,mlp_trained,pooled,pool,5,1,3325,1100,1110,brain_jepa,0.001,0.7041448252688172,0.6353009259259259,0.6839820218598618,0.5916170634920634,0.6353009259259259
Phase2_BrainOnly_I_supervised,I_supervised,A_binary,binary,AUROC,mlp_trained,pooled,pool,5,2,3325,1100,1110,brain_jepa,0.0003,0.6988709677419355,0.6362400793650793,0.6801342723378412,0.5990079365079365,0.6362400793650793
