feature,method,task,task_type,main_metric,head,mode,subject,fold,seed,n_train,n_val,n_test,brain_model,best_lr,val_main,test_pearson_r,test_mae,test_mse,test_rmse,test_main
Phase2_BrainOnly_I_supervised,I_supervised,A_reg,regression,pearson_r,mlp_trained,pooled,pool,1,0,6555,2185,2185,brain_jepa,0.0001,0.19660834968090057,0.2790641188621521,0.7093235850334167,0.8140532970428467,0.902249021635849,0.2790641188621521
Phase2_BrainOnly_I_supervised,I_supervised,A_reg,regression,pearson_r,mlp_trained,pooled,pool,1,1,6555,2185,2185,brain_jepa,0.0001,0.19941920042037964,0.2617660164833069,0.7102896571159363,0.8277713656425476,0.9098194137533819,0.2617660164833069
Phase2_BrainOnly_I_supervised,I_supervised,A_reg,regression,pearson_r,mlp_trained,pooled,pool,1,2,6555,2185,2185,brain_jepa,0.0001,0.19086988270282745,0.26654523611068726,0.7107516527175903,0.8224284052848816,0.9068783850577108,0.26654523611068726
Phase2_BrainOnly_I_supervised,I_supervised,A_reg,regression,pearson_r,mlp_trained,pooled,pool,2,0,6555,2185,2185,brain_jepa,0.0001,0.22039619088172913,0.18297439813613892,0.7121372222900391,0.8234562873840332,0.9074449225071641,0.18297439813613892
Phase2_BrainOnly_I_supervised,I_supervised,A_reg,regression,pearson_r,mlp_trained,pooled,pool,2,1,6555,2185,2185,brain_jepa,0.001,0.22680160403251648,0.16475644707679749,0.7095265984535217,0.8154914975166321,0.9030456785327263,0.16475644707679749
Phase2_BrainOnly_I_supervised,I_supervised,A_reg,regression,pearson_r,mlp_trained,pooled,pool,2,2,6555,2185,2185,brain_jepa,0.0001,0.2293304204940796,0.18652361631393433,0.7143335342407227,0.8299184441566467,0.9109985972308886,0.18652361631393433
Phase2_BrainOnly_I_supervised,I_supervised,A_reg,regression,pearson_r,mlp_trained,pooled,pool,3,0,6555,2185,2185,brain_jepa,0.0003,0.27482908964157104,0.20950692892074585,0.7136511206626892,0.8096101880073547,0.8997834117204844,0.20950692892074585
Phase2_BrainOnly_I_supervised,I_supervised,A_reg,regression,pearson_r,mlp_trained,pooled,pool,3,1,6555,2185,2185,brain_jepa,0.0001,0.2684153616428375,0.2159537822008133,0.7164361476898193,0.811903715133667,0.9010569988261936,0.2159537822008133
Phase2_BrainOnly_I_supervised,I_supervised,A_reg,regression,pearson_r,mlp_trained,pooled,pool,3,2,6555,2185,2185,brain_jepa,0.0003,0.27646782994270325,0.21140162646770477,0.7160225510597229,0.8149918913841248,0.9027690133052445,0.21140162646770477
Phase2_BrainOnly_I_supervised,I_supervised,A_reg,regression,pearson_r,mlp_trained,pooled,pool,4,0,6555,2185,2185,brain_jepa,0.0001,0.22443553805351257,0.24419181048870087,0.7112377285957336,0.7785454392433167,0.8823522194924862,0.24419181048870087
Phase2_BrainOnly_I_supervised,I_supervised,A_reg,regression,pearson_r,mlp_trained,pooled,pool,4,1,6555,2185,2185,brain_jepa,0.0001,0.22228151559829712,0.24955052137374878,0.7099288702011108,0.7765378355979919,0.8812138421506961,0.24955052137374878
Phase2_BrainOnly_I_supervised,I_supervised,A_reg,regression,pearson_r,mlp_trained,pooled,pool,4,2,6555,2185,2185,brain_jepa,0.0001,0.22795486450195312,0.24589595198631287,0.7133495211601257,0.7837544083595276,0.8852990502420792,0.24589595198631287
Phase2_BrainOnly_I_supervised,I_supervised,A_reg,regression,pearson_r,mlp_trained,pooled,pool,5,0,6555,2185,2185,brain_jepa,0.0001,0.27206867933273315,0.23265111446380615,0.6877579689025879,0.7355262041091919,0.8576282435351531,0.23265111446380615
Phase2_BrainOnly_I_supervised,I_supervised,A_reg,regression,pearson_r,mlp_trained,pooled,pool,5,1,6555,2185,2185,brain_jepa,0.0001,0.2600708603858948,0.22403433918952942,0.687626302242279,0.7368645668029785,0.8584081586302512,0.22403433918952942
Phase2_BrainOnly_I_supervised,I_supervised,A_reg,regression,pearson_r,mlp_trained,pooled,pool,5,2,6555,2185,2185,brain_jepa,0.0003,0.2672464847564697,0.21882331371307373,0.6896807551383972,0.7404713034629822,0.8605064226738707,0.21882331371307373
