feature,method,task,task_type,main_metric,head,mode,subject,fold,seed,n_train,n_val,n_test,brain_model,best_lr,val_main,test_pearson_r_mean,test_top1_acc,test_main
Phase2_BrainOnly_I_supervised,I_supervised,Cat34_soft,soft_dist,mean_pearson_r,mlp_trained,pooled,pool,1,0,6555,2185,2185,brain_jepa,0.0003,0.2508518397808075,0.2657180874444106,0.32585812356979404,0.2657180874444106
Phase2_BrainOnly_I_supervised,I_supervised,Cat34_soft,soft_dist,mean_pearson_r,mlp_trained,pooled,pool,1,1,6555,2185,2185,brain_jepa,0.0003,0.2512534558773041,0.2683841182220289,0.3116704805491991,0.2683841182220289
Phase2_BrainOnly_I_supervised,I_supervised,Cat34_soft,soft_dist,mean_pearson_r,mlp_trained,pooled,pool,1,2,6555,2185,2185,brain_jepa,0.0003,0.2538318634033203,0.2691680190619081,0.317162471395881,0.2691680190619081
Phase2_BrainOnly_I_supervised,I_supervised,Cat34_soft,soft_dist,mean_pearson_r,mlp_trained,pooled,pool,2,0,6555,2185,2185,brain_jepa,0.0001,0.26278504729270935,0.25862657410257,0.2997711670480549,0.25862657410257
Phase2_BrainOnly_I_supervised,I_supervised,Cat34_soft,soft_dist,mean_pearson_r,mlp_trained,pooled,pool,2,1,6555,2185,2185,brain_jepa,0.0003,0.2607012689113617,0.25682054240913954,0.28604118993135014,0.25682054240913954
Phase2_BrainOnly_I_supervised,I_supervised,Cat34_soft,soft_dist,mean_pearson_r,mlp_trained,pooled,pool,2,2,6555,2185,2185,brain_jepa,0.0003,0.2631151080131531,0.2565717438564581,0.2988558352402746,0.2565717438564581
Phase2_BrainOnly_I_supervised,I_supervised,Cat34_soft,soft_dist,mean_pearson_r,mlp_trained,pooled,pool,3,0,6555,2185,2185,brain_jepa,0.0003,0.24543705582618713,0.2523406695793657,0.32036613272311215,0.2523406695793657
Phase2_BrainOnly_I_supervised,I_supervised,Cat34_soft,soft_dist,mean_pearson_r,mlp_trained,pooled,pool,3,1,6555,2185,2185,brain_jepa,0.0001,0.24305690824985504,0.2565519339678919,0.3176201372997712,0.2565519339678919
Phase2_BrainOnly_I_supervised,I_supervised,Cat34_soft,soft_dist,mean_pearson_r,mlp_trained,pooled,pool,3,2,6555,2185,2185,brain_jepa,0.0003,0.24415604770183563,0.25584870155024175,0.3208237986270023,0.25584870155024175
Phase2_BrainOnly_I_supervised,I_supervised,Cat34_soft,soft_dist,mean_pearson_r,mlp_trained,pooled,pool,4,0,6555,2185,2185,brain_jepa,0.0003,0.24923458695411682,0.24675596636884353,0.30480549199084667,0.24675596636884353
Phase2_BrainOnly_I_supervised,I_supervised,Cat34_soft,soft_dist,mean_pearson_r,mlp_trained,pooled,pool,4,1,6555,2185,2185,brain_jepa,0.0003,0.25017547607421875,0.24361757791655905,0.29473684210526313,0.24361757791655905
Phase2_BrainOnly_I_supervised,I_supervised,Cat34_soft,soft_dist,mean_pearson_r,mlp_trained,pooled,pool,4,2,6555,2185,2185,brain_jepa,0.0003,0.24862922728061676,0.24176338523188057,0.29244851258581234,0.24176338523188057
Phase2_BrainOnly_I_supervised,I_supervised,Cat34_soft,soft_dist,mean_pearson_r,mlp_trained,pooled,pool,5,0,6555,2185,2185,brain_jepa,0.0003,0.2722048759460449,0.2418343213879887,0.2755148741418764,0.2418343213879887
Phase2_BrainOnly_I_supervised,I_supervised,Cat34_soft,soft_dist,mean_pearson_r,mlp_trained,pooled,pool,5,1,6555,2185,2185,brain_jepa,0.0003,0.2746756970882416,0.2404035454725518,0.2787185354691076,0.2404035454725518
Phase2_BrainOnly_I_supervised,I_supervised,Cat34_soft,soft_dist,mean_pearson_r,mlp_trained,pooled,pool,5,2,6555,2185,2185,brain_jepa,0.0001,0.2713329792022705,0.24517892377779765,0.282837528604119,0.24517892377779765
