feature,method,task,task_type,main_metric,head,mode,subject,fold,seed,n_train,n_val,n_test,brain_model,best_lr,val_main,test_auroc,test_auprc,test_bal_acc,test_main
Phase2_BrainOnly_I_supervised,I_supervised,V_binary,binary,AUROC,mlp_trained,pooled,pool,1,0,3390,1130,1135,brain_jepa,0.0003,0.718812850264425,0.7112757973733583,0.7340551338464839,0.645067229518449,0.7112757973733583
Phase2_BrainOnly_I_supervised,I_supervised,V_binary,binary,AUROC,mlp_trained,pooled,pool,1,1,3390,1130,1135,brain_jepa,0.003,0.7204704396558528,0.6845278298936834,0.7007008271336768,0.611890243902439,0.6845278298936834
Phase2_BrainOnly_I_supervised,I_supervised,V_binary,binary,AUROC,mlp_trained,pooled,pool,1,2,3390,1130,1135,brain_jepa,0.003,0.7125076959507458,0.7057035647279549,0.7239357960624365,0.6489837398373983,0.7057035647279549
Phase2_BrainOnly_I_supervised,I_supervised,V_binary,binary,AUROC,mlp_trained,pooled,pool,2,0,3395,1130,1130,brain_jepa,0.0001,0.7590163934426231,0.7029599810561213,0.7009270049885739,0.6462072776067567,0.7029599810561213
Phase2_BrainOnly_I_supervised,I_supervised,V_binary,binary,AUROC,mlp_trained,pooled,pool,2,1,3395,1130,1130,brain_jepa,0.0001,0.7614029003783103,0.7108879943168365,0.7078702000190233,0.6676612203015233,0.7108879943168365
Phase2_BrainOnly_I_supervised,I_supervised,V_binary,binary,AUROC,mlp_trained,pooled,pool,2,2,3395,1130,1130,brain_jepa,0.0003,0.7600063051702396,0.7058615518194017,0.7032822614663882,0.6559396953192833,0.7058615518194017
Phase2_BrainOnly_I_supervised,I_supervised,V_binary,binary,AUROC,mlp_trained,pooled,pool,3,0,3395,1130,1130,brain_jepa,0.0001,0.7155453972257252,0.7483575031525852,0.744784623976511,0.678609709962169,0.7483575031525852
Phase2_BrainOnly_I_supervised,I_supervised,V_binary,binary,AUROC,mlp_trained,pooled,pool,3,1,3395,1130,1130,brain_jepa,0.0001,0.7181368221941993,0.7532597730138715,0.7503299369124785,0.7006305170239596,0.7532597730138715
Phase2_BrainOnly_I_supervised,I_supervised,V_binary,binary,AUROC,mlp_trained,pooled,pool,3,2,3395,1130,1130,brain_jepa,0.003,0.718029634300126,0.7295680958385876,0.723283554580152,0.6738335435056746,0.7295680958385876
Phase2_BrainOnly_I_supervised,I_supervised,V_binary,binary,AUROC,mlp_trained,pooled,pool,4,0,3395,1130,1130,brain_jepa,0.0001,0.7401261034047918,0.7023675914249684,0.6883415755894269,0.6452080706179066,0.7023675914249684
Phase2_BrainOnly_I_supervised,I_supervised,V_binary,binary,AUROC,mlp_trained,pooled,pool,4,1,3395,1130,1130,brain_jepa,0.0003,0.7401197982345523,0.7055201765447667,0.6966644472527279,0.6502679697351829,0.7055201765447667
Phase2_BrainOnly_I_supervised,I_supervised,V_binary,binary,AUROC,mlp_trained,pooled,pool,4,2,3395,1130,1130,brain_jepa,0.0003,0.7406462799495586,0.7021469104665826,0.6922961718030188,0.6459646910466583,0.7021469104665826
Phase2_BrainOnly_I_supervised,I_supervised,V_binary,binary,AUROC,mlp_trained,pooled,pool,5,0,3390,1135,1130,brain_jepa,0.001,0.7144152595372107,0.720796027742749,0.7184499128469513,0.678483606557377,0.720796027742749
Phase2_BrainOnly_I_supervised,I_supervised,V_binary,binary,AUROC,mlp_trained,pooled,pool,5,1,3390,1135,1130,brain_jepa,0.0001,0.7187179487179487,0.7377301387137453,0.7347491975796137,0.6853089533417402,0.7377301387137453
Phase2_BrainOnly_I_supervised,I_supervised,V_binary,binary,AUROC,mlp_trained,pooled,pool,5,2,3390,1135,1130,brain_jepa,0.001,0.7173202001250781,0.7271122320302648,0.7169336662383681,0.6672288776796973,0.7271122320302648
