feature,method,task,task_type,main_metric,head,mode,subject,fold,seed,n_train,n_val,n_test,brain_model,best_lr,val_main,test_pearson_r,test_mae,test_mse,test_rmse,test_main
Phase2_BrainOnly_I_supervised,I_supervised,V_reg,regression,pearson_r,mlp_trained,pooled,pool,1,0,6555,2185,2185,brain_jepa,0.003,0.33631420135498047,0.2924618721008301,1.5623172521591187,3.6297848224639893,1.9051994180305611,0.2924618721008301
Phase2_BrainOnly_I_supervised,I_supervised,V_reg,regression,pearson_r,mlp_trained,pooled,pool,1,1,6555,2185,2185,brain_jepa,0.0001,0.31870514154434204,0.318541556596756,1.564755916595459,3.5506768226623535,1.8843239696671996,0.318541556596756
Phase2_BrainOnly_I_supervised,I_supervised,V_reg,regression,pearson_r,mlp_trained,pooled,pool,1,2,6555,2185,2185,brain_jepa,0.0003,0.3244033753871918,0.2986451983451843,1.568132758140564,3.5840845108032227,1.8931678506680867,0.2986451983451843
Phase2_BrainOnly_I_supervised,I_supervised,V_reg,regression,pearson_r,mlp_trained,pooled,pool,2,0,6555,2185,2185,brain_jepa,0.0001,0.3621864914894104,0.3271501064300537,1.545859932899475,3.4538936614990234,1.858465404977726,0.3271501064300537
Phase2_BrainOnly_I_supervised,I_supervised,V_reg,regression,pearson_r,mlp_trained,pooled,pool,2,1,6555,2185,2185,brain_jepa,0.0003,0.36022359132766724,0.3174573481082916,1.5606869459152222,3.4909207820892334,1.8684005946502034,0.3174573481082916
Phase2_BrainOnly_I_supervised,I_supervised,V_reg,regression,pearson_r,mlp_trained,pooled,pool,2,2,6555,2185,2185,brain_jepa,0.0003,0.3636932373046875,0.3350920081138611,1.544886827468872,3.4388675689697266,1.8544183910244545,0.3350920081138611
Phase2_BrainOnly_I_supervised,I_supervised,V_reg,regression,pearson_r,mlp_trained,pooled,pool,3,0,6555,2185,2185,brain_jepa,0.0001,0.3388754427433014,0.36225181818008423,1.5018888711929321,3.2799949645996094,1.811075637459576,0.36225181818008423
Phase2_BrainOnly_I_supervised,I_supervised,V_reg,regression,pearson_r,mlp_trained,pooled,pool,3,1,6555,2185,2185,brain_jepa,0.0001,0.3273080885410309,0.3478515148162842,1.513451337814331,3.330427646636963,1.824945929784486,0.3478515148162842
Phase2_BrainOnly_I_supervised,I_supervised,V_reg,regression,pearson_r,mlp_trained,pooled,pool,3,2,6555,2185,2185,brain_jepa,0.0001,0.330318808555603,0.3532434105873108,1.507891297340393,3.3047566413879395,1.8178989634707259,0.3532434105873108
Phase2_BrainOnly_I_supervised,I_supervised,V_reg,regression,pearson_r,mlp_trained,pooled,pool,4,0,6555,2185,2185,brain_jepa,0.0001,0.3282369077205658,0.31171944737434387,1.561265230178833,3.6115453243255615,1.9004066207855521,0.31171944737434387
Phase2_BrainOnly_I_supervised,I_supervised,V_reg,regression,pearson_r,mlp_trained,pooled,pool,4,1,6555,2185,2185,brain_jepa,0.0001,0.3280703127384186,0.3094784617424011,1.5663907527923584,3.6088829040527344,1.8997060046367003,0.3094784617424011
Phase2_BrainOnly_I_supervised,I_supervised,V_reg,regression,pearson_r,mlp_trained,pooled,pool,4,2,6555,2185,2185,brain_jepa,0.0001,0.33001357316970825,0.3045605421066284,1.5657782554626465,3.6420061588287354,1.9084040868822136,0.3045605421066284
Phase2_BrainOnly_I_supervised,I_supervised,V_reg,regression,pearson_r,mlp_trained,pooled,pool,5,0,6555,2185,2185,brain_jepa,0.0001,0.33342444896698,0.32771024107933044,1.5509690046310425,3.487452745437622,1.8674722877294918,0.32771024107933044
Phase2_BrainOnly_I_supervised,I_supervised,V_reg,regression,pearson_r,mlp_trained,pooled,pool,5,1,6555,2185,2185,brain_jepa,0.0001,0.3292250633239746,0.33316171169281006,1.5372172594070435,3.493490219116211,1.8690880715247773,0.33316171169281006
Phase2_BrainOnly_I_supervised,I_supervised,V_reg,regression,pearson_r,mlp_trained,pooled,pool,5,2,6555,2185,2185,brain_jepa,0.0001,0.32412058115005493,0.3175489008426666,1.5486735105514526,3.5271334648132324,1.878066416507476,0.3175489008426666
