representation,subject,linear_cka
raw_vjepa2,1,0.07259199758857593
raw_vjepa2,2,0.07638377910579763
raw_vjepa2,3,0.06979255393168313
raw_vjepa2,4,0.06027632873586266
raw_vjepa2,5,0.07923579969728539
visual_semantic,1,0.031598156830417105
visual_semantic,2,0.03338636309345295
visual_semantic,3,0.02829405788382642
visual_semantic,4,0.024747271734491278
visual_semantic,5,0.028846729354601888
emotion_34d,1,0.04255751751736087
emotion_34d,2,0.04537340635679429
emotion_34d,3,0.03822659839026553
emotion_34d,4,0.0402255877883836
emotion_34d,5,0.041972109936990444
arousal_valence,1,0.020281718160176727
arousal_valence,2,0.015511296677397951
arousal_valence,3,0.019401111542166387
arousal_valence,4,0.021033809414702648
arousal_valence,5,0.020398969436412482
