subject,map,network,mean
1,video,Vis,0.053313837953533415
1,video,SomMot,0.057728283617797846
1,video,DorsAttn,0.0830916204694128
1,video,SalVentAttn,0.039127504525076955
1,video,Limbic,0.044518176318215016
1,video,Cont,0.05381429330621574
1,video,Default,0.04806131195660028
2,video,Vis,0.07769287270260096
2,video,SomMot,0.0812872356739569
2,video,DorsAttn,0.11697673319338017
2,video,SalVentAttn,0.04764342110869107
2,video,Limbic,0.04752015777827823
2,video,Cont,0.07408628118937341
2,video,Default,0.06970648325312737
3,video,Vis,0.08702420885716791
3,video,SomMot,0.060662139597950714
3,video,DorsAttn,0.12020723886399028
3,video,SalVentAttn,0.03478433670242013
3,video,Limbic,0.027442883378394824
3,video,Cont,0.04190081220110309
3,video,Default,0.044038932184856334
4,video,Vis,0.06355371375023364
4,video,SomMot,0.05418692305765275
4,video,DorsAttn,0.08585214749690499
4,video,SalVentAttn,0.026327664269624313
4,video,Limbic,0.029854774342855193
4,video,Cont,0.029220678755391163
4,video,Default,0.035951559402256354
5,video,Vis,0.033421990794602216
5,video,SomMot,0.04838515989697686
5,video,DorsAttn,0.08777664715348127
5,video,SalVentAttn,0.024900732299473823
5,video,Limbic,0.0237425304176053
5,video,Cont,0.02552171286494403
5,video,Default,0.04182945595124787
1,content,Vis,0.02764728292530735
1,content,SomMot,0.03116176804790794
1,content,DorsAttn,0.061013694000762
1,content,SalVentAttn,0.014313417652672399
1,content,Limbic,0.019689485847321622
1,content,Cont,0.030532222102904065
1,content,Default,0.027873054983592584
2,content,Vis,0.048822938620609053
2,content,SomMot,0.05036916625764583
2,content,DorsAttn,0.07546436301838871
2,content,SalVentAttn,0.01722072151536302
2,content,Limbic,0.027697013687388077
2,content,Cont,0.05393307370995559
2,content,Default,0.0526418053564384
3,content,Vis,0.03720677036516296
3,content,SomMot,0.03612150444104227
3,content,DorsAttn,0.08651906198049679
3,content,SalVentAttn,0.01148699856949516
3,content,Limbic,0.00748940477132139
3,content,Cont,0.022432865515981375
3,content,Default,0.018800998967140117
4,content,Vis,0.03146289824177266
4,content,SomMot,0.029697996851743205
4,content,DorsAttn,0.055904969139370465
4,content,SalVentAttn,0.0025351453843461894
4,content,Limbic,0.008853383286459682
4,content,Cont,0.011687210785457423
