subject,map,spearman_r,p_value_descriptive
1,shared,-0.16825436408977554,0.0007283633968916055
2,shared,-0.2138057112856955,1.612708340567608e-05
3,shared,-0.46266364164776025,1.3040945228141102e-22
4,shared,-0.3706125663285395,1.8069947903148614e-14
5,shared,-0.4999894999343745,1.0913584144976204e-26
1,unique_e34_shared,0.3571481071756698,1.7727172373270364e-13
2,unique_e34_shared,0.473967337295858,8.568815005464605e-24
3,unique_e34_shared,0.18213770086063036,0.0002502237545710496
4,unique_e34_shared,0.06976299851874072,0.16374360972568444
5,unique_e34_shared,-0.01957193482459265,0.6963508994331489
1,fine_grained_advantage,0.2705238782742392,3.8770595581885036e-08
2,fine_grained_advantage,0.3339628372677329,7.072391627175692e-12
3,fine_grained_advantage,0.04180094875592972,0.4044122229226711
4,fine_grained_advantage,-0.1557780361127257,0.0017786043920674397
5,fine_grained_advantage,-0.20478971743573396,3.678533204649806e-05
1,unique_e34_video,0.3304670654191588,1.2011288480701703e-11
2,unique_e34_video,0.48406277539234616,6.904358332052878e-25
3,unique_e34_video,0.05517840736504603,0.2709169156314244
4,unique_e34_video,-0.06461777886111787,0.1971689764744455
5,unique_e34_video,-0.21932874580466125,9.561299643088522e-06
