subject,map,visual,transmodal_cont_default,hypothesis_aligned_contrast
1,shared,0.03515002922257357,0.05178075647623008,-0.01663072725365651
2,shared,0.04032291118248413,0.05136121300805074,-0.011038301825566615
3,shared,0.05419690898799663,0.038949008795227114,0.015247900192769517
4,shared,0.039697811553673974,0.02776708687121138,0.011930724682462594
5,shared,0.028703900922214406,0.032641641440280936,-0.003937740518066529
1,unique_e34_shared,0.016663257459866555,0.014076944485469776,-0.002586312974396779
2,unique_e34_shared,0.017702155443473755,0.03062411921715117,0.012921963773677415
3,unique_e34_shared,0.006942790565334207,0.018076947553891533,0.011134156988557325
4,unique_e34_shared,0.003082674958983535,0.012164643695655813,0.009081968736672278
5,unique_e34_shared,0.0022767015624736027,0.00907171303628795,0.006795011473814347
1,fine_grained_advantage,0.008050799334333095,0.006083484141977491,-0.0019673151923556044
2,fine_grained_advantage,0.010165350638454591,0.020798794168182,0.010633443529727407
3,fine_grained_advantage,0.003963333334590144,0.0136738137433062,0.009710480408716055
4,fine_grained_advantage,0.002061001661270449,0.005619387724411082,0.0035583860631406335
5,fine_grained_advantage,0.0004244256917562458,0.005604039165350105,0.005179613473593859
1,unique_e34_video,0.010906455200479984,0.013008053846379005,0.0021015986458990214
2,unique_e34_video,0.01009000560573987,0.019352752903309386,0.009262747297569516
3,unique_e34_video,0.003576157754509179,0.013842801769082543,0.010266644014573363
4,unique_e34_video,-0.0003729698110048569,0.006686847295629677,0.007059817106634534
5,unique_e34_video,-0.0006483417176914457,0.006351713046048653,0.007000054763740098
