subject,map,cortical_mean
1,shared,0.05205889664872261
2,shared,0.057172866436402646
3,shared,0.05197635936265568
4,shared,0.04034780815265194
5,shared,0.03927551943682146
1,unique_e34_shared,0.013749733987755142
2,unique_e34_shared,0.02162722069264828
3,unique_e34_shared,0.011374606958421527
4,unique_e34_shared,0.008794311911392717
5,unique_e34_shared,0.00816991024641177
1,fine_grained_advantage,0.005963850651371074
2,fine_grained_advantage,0.01217226499343367
3,fine_grained_advantage,0.007588541807049621
4,fine_grained_advantage,0.00439229392863062
5,fine_grained_advantage,0.004508848619479034
1,unique_e34_video,0.013121913637478944
2,unique_e34_video,0.014831976978865182
3,unique_e34_video,0.009186068563652833
4,unique_e34_video,0.005635426424604715
5,unique_e34_video,0.005854346209907614
