subject,map,network,mean_value
1,shared,Vis,0.03515002922257357
1,shared,SomMot,0.05786296566214724
1,shared,DorsAttn,0.08096946194167176
1,shared,SalVentAttn,0.03999921385048996
1,shared,Limbic,0.04581742928579928
1,shared,Cont,0.05117822101199646
1,shared,Default,0.0523832919404637
2,shared,Vis,0.04032291118248413
2,shared,SomMot,0.07068116750218258
2,shared,DorsAttn,0.10202519969254442
2,shared,SalVentAttn,0.04037733351796384
2,shared,Limbic,0.03666746098780472
2,shared,Cont,0.04935870563046234
2,shared,Default,0.05336372038563914
3,shared,Vis,0.05419690898799663
3,shared,SomMot,0.0585965815486803
3,shared,DorsAttn,0.10740747560726203
3,shared,SalVentAttn,0.03368328691900506
3,shared,Limbic,0.028796075277612524
3,shared,Cont,0.035607189834114254
3,shared,Default,0.04229082775633997
4,shared,Vis,0.039697811553673974
4,shared,SomMot,0.05101726877583135
4,shared,DorsAttn,0.08159149330648542
4,shared,SalVentAttn,0.02689928005585842
4,shared,Limbic,0.026317404553739657
4,shared,Cont,0.02477205443932636
4,shared,Default,0.0307621193030964
5,shared,Vis,0.028703900922214406
5,shared,SomMot,0.046278618585039656
5,shared,DorsAttn,0.07927387805467932
5,shared,SalVentAttn,0.022363755751603733
5,shared,Limbic,0.027568780685507183
5,shared,Cont,0.024601173419730463
5,shared,Default,0.0406821094608314
1,unique_e34_shared,Vis,0.016663257459866555
1,unique_e34_shared,SomMot,0.015466529320344514
1,unique_e34_shared,DorsAttn,0.009667627092093487
1,unique_e34_shared,SalVentAttn,0.014956539395776526
1,unique_e34_shared,Limbic,0.00937796824978329
1,unique_e34_shared,Cont,0.016948388110358783
1,unique_e34_shared,Default,0.01120550086058077
2,unique_e34_shared,Vis,0.017702155443473755
2,unique_e34_shared,SomMot,0.021909849855180057
2,unique_e34_shared,DorsAttn,0.010537933659399533
2,unique_e34_shared,SalVentAttn,0.015740350966481825
2,unique_e34_shared,Limbic,0.012534110503505166
2,unique_e34_shared,Cont,0.03179537585156726
2,unique_e34_shared,Default,0.029452862582735075
3,unique_e34_shared,Vis,0.006942790565334207
3,unique_e34_shared,SomMot,0.007515921971550521
3,unique_e34_shared,DorsAttn,0.009643825848213697
3,unique_e34_shared,SalVentAttn,0.009644963902558455
3,unique_e34_shared,Limbic,0.007608643204671319
3,unique_e34_shared,Cont,0.02146543342292196
3,unique_e34_shared,Default,0.014688461684861102
4,unique_e34_shared,Vis,0.003082674958983535
4,unique_e34_shared,SomMot,0.007838786781445771
4,unique_e34_shared,DorsAttn,0.010240932441763297
4,unique_e34_shared,SalVentAttn,0.004626170566074441
4,unique_e34_shared,Limbic,0.00974614561805879
4,unique_e34_shared,Cont,0.011020072761993082
4,unique_e34_shared,Default,0.013309214629318543
5,unique_e34_shared,Vis,0.0022767015624736027
5,unique_e34_shared,SomMot,0.00873044991265606
5,unique_e34_shared,DorsAttn,0.013668196791854844
5,unique_e34_shared,SalVentAttn,0.007589349728759429
5,unique_e34_shared,Limbic,0.008261079178268559
5,unique_e34_shared,Cont,0.010113734895823172
5,unique_e34_shared,Default,0.008029691176752729
1,fine_grained_advantage,Vis,0.008050799334333095
1,fine_grained_advantage,SomMot,0.005963995710510418
1,fine_grained_advantage,DorsAttn,0.002649713481888928
1,fine_grained_advantage,SalVentAttn,0.00837682117951841
1,fine_grained_advantage,Limbic,0.0039390906957774184
1,fine_grained_advantage,Cont,0.007435745027937522
1,fine_grained_advantage,Default,0.0047312232560174595
2,fine_grained_advantage,Vis,0.010165350638454591
2,fine_grained_advantage,SomMot,0.007045950775770134
2,fine_grained_advantage,DorsAttn,0.004481280937071817
2,fine_grained_advantage,SalVentAttn,0.008752977934533787
