parcel,network,principal_gradient_1,shared,shared_sem_subject,unique_e34_shared,unique_e34_shared_sem_subject,unique_av_shared,unique_av_shared_sem_subject,fine_grained_advantage,fine_grained_advantage_sem_subject,video,video_sem_subject,unique_e34_video,unique_e34_video_sem_subject,unique_av_video,unique_av_video_sem_subject
1,Vis,-0.017235118199450884,0.07724663896000919,0.013253101267979994,0.013433720113376046,0.0036957424135786684,0.001630188389320142,0.0016675677660771683,0.011803531724055905,0.0044131833307193506,0.09063114606151942,0.016764388472630804,0.011253688179067179,0.002536736492087818,0.0013694634914514392,0.0010016272879896854
2,Vis,-0.018511418414182114,0.03873200738077041,0.012700547916637625,0.005171524978736986,0.003548642996816226,0.0009044750263851542,0.0012782173453093671,0.004267049952351831,0.0025685370289142747,0.07860959492501503,0.017895855266968297,0.0012952403720960515,0.0020725980511652783,0.001097668271443597,0.0009982053265660978
3,Vis,-0.018371022850534952,0.0350841913502538,0.006561765266503254,0.017219128905869296,0.0032205564073216793,0.0023445243610993984,0.0017592783035984012,0.014874604544769899,0.002954464275076217,0.049581041174758124,0.011446014838660394,0.005456004571651807,0.0015843379103757627,0.0020389345225673592,0.0014124601323860402
4,Vis,-0.019903688608537085,0.009528895546679683,0.0038265749328026404,0.016807562891341242,0.0023097772033613124,0.0040331697412455455,0.002365748193798784,0.012774393150095698,0.0011232122851459183,0.07009756890842656,0.01307365605930669,0.003396319136653725,0.0012128841719979452,0.0023961172980749845,0.0015086713646794698
5,Vis,-0.021493070462707032,0.013260078057889025,0.005875072134103786,0.016527553690629037,0.004734312822660259,0.0012563792316805822,0.0011658011095904473,0.015271174458948456,0.005476877678020378,0.06066733601196128,0.0163400998357863,0.002642356666756296,0.002553061441048751,0.001115156939382822,0.0008127673814639545
6,Vis,-0.017075192016317832,0.08422297654033555,0.02032804123683619,0.00972976110801067,0.004182745810406669,0.0035289008894717087,0.0017154983245108273,0.006200860218538962,0.0034822710822046752,0.09581107962391769,0.016527820913186757,0.007503742225474852,0.002238481685084371,0.0025520903824778783,0.0010442938222933239
7,Vis,-0.020514283244746443,0.020691531111753102,0.0014148431064824648,0.016684555357559926,0.004294209181966688,0.003944101587370264,0.0017515644953988339,0.012740453770189664,0.0031707155271510665,0.10022246456415959,0.01768455660190932,0.0031443330165805694,0.0024621327495500016,0.0031206916376296913,0.0015121943145925527
8,Vis,-0.010642051151647855,0.157016243430891,0.024845273172009918,-0.004448482210519589,0.004348011691488666,0.003928064027789002,0.0020319198462306954,-0.00837654623830859,0.004758298697231605,0.16015109106819495,0.02287525866249561,0.009012165087714385,0.0024001462220628435,0.002508791330983073,0.0008839818173881685
9,Vis,-0.019209059729914983,0.02910911013991304,0.0032102663737187606,0.016429274825391672,0.004484331811224283,0.005480496435179805,0.003122974658621314,0.010948778390211866,0.0028350280632899504,0.05377070335041993,0.009999447078294959,0.007946985502277615,0.0029409613773223055,0.0039050041326178287,0.0021531950025058992
10,Vis,-0.014458012747659234,0.12142565169766155,0.015737005938628864,-0.0005837063882141224,0.002794510489836205,0.003221366433247508,0.0012890526749802327,-0.00380507282146163,0.0027449799501506776,0.11493906131396936,0.013759568428963122,0.006714548057469627,0.00346519156157785,0.003830917516760524,0.0014934449246317989
11,Vis,-0.017119962378103856,0.03307487086751968,0.007763268835149561,0.007125238596996675,0.006903994978325516,0.0023485339409866856,0.0018779407699445374,0.004776704656009989,0.0054044829075257095,0.08032123696036446,0.008075213128865086,0.001886258468617008,0.0036646041895553078,0.0018608563385454247,0.0015148350853218355
