subject,fold,component,heldout_correlation,train_singular_value,fold_empirical_p
1,1,1,0.6756715344068511,0.7641624050304016,
1,1,2,0.5832169039808034,0.7210304604808853,
1,1,3,0.5705701445212681,0.6859422106545618,
1,1,4,0.43853006826622204,0.6150432037510735,
1,1,5,0.30878348666563366,0.5872979248331933,
1,1,6,0.36439298412201643,0.5517253381084967,
1,1,7,0.2733376073219383,0.542732047505235,
1,1,8,0.2901146781876407,0.5043676002742131,
1,1,9,0.26718296896283794,0.49681366215147843,
1,1,10,0.13113123843431762,0.47342921909051966,
1,1,11,0.14484130300990405,0.46771513787981,
1,1,12,0.09800482897153813,0.4611701644100979,
1,1,13,0.16034636046885217,0.44192656964652444,
1,1,14,0.08102057412650848,0.431979322935029,
1,1,15,0.1504996741655069,0.4309268367014817,
1,1,16,0.08096463203002592,0.42777884636086544,
1,1,17,-0.05415184493795847,0.42171705612099286,
1,1,18,0.012736773226351816,0.4082996312572239,
1,1,19,0.019143589061211195,0.396819084436465,
1,1,20,-0.017078389567402995,0.38960938123911165,
1,2,1,0.6924779015478401,0.7605075283566479,
1,2,2,0.634650555681279,0.7105910265132925,
1,2,3,0.5435536218144419,0.6865381458008964,
1,2,4,0.4506848981028467,0.6139768642488517,
1,2,5,0.32808216165606763,0.5699241167637481,
1,2,6,0.3296619452571276,0.555335161013551,
1,2,7,0.2782557023943564,0.5227261526622105,
1,2,8,0.2953090457438873,0.515272418595325,
1,2,9,0.19659335800554154,0.4896645058132777,
1,2,10,0.15576216167957543,0.47960510367103304,
1,2,11,0.1874051755723291,0.44914154517905047,
1,2,12,0.1815268463232576,0.44323615865402677,
1,2,13,0.14822347404290162,0.4385372521617174,
1,2,14,0.07786072474877735,0.43372070878325425,
1,2,15,0.14980680394289464,0.4281437820980582,
1,2,16,0.10014076588135137,0.41754420558358346,
1,2,17,0.18484041440874768,0.4054884933830417,
1,2,18,0.062343216679248796,0.3957317282017095,
1,2,19,0.1292341446781363,0.3929118263865416,
1,2,20,0.09316924600411916,0.385206931108089,
1,3,1,0.6432660294324413,0.7690056008877656,
1,3,2,0.6302280626512559,0.708480339618946,
1,3,3,0.5498495887965198,0.6852331416050939,
1,3,4,0.46155648335643956,0.606665235706739,
1,3,5,0.3555557436880015,0.5814383964630632,
1,3,6,0.33507860994605154,0.5549290518136446,
1,3,7,0.31972445324222537,0.5362730413495932,
1,3,8,0.2594819735042845,0.5155352314888046,
1,3,9,0.2446386186761822,0.49428527375545106,
1,3,10,0.11830493337054818,0.47525113762348614,
1,3,11,0.1670677473937854,0.4621815808297198,
1,3,12,0.1813359455258786,0.45588422905055287,
1,3,13,0.12414080298652212,0.4453295734833722,
1,3,14,0.05637051366424442,0.4342309352812909,
1,3,15,0.08406424240318905,0.42865942103491683,
1,3,16,0.15293189245972538,0.41760808294026713,
1,3,17,0.060322038739480346,0.41297392946687245,
1,3,18,0.09381135456681196,0.4070944441153997,
1,3,19,0.059841501526651394,0.4033892291423964,
1,3,20,0.04554442155482051,0.39297484122975346,
1,4,1,0.6705415918308608,0.7626037769982559,
1,4,2,0.5986990172366287,0.7188426474711685,
1,4,3,0.5412349618283667,0.6908201140350229,
1,4,4,0.4780746662439229,0.6072717798098946,
1,4,5,0.3670623958940861,0.5658686901709682,
1,4,6,0.39784363966509523,0.5566385283510725,
1,4,7,0.30606629686639625,0.5357033840056409,
1,4,8,0.20490371052921016,0.5139434972427318,
1,4,9,0.10602708617421477,0.5010062247237305,
1,4,10,0.12439912485659176,0.48787578421535027,
1,4,11,0.13965524208208654,0.48032155971380386,
1,4,12,0.13065150944870865,0.4595806759027401,
1,4,13,0.12720922499123685,0.4410514990950089,
1,4,14,0.07858172070686009,0.43403879702516185,
1,4,15,0.08792335787630726,0.4187773371731299,
1,4,16,0.07423935013644326,0.41579243409559813,
1,4,17,0.14008955424309963,0.41030554724787116,
1,4,18,0.1568813411994808,0.4017783124003351,
1,4,19,0.048549896937710404,0.4000817617850345,
1,4,20,0.01242814502126753,0.399397755501007,
1,5,1,0.6767021739752668,0.7636401777111357,
1,5,2,0.5876097137360914,0.7178381318190356,
1,5,3,0.5757884933444603,0.6839474732738482,
1,5,4,0.4429006861896964,0.6200688211888098,
1,5,5,0.3043127567132286,0.5670755998193832,
1,5,6,0.42173951655328373,0.5615021125912352,
1,5,7,0.29429482649367367,0.5325628564865582,
1,5,8,0.2649226796060516,0.5181633829535194,
1,5,9,0.17857261227066956,0.4881109543149336,
1,5,10,0.21265337236298446,0.4694675804254022,
1,5,11,0.030389109994873847,0.459508928249747,
1,5,12,0.1263328771840657,0.44057549137722757,
1,5,13,0.1147494478313175,0.4376394569731341,
1,5,14,0.13835074183071092,0.43531397017906104,
1,5,15,0.13137036046629466,0.42145203233646183,
1,5,16,0.12998386921159774,0.4160252525062243,
1,5,17,0.10360550303253012,0.41209158737921936,
1,5,18,0.0006705981910427724,0.4038200396626707,
1,5,19,0.13270727328668377,0.3943647810554131,
1,5,20,0.0465208554340907,0.38347475485039656,
