subject,map,spearman_r,p_value_descriptive
1,shared,-0.011638572741079631,0.8164985144121283
2,shared,-0.12726042037762736,0.010846388237804356
3,shared,-0.4680829880186751,3.5802898628992187e-23
4,shared,-0.3628205801286258,6.863225481310056e-14
5,shared,-0.4865578534865842,3.657220351761895e-25
1,unique_e34_shared,0.0970881068006675,0.05234673014320634
2,unique_e34_shared,0.4148650929068306,4.518358972636478e-18
3,unique_e34_shared,0.07512271951699696,0.1336474339145097
4,unique_e34_shared,-0.09147900924380777,0.06759633065667599
5,unique_e34_shared,-0.15662685391783698,0.0016771303281704624
1,fine_grained_advantage,-0.13000112500703126,0.009242803215016828
2,fine_grained_advantage,0.15918811992574955,0.001402235120002
3,fine_grained_advantage,-0.0639917124482028,0.20155342769133172
4,fine_grained_advantage,-0.35287814298839365,3.5766834196716535e-13
5,fine_grained_advantage,-0.29905386908668175,1.0437486057742259e-09
1,unique_e34_video,0.3304670654191588,1.2011288480701703e-11
2,unique_e34_video,0.48406277539234616,6.904358332052878e-25
3,unique_e34_video,0.05517840736504603,0.2709169156314244
4,unique_e34_video,-0.06461777886111787,0.1971689764744455
5,unique_e34_video,-0.21932874580466125,9.561299643088522e-06
