subject,map,network,mean_value
1,shared,Vis,0.030950639751770988
1,shared,SomMot,0.046108997252409606
1,shared,DorsAttn,0.05477552361364385
1,shared,SalVentAttn,0.029216114815075748
1,shared,Limbic,0.0406807374413961
1,shared,Cont,0.04344572966013427
1,shared,Default,0.046021052885073584
2,shared,Vis,0.03722953649485574
2,shared,SomMot,0.061216327131688036
2,shared,DorsAttn,0.08536292691052297
2,shared,SalVentAttn,0.03521887237968946
2,shared,Limbic,0.03455030925942872
2,shared,Cont,0.05135025262263122
2,shared,Default,0.050368908857626384
3,shared,Vis,0.043900347355383805
3,shared,SomMot,0.048045707641520226
3,shared,DorsAttn,0.09098304629741576
3,shared,SalVentAttn,0.025705579187382
3,shared,Limbic,0.02737214940032621
3,shared,Cont,0.029323717986964988
3,shared,Default,0.03185188016667516
4,shared,Vis,0.03326457878713601
4,shared,SomMot,0.042126796707832974
4,shared,DorsAttn,0.05912379847903138
4,shared,SalVentAttn,0.0219653928403896
4,shared,Limbic,0.022699289580346362
4,shared,Cont,0.021498654187057684
4,shared,Default,0.026907808399778438
5,shared,Vis,0.024008013223960765
5,shared,SomMot,0.03832545358270791
5,shared,DorsAttn,0.07261922466298554
5,shared,SalVentAttn,0.021396483945367414
5,shared,Limbic,0.025102833932946413
5,shared,Cont,0.02411787223129143
5,shared,Default,0.0367190981149562
1,unique_e34_shared,Vis,0.019634616655424375
1,unique_e34_shared,SomMot,0.022489657416997908
1,unique_e34_shared,DorsAttn,0.024919460963396284
1,unique_e34_shared,SalVentAttn,0.021163691838970787
1,unique_e34_shared,Limbic,0.01279970954491155
1,unique_e34_shared,Cont,0.022149613426553746
1,unique_e34_shared,Default,0.015164198867503734
2,unique_e34_shared,Vis,0.020224035828199607
2,unique_e34_shared,SomMot,0.027657252549986154
2,unique_e34_shared,DorsAttn,0.01672622764556356
2,unique_e34_shared,SalVentAttn,0.018693095460987172
2,unique_e34_shared,Limbic,0.013306498854157607
2,unique_e34_shared,Cont,0.031762916414760575
2,unique_e34_shared,Default,0.03253459217206714
3,unique_e34_shared,Vis,0.013065131951836197
3,unique_e34_shared,SomMot,0.013033543231705452
3,unique_e34_shared,DorsAttn,0.01827562460951855
3,unique_e34_shared,SalVentAttn,0.015790461922236508
3,unique_e34_shared,Limbic,0.008717441070135355
3,unique_e34_shared,Cont,0.026276292544025488
