component,heldout_correlation_mean,ci_low_over_subject_folds,ci_high_over_subject_folds,group_null_empirical_p,positive_subject_fold_fraction
1,0.7016170952108501,0.6928204491239858,0.7104137412977145,0.009900990099009901,1.0
2,0.5515103472006249,0.5412317679323748,0.5617889264688749,0.009900990099009901,1.0
3,0.5257936794157834,0.5153922161360058,0.5361951426955609,0.009900990099009901,1.0
4,0.4535135648604377,0.4403224733339349,0.4667046563869405,0.009900990099009901,1.0
5,0.38438077932222314,0.3692359234412925,0.39952563520315376,0.009900990099009901,1.0
6,0.2937545928662916,0.2778048382130997,0.30970434751948345,0.009900990099009901,1.0
7,0.2968574637873401,0.2787541631556712,0.31496076441900905,0.009900990099009901,1.0
8,0.23597990339429267,0.21532304844241307,0.2566367583461723,0.009900990099009901,1.0
9,0.19636256697232196,0.1771681576789601,0.21555697626568382,0.009900990099009901,1.0
10,0.18188763439376396,0.15870565553771743,0.2050696132498105,0.009900990099009901,1.0
11,0.17298448524727167,0.1547597935880392,0.19120917690650413,0.009900990099009901,1.0
12,0.17743866684452286,0.1528227866494218,0.20205454703962392,0.009900990099009901,1.0
13,0.13830257767628462,0.1152532383564116,0.16135191699615764,0.009900990099009901,1.0
14,0.11932685998932464,0.10178347014927411,0.13687024982937518,0.009900990099009901,1.0
15,0.08935839632100466,0.07115408513196188,0.10756270751004744,0.009900990099009901,1.0
16,0.07399702040161628,0.056373615009118125,0.09162042579411443,0.009900990099009901,0.96
17,0.061167034966681216,0.03669416009481798,0.08563990983854444,0.009900990099009901,0.88
18,0.07433544281943531,0.05334230104343332,0.0953285845954373,0.009900990099009901,0.92
19,0.06520699746564797,0.036937947186109696,0.09347604774518624,0.009900990099009901,0.8
20,0.04893377574525517,0.026430524480854742,0.0714370270096556,0.009900990099009901,0.76
