component,heldout_correlation_mean,ci_low_over_subject_folds,ci_high_over_subject_folds,group_null_empirical_p,positive_subject_fold_fraction
1,0.6797900033393628,0.6728363301521196,0.686743676526606,,1.0
2,0.6193479235151665,0.6071391224587384,0.6315567245715947,,1.0
3,0.5639981677723841,0.5523423693047554,0.5756539662400127,,1.0
4,0.4567939247328278,0.4428000872195096,0.47078776224614605,,1.0
5,0.35888076631098714,0.34205663997646024,0.37570489264551404,,1.0
6,0.3801784198746384,0.36646648596929254,0.39389035377998427,,1.0
7,0.2579222503765267,0.23824842721216724,0.2775960735408862,,1.0
8,0.23945387374051846,0.22146480910685268,0.25744293837418425,,1.0
9,0.21186716999077265,0.1957137602734281,0.2280205797081172,,1.0
10,0.15281762987125722,0.1356876364316382,0.16994762331087623,,1.0
11,0.16738184353197766,0.14091867677960937,0.19384501028434595,,1.0
12,0.13147100431453215,0.11165059449548552,0.15129141413357877,,1.0
13,0.1480568303843938,0.13205511050182533,0.16405855026696226,,1.0
14,0.10480289299000116,0.08825023981759707,0.12135554616240525,,1.0
15,0.09689929913483306,0.07469579602053221,0.1191028022491339,,0.96
16,0.10220511497214904,0.08463983104989745,0.11977039889440064,,1.0
17,0.08880646042087269,0.06719755940872522,0.11041536143302015,,0.92
18,0.07363285739651003,0.05468624196033199,0.09257947283268807,,1.0
19,0.08084307895392136,0.05909904745959878,0.10258711044824394,,0.88
20,0.055116651018553044,0.03320217822027323,0.07703112381683286,,0.88
