pc,cumulative_video_variance,seq_r2_raw,seq_r2_clipped,seq_pearson_r,seq_spearman_r,seq_p_raw,seq_q_raw,seq_p_clip,seq_q_clip,shuf_r2_raw,shuf_r2_clipped,shuf_pearson_r,shuf_spearman_r,shuf_p_raw,shuf_q_raw,shuf_p_clip,shuf_q_clip,confirmed_shared_seq,confirmed_shared_shuf
1,0.1702556972223153,0.29358884877130914,0.29358884877130914,0.583504974217807,0.5949468578704104,0.000999000999000999,0.007135721421435708,0.000999000999000999,0.024975024975024976,0.29382560988823164,0.29382560988823164,0.5850559577825266,0.5974189298103112,0.000999000999000999,0.005876476464711759,0.000999000999000999,0.024975024975024976,True,True
2,0.22558251741989488,0.10981277447804214,0.10981277447804214,0.438477720884774,0.44293693166967585,0.000999000999000999,0.007135721421435708,0.000999000999000999,0.024975024975024976,0.1073734796427134,0.1073734796427134,0.43359737901183565,0.4272645852245604,0.000999000999000999,0.005876476464711759,0.000999000999000999,0.024975024975024976,True,True
3,0.27615631983349764,0.22248113476031905,0.22248113476031905,0.5393699912422162,0.5518671385637214,0.000999000999000999,0.007135721421435708,0.000999000999000999,0.024975024975024976,0.21386411687611,0.21386411687611,0.5320827939493209,0.5469415249710236,0.000999000999000999,0.005876476464711759,0.000999000999000999,0.024975024975024976,True,True
4,0.31266820081339297,0.04948508272124823,0.04948508272124823,0.385158183459239,0.3836088695467505,0.000999000999000999,0.007135721421435708,0.000999000999000999,0.024975024975024976,0.033629072528796725,0.033629072528796725,0.36939277786088676,0.3743736706857014,0.000999000999000999,0.005876476464711759,0.000999000999000999,0.024975024975024976,True,True
5,0.3480792146314639,-0.04434735080609664,0.0,0.30525207124508524,0.300147698432471,0.000999000999000999,0.007135721421435708,1.0,1.0,-0.025080139237020616,0.0,0.3226567057201195,0.3164353542336149,0.000999000999000999,0.005876476464711759,1.0,1.0,False,False
6,0.3769556281078924,-0.1537515119798396,0.0,0.20812255676096938,0.21707533834587212,0.000999000999000999,0.007135721421435708,1.0,1.0,-0.11752080277530666,0.0,0.2389843017347157,0.24461569346321294,0.000999000999000999,0.005876476464711759,1.0,1.0,False,False
7,0.4046412338049981,-0.23226606730536653,0.0,0.10451577606792664,0.12527586192079945,0.008991008991008992,0.04495504495504496,1.0,1.0,-0.22603908830633154,0.0,0.12630157825570398,0.1413365201406178,0.001998001998001998,0.0111000111000111,1.0,1.0,False,False
8,0.42971446600669033,-0.162019053085046,0.0,0.1660247627224975,0.16851840910447544,0.000999000999000999,0.007135721421435708,1.0,1.0,-0.1717392334036329,0.0,0.16183817381617188,0.15797665571496794,0.000999000999000999,0.005876476464711759,1.0,1.0,False,False
9,0.4510281204710233,-0.11202650538598072,0.0,0.23906805737504108,0.23983108132763709,0.000999000999000999,0.007135721421435708,1.0,1.0,-0.1531097576518607,0.0,0.22160559810847671,0.22063143170987645,0.000999000999000999,0.005876476464711759,1.0,1.0,False,False
10,0.4698025427023129,-0.09735958103328932,0.0,0.26715228377268757,0.2571939878442361,0.000999000999000999,0.007135721421435708,1.0,1.0,-0.08365206130769845,0.0,0.27784794362454934,0.2721272694002114,0.000999000999000999,0.005876476464711759,1.0,1.0,False,False
