stim_idx,stimulus_num,stimulus_name,valence_score,arousal_score,v_quartile,a_quartile
0,1,stimulus_1,2.2222,5.5556,0,1
1,2,stimulus_2,3.6667,5.3333,1,1
2,3,stimulus_3,6.4444,6.5556,2,3
3,4,stimulus_4,5.1111,4.3333,1,0
4,5,stimulus_5,2.5556,6.7778,0,3
5,6,stimulus_6,6.4444,5.6667,2,1
6,7,stimulus_7,4.5556,4.5556,1,0
7,8,stimulus_8,6.7778,4.0,3,0
8,9,stimulus_9,3.3333,5.0,0,0
9,10,stimulus_10,7.8889,7.6667,3,3
10,11,stimulus_11,7.6667,6.7778,3,3
11,12,stimulus_12,6.6667,5.2222,2,1
12,13,stimulus_13,8.4444,6.8889,3,3
13,14,stimulus_14,6.0,5.8889,2,2
14,15,stimulus_15,3.3333,6.6667,0,3
15,16,stimulus_16,6.8889,7.1111,3,3
16,17,stimulus_17,7.1111,6.3333,3,2
17,18,stimulus_18,3.1111,6.2222,0,2
18,19,stimulus_19,6.7778,6.1111,3,2
19,20,stimulus_20,6.4444,6.4444,2,3
20,21,stimulus_21,1.7778,6.3333,0,2
21,22,stimulus_22,4.7778,7.3333,1,3
22,23,stimulus_23,7.3333,6.2222,3,2
23,24,stimulus_24,3.8889,5.7778,1,1
24,25,stimulus_25,2.8889,5.4444,0,1
25,26,stimulus_26,8.0,5.2222,3,1
26,27,stimulus_27,2.7778,5.8889,0,2
27,28,stimulus_28,1.4444,5.3333,0,1
28,29,stimulus_29,6.8889,6.3333,3,2
29,30,stimulus_30,1.8889,6.1111,0,2
30,31,stimulus_31,3.2222,6.0,0,2
31,32,stimulus_32,5.8889,5.8889,2,2
32,33,stimulus_33,6.3333,5.8889,2,2
33,34,stimulus_34,6.1111,5.8889,2,2
34,35,stimulus_35,7.0,5.8889,3,2
35,36,stimulus_36,5.7778,5.4444,2,1
36,37,stimulus_37,7.1111,6.4444,3,3
37,38,stimulus_38,5.8889,6.1111,2,2
38,39,stimulus_39,5.8889,5.1111,2,0
39,40,stimulus_40,7.5556,5.7778,3,1
40,41,stimulus_41,6.7778,5.6667,3,1
41,42,stimulus_42,4.8889,5.4444,1,1
42,43,stimulus_43,6.7778,5.8889,3,2
43,44,stimulus_44,6.2222,6.3333,2,2
44,45,stimulus_45,3.0,5.6667,0,1
45,46,stimulus_46,2.7778,5.3333,0,1
46,47,stimulus_47,4.1111,4.3333,1,0
47,48,stimulus_48,2.0,4.5556,0,0
48,49,stimulus_49,5.6667,5.1111,2,0
49,50,stimulus_50,6.1111,5.3333,2,1
50,51,stimulus_51,2.7778,5.1111,0,0
51,52,stimulus_52,5.2222,5.4444,1,1
52,53,stimulus_53,4.1111,4.8889,1,0
53,54,stimulus_54,4.6667,5.7778,1,1
54,55,stimulus_55,6.4444,6.6667,2,3
55,56,stimulus_56,4.8889,5.6667,1,1
56,57,stimulus_57,6.2222,7.1111,2,3
57,58,stimulus_58,7.4444,6.7778,3,3
58,59,stimulus_59,3.1111,5.1111,0,0
59,60,stimulus_60,5.0,6.3333,1,2
60,61,stimulus_61,4.6667,4.3333,1,0
61,62,stimulus_62,1.4444,4.0,0,0
62,63,stimulus_63,4.6667,4.5556,1,0
63,64,stimulus_64,5.1111,4.8889,1,0
64,65,stimulus_65,4.7778,6.3333,1,2
65,66,stimulus_66,5.4444,4.6667,1,0
66,67,stimulus_67,1.3333,3.0,0,0
67,68,stimulus_68,5.5556,5.1111,1,0
68,69,stimulus_69,6.0,5.5556,2,1
69,70,stimulus_70,5.5556,4.7778,1,0
70,71,stimulus_71,3.2222,4.7778,0,0
71,72,stimulus_72,4.1111,4.1111,1,0
72,73,stimulus_73,2.2222,5.7778,0,1
73,74,stimulus_74,7.3333,6.2222,3,2
74,75,stimulus_75,6.1111,5.2222,2,1
75,76,stimulus_76,5.2222,5.4444,1,1
76,77,stimulus_77,4.0,4.4444,1,0
77,78,stimulus_78,7.2222,5.4444,3,1
78,79,stimulus_79,2.1111,4.1111,0,0
79,80,stimulus_80,5.3333,5.3333,1,1
80,81,stimulus_81,1.4444,6.3333,0,2
81,82,stimulus_82,6.1111,5.7778,2,1
82,83,stimulus_83,7.7778,4.8889,3,0
83,84,stimulus_84,6.2222,5.5556,2,1
84,85,stimulus_85,6.0,5.6667,2,1
85,86,stimulus_86,5.5556,5.5556,1,1
86,87,stimulus_87,7.0,5.3333,3,1
87,88,stimulus_88,6.1111,5.5556,2,1
88,89,stimulus_89,2.7778,5.4444,0,1
89,90,stimulus_90,7.3333,5.5556,3,1
90,91,stimulus_91,6.1111,5.5556,2,1
91,92,stimulus_92,6.0,5.7778,2,1
92,93,stimulus_93,5.5556,6.2222,1,2
93,94,stimulus_94,6.7778,4.8889,3,0
94,95,stimulus_95,2.0,5.7778,0,1
95,96,stimulus_96,2.6667,6.6667,0,3
96,97,stimulus_97,4.0,6.1111,1,2
97,98,stimulus_98,7.7778,5.3333,3,1
98,99,stimulus_99,5.5556,6.0,1,2
99,100,stimulus_100,8.0,7.1111,3,3
100,101,stimulus_101,8.0,6.8889,3,3
101,102,stimulus_102,6.7778,5.8889,3,2
102,103,stimulus_103,5.4444,4.5556,1,0
103,104,stimulus_104,1.7778,4.5556,0,0
104,105,stimulus_105,4.1111,5.4444,1,1
105,106,stimulus_106,3.7778,4.6667,1,0
106,107,stimulus_107,1.2222,5.7778,0,1
107,108,stimulus_108,6.0,6.1111,2,2
108,109,stimulus_109,2.4444,6.3333,0,2
109,110,stimulus_110,7.0,5.7778,3,1
110,111,stimulus_111,6.7778,6.1111,3,2
111,112,stimulus_112,6.1111,6.7778,2,3
112,113,stimulus_113,7.2222,5.5556,3,1
113,114,stimulus_114,5.6667,5.7778,2,1
114,115,stimulus_115,5.3333,6.0,1,2
115,116,stimulus_116,6.8889,5.7778,3,1
116,117,stimulus_117,4.6667,4.0,1,0
117,118,stimulus_118,4.4444,5.4444,1,1
118,119,stimulus_119,3.4444,5.3333,0,1
119,120,stimulus_120,5.7778,4.3333,2,0
120,121,stimulus_121,5.8889,5.3333,2,1
121,122,stimulus_122,3.7778,5.5556,1,1
122,123,stimulus_123,7.6667,5.2222,3,1
123,124,stimulus_124,2.8889,3.7778,0,0
124,125,stimulus_125,7.0,5.8889,3,2
125,126,stimulus_126,8.3333,6.3333,3,2
126,127,stimulus_127,2.1111,6.5556,0,3
127,128,stimulus_128,2.6667,5.7778,0,1
128,129,stimulus_129,1.6667,5.8889,0,2
129,130,stimulus_130,5.8889,6.3333,2,2
130,131,stimulus_131,5.7778,4.5556,2,0
131,132,stimulus_132,1.8889,4.8889,0,0
132,133,stimulus_133,1.6667,5.1111,0,0
133,134,stimulus_134,4.3333,5.8889,1,2
134,135,stimulus_135,1.6667,4.2222,0,0
135,136,stimulus_136,2.2222,3.6667,0,0
136,137,stimulus_137,2.2222,3.2222,0,0
137,138,stimulus_138,4.7778,4.8889,1,0
138,139,stimulus_139,4.6667,5.7778,1,1
139,140,stimulus_140,6.0,7.3333,2,3
140,141,stimulus_141,1.6667,3.3333,0,0
141,142,stimulus_142,6.2222,4.8889,2,0
142,143,stimulus_143,4.2222,4.8889,1,0
143,144,stimulus_144,5.0,4.0,1,0
144,145,stimulus_145,4.0,7.0,1,3
145,146,stimulus_146,7.2222,7.5556,3,3
146,147,stimulus_147,6.5556,6.2222,2,2
147,148,stimulus_148,5.2222,7.1111,1,3
148,149,stimulus_149,8.3333,6.3333,3,2
149,150,stimulus_150,5.8889,5.8889,2,2
150,151,stimulus_151,8.0,5.8889,3,2
151,152,stimulus_152,8.3333,7.1111,3,3
152,153,stimulus_153,1.7778,5.1111,0,0
153,154,stimulus_154,1.2222,5.0,0,0
154,155,stimulus_155,4.4444,5.0,1,0
155,156,stimulus_156,5.2222,6.7778,1,3
156,157,stimulus_157,5.2222,6.8889,1,3
157,158,stimulus_158,1.8889,5.4444,0,1
158,159,stimulus_159,3.4444,5.4444,0,1
159,160,stimulus_160,4.6667,5.8889,1,2
160,161,stimulus_161,8.1111,5.8889,3,2
161,162,stimulus_162,7.1111,7.5556,3,3
162,163,stimulus_163,8.1111,6.4444,3,3
163,164,stimulus_164,7.4444,5.4444,3,1
164,165,stimulus_165,8.3333,6.1111,3,2
165,166,stimulus_166,1.1111,6.2222,0,2
166,167,stimulus_167,8.1111,6.4444,3,3
167,168,stimulus_168,6.2222,5.0,2,0
168,169,stimulus_169,4.1111,5.5556,1,1
169,170,stimulus_170,3.4444,7.7778,0,3
170,171,stimulus_171,6.2222,6.1111,2,2
171,172,stimulus_172,7.6667,5.7778,3,1
172,173,stimulus_173,6.5556,5.8889,2,2
173,174,stimulus_174,5.2222,5.5556,1,1
174,175,stimulus_175,5.7778,6.5556,2,3
175,176,stimulus_176,7.3333,7.7778,3,3
176,177,stimulus_177,6.4444,6.3333,2,2
177,178,stimulus_178,6.3333,4.3333,2,0
178,179,stimulus_179,3.8889,4.0,1,0
179,180,stimulus_180,6.3333,6.3333,2,2
180,181,stimulus_181,1.0,5.3333,0,1
181,182,stimulus_182,7.5556,7.5556,3,3
182,183,stimulus_183,6.4444,6.7778,2,3
183,184,stimulus_184,8.7778,6.7778,3,3
184,185,stimulus_185,6.6667,6.7778,2,3
185,186,stimulus_186,1.3333,3.6667,0,0
186,187,stimulus_187,1.0,5.0,0,0
187,188,stimulus_188,7.4444,5.3333,3,1
188,189,stimulus_189,2.2222,7.4444,0,3
189,190,stimulus_190,1.7778,6.2222,0,2
190,191,stimulus_191,6.7778,6.0,3,2
191,192,stimulus_192,8.2222,6.8889,3,3
192,193,stimulus_193,6.6667,5.2222,2,1
193,194,stimulus_194,6.5556,5.1111,2,0
194,195,stimulus_195,1.3333,5.5556,0,1
195,196,stimulus_196,7.7778,5.8889,3,2
196,197,stimulus_197,1.2222,6.6667,0,3
197,198,stimulus_198,7.2222,5.1111,3,0
198,199,stimulus_199,6.6667,6.2222,2,2
199,200,stimulus_200,5.8889,7.0,2,3
200,201,stimulus_201,6.3333,5.5556,2,1
201,202,stimulus_202,5.4444,6.6667,1,3
202,203,stimulus_203,5.1111,3.7778,1,0
203,204,stimulus_204,8.0,5.7778,3,1
204,205,stimulus_205,6.8889,7.0,3,3
205,206,stimulus_206,7.4444,6.6667,3,3
206,207,stimulus_207,7.1111,6.5556,3,3
207,208,stimulus_208,1.8889,5.5556,0,1
208,209,stimulus_209,4.7778,6.3333,1,2
209,210,stimulus_210,5.4444,6.0,1,2
210,211,stimulus_211,3.0,5.5556,0,1
211,212,stimulus_212,5.5556,5.4444,1,1
212,213,stimulus_213,1.2222,5.4444,0,1
213,214,stimulus_214,2.8889,4.8889,0,0
214,215,stimulus_215,7.0,6.4444,3,3
215,216,stimulus_216,1.8889,6.1111,0,2
216,217,stimulus_217,7.2222,6.5556,3,3
217,218,stimulus_218,1.2222,6.2222,0,2
218,219,stimulus_219,8.3333,7.3333,3,3
219,220,stimulus_220,6.5556,7.0,2,3
220,221,stimulus_221,5.0,6.2222,1,2
221,222,stimulus_222,2.5556,6.5556,0,3
222,223,stimulus_223,2.8889,6.7778,0,3
223,224,stimulus_224,6.2222,6.1111,2,2
224,225,stimulus_225,3.2222,3.4444,0,0
225,226,stimulus_226,1.3333,4.8889,0,0
226,227,stimulus_227,6.0,5.4444,2,1
227,228,stimulus_228,7.8889,7.7778,3,3
228,229,stimulus_229,5.6667,7.1111,2,3
229,230,stimulus_230,7.4444,7.5556,3,3
230,231,stimulus_231,3.8889,6.4444,1,3
231,232,stimulus_232,7.3333,6.7778,3,3
232,233,stimulus_233,5.2222,6.7778,1,3
233,234,stimulus_234,2.0,7.7778,0,3
234,235,stimulus_235,1.4444,5.2222,0,1
235,236,stimulus_236,1.5556,4.5556,0,0
236,237,stimulus_237,7.3333,7.1111,3,3
237,238,stimulus_238,1.1111,6.4444,0,3
238,239,stimulus_239,4.5556,7.1111,1,3
239,240,stimulus_240,1.4444,6.1111,0,2
240,241,stimulus_241,5.7778,5.7778,2,1
241,242,stimulus_242,5.4444,5.7778,1,1
242,243,stimulus_243,2.1111,5.5556,0,1
243,244,stimulus_244,2.3333,5.2222,0,1
244,245,stimulus_245,5.8889,5.3333,2,1
245,246,stimulus_246,6.0,6.2222,2,2
246,247,stimulus_247,6.1111,5.7778,2,1
247,248,stimulus_248,5.8889,6.4444,2,3
248,249,stimulus_249,2.4444,5.8889,0,2
249,250,stimulus_250,4.5556,5.5556,1,1
250,251,stimulus_251,7.0,7.0,3,3
251,252,stimulus_252,1.8889,5.6667,0,1
252,253,stimulus_253,7.2222,7.0,3,3
253,254,stimulus_254,4.7778,5.2222,1,1
254,255,stimulus_255,7.0,4.7778,3,0
255,256,stimulus_256,7.4444,6.8889,3,3
256,257,stimulus_257,5.7778,5.5556,2,1
257,258,stimulus_258,7.7778,6.7778,3,3
258,259,stimulus_259,1.8889,6.6667,0,3
259,260,stimulus_260,6.8889,6.6667,3,3
260,261,stimulus_261,7.0,6.4444,3,3
261,262,stimulus_262,4.5556,6.6667,1,3
262,263,stimulus_263,6.4444,4.6667,2,0
263,264,stimulus_264,7.1111,6.6667,3,3
264,265,stimulus_265,6.2222,5.7778,2,1
265,266,stimulus_266,1.2222,7.4444,0,3
266,267,stimulus_267,6.7778,5.5556,3,1
267,268,stimulus_268,2.8889,4.0,0,0
268,269,stimulus_269,3.5556,7.7778,0,3
269,270,stimulus_270,5.2222,6.7778,1,3
270,271,stimulus_271,1.3333,6.4444,0,3
271,272,stimulus_272,3.6667,6.1111,1,2
272,273,stimulus_273,7.4444,6.5556,3,3
273,274,stimulus_274,7.2222,5.0,3,0
274,275,stimulus_275,7.4444,6.7778,3,3
275,276,stimulus_276,3.2222,5.7778,0,1
276,277,stimulus_277,6.8889,6.1111,3,2
277,278,stimulus_278,2.3333,4.8889,0,0
278,279,stimulus_279,2.0,4.7778,0,0
279,280,stimulus_280,6.5556,7.2222,2,3
280,281,stimulus_281,6.4444,6.5556,2,3
281,282,stimulus_282,4.1111,5.1111,1,0
282,283,stimulus_283,5.5556,6.2222,1,2
283,284,stimulus_284,5.6667,5.6667,2,1
284,285,stimulus_285,4.3333,4.0,1,0
285,286,stimulus_286,6.5556,6.0,2,2
286,287,stimulus_287,6.5556,6.8889,2,3
287,288,stimulus_288,1.3333,2.7778,0,0
288,289,stimulus_289,7.8889,6.8889,3,3
289,290,stimulus_290,6.1111,4.3333,2,0
290,291,stimulus_291,7.7778,6.6667,3,3
291,292,stimulus_292,8.2222,5.8889,3,2
292,293,stimulus_293,7.3333,6.1111,3,2
293,294,stimulus_294,5.7778,6.2222,2,2
294,295,stimulus_295,7.7778,6.7778,3,3
295,296,stimulus_296,7.3333,5.6667,3,1
296,297,stimulus_297,6.7778,5.7778,3,1
297,298,stimulus_298,6.4444,4.5556,2,0
298,299,stimulus_299,2.4444,5.1111,0,0
299,300,stimulus_300,4.7778,4.7778,1,0
300,301,stimulus_301,7.0,5.6667,3,1
301,302,stimulus_302,6.6667,6.6667,2,3
302,303,stimulus_303,5.7778,5.2222,2,1
303,304,stimulus_304,7.2222,5.3333,3,1
304,305,stimulus_305,6.1111,5.1111,2,0
305,306,stimulus_306,2.2222,4.7778,0,0
306,307,stimulus_307,8.2222,6.0,3,2
307,308,stimulus_308,2.4444,6.7778,0,3
308,309,stimulus_309,6.2222,6.5556,2,3
309,310,stimulus_310,5.7778,6.3333,2,2
310,311,stimulus_311,6.2222,6.1111,2,2
311,312,stimulus_312,3.3333,6.2222,0,2
312,313,stimulus_313,3.7778,6.3333,1,2
313,314,stimulus_314,5.8889,6.2222,2,2
314,315,stimulus_315,6.8889,5.5556,3,1
315,316,stimulus_316,2.7778,7.5556,0,3
316,317,stimulus_317,6.8889,6.4444,3,3
317,318,stimulus_318,5.3333,6.0,1,2
318,319,stimulus_319,7.7778,5.7778,3,1
319,320,stimulus_320,7.3333,7.4444,3,3
320,321,stimulus_321,7.8889,6.7778,3,3
321,322,stimulus_322,7.8889,6.1111,3,2
322,323,stimulus_323,7.3333,6.3333,3,2
323,324,stimulus_324,4.0,7.0,1,3
324,325,stimulus_325,7.3333,6.6667,3,3
325,326,stimulus_326,3.8889,4.6667,1,0
326,327,stimulus_327,5.8889,6.6667,2,3
327,328,stimulus_328,7.7778,6.5556,3,3
328,329,stimulus_329,3.0,5.8889,0,2
329,330,stimulus_330,6.3333,6.6667,2,3
330,331,stimulus_331,8.2222,6.2222,3,2
331,332,stimulus_332,2.6667,5.8889,0,2
332,333,stimulus_333,4.4444,5.5556,1,1
333,334,stimulus_334,4.1111,5.2222,1,1
334,335,stimulus_335,2.8889,4.2222,0,0
335,336,stimulus_336,5.8889,6.4444,2,3
336,337,stimulus_337,6.7778,7.3333,3,3
337,338,stimulus_338,3.6667,6.4444,1,3
338,339,stimulus_339,7.2222,4.1111,3,0
339,340,stimulus_340,5.1111,5.1111,1,0
340,341,stimulus_341,5.0,5.6667,1,1
341,342,stimulus_342,5.7778,6.3333,2,2
342,343,stimulus_343,5.8889,5.7778,2,1
343,344,stimulus_344,7.5556,4.8889,3,0
344,345,stimulus_345,1.2222,5.2222,0,1
345,346,stimulus_346,6.3333,5.2222,2,1
346,347,stimulus_347,6.5556,6.4444,2,3
347,348,stimulus_348,7.8889,4.4444,3,0
348,349,stimulus_349,6.3333,6.5556,2,3
349,350,stimulus_350,5.4444,4.6667,1,0
350,351,stimulus_351,3.6667,4.3333,1,0
351,352,stimulus_352,3.1111,5.7778,0,1
352,353,stimulus_353,8.1111,7.3333,3,3
353,354,stimulus_354,7.8889,4.6667,3,0
354,355,stimulus_355,1.3333,6.5556,0,3
355,356,stimulus_356,7.6667,5.8889,3,2
356,357,stimulus_357,6.6667,6.2222,2,2
357,358,stimulus_358,7.2222,6.5556,3,3
358,359,stimulus_359,5.3333,5.8889,1,2
359,360,stimulus_360,6.4444,5.0,2,0
360,361,stimulus_361,5.7778,5.1111,2,0
361,362,stimulus_362,7.1111,6.3333,3,2
362,363,stimulus_363,2.4444,5.5556,0,1
363,364,stimulus_364,1.4444,5.8889,0,2
364,365,stimulus_365,7.2222,6.2222,3,2
365,366,stimulus_366,7.1111,5.8889,3,2
366,367,stimulus_367,4.5556,5.3333,1,1
367,368,stimulus_368,5.7778,4.8889,2,0
368,369,stimulus_369,6.4444,5.6667,2,1
369,370,stimulus_370,4.2222,5.8889,1,2
370,371,stimulus_371,3.8889,5.1111,1,0
371,372,stimulus_372,4.0,5.8889,1,2
372,373,stimulus_373,4.3333,5.3333,1,1
373,374,stimulus_374,2.4444,5.4444,0,1
374,375,stimulus_375,5.1111,6.7778,1,3
375,376,stimulus_376,5.5556,5.2222,1,1
376,377,stimulus_377,3.2222,6.0,0,2
377,378,stimulus_378,5.3333,5.1111,1,0
378,379,stimulus_379,2.7778,5.6667,0,1
379,380,stimulus_380,6.7778,6.4444,3,3
380,381,stimulus_381,7.1111,6.1111,3,2
381,382,stimulus_382,3.7778,4.5556,1,0
382,383,stimulus_383,1.1111,5.3333,0,1
383,384,stimulus_384,3.2222,5.6667,0,1
384,385,stimulus_385,4.3333,7.4444,1,3
385,386,stimulus_386,6.1111,5.1111,2,0
386,387,stimulus_387,1.4444,5.6667,0,1
387,388,stimulus_388,7.5556,6.2222,3,2
388,389,stimulus_389,2.1111,7.1111,0,3
389,390,stimulus_390,5.3333,4.2222,1,0
390,391,stimulus_391,7.6667,6.7778,3,3
391,392,stimulus_392,8.4444,6.1111,3,2
392,393,stimulus_393,2.7778,4.8889,0,0
393,394,stimulus_394,6.5556,5.5556,2,1
394,395,stimulus_395,3.7778,7.0,1,3
395,396,stimulus_396,7.0,5.7778,3,1
396,397,stimulus_397,6.3333,4.2222,2,0
397,398,stimulus_398,4.3333,5.0,1,0
398,399,stimulus_399,6.6667,4.1111,2,0
399,400,stimulus_400,7.2222,6.2222,3,2
400,401,stimulus_401,5.4444,5.4444,1,1
401,402,stimulus_402,6.4444,5.3333,2,1
402,403,stimulus_403,7.5556,4.5556,3,0
403,404,stimulus_404,6.5556,5.2222,2,1
404,405,stimulus_405,6.7778,5.0,3,0
405,406,stimulus_406,1.5556,4.5556,0,0
406,407,stimulus_407,6.0,5.0,2,0
407,408,stimulus_408,4.0,5.7778,1,1
408,409,stimulus_409,7.0,7.2222,3,3
409,410,stimulus_410,6.7778,4.5556,3,0
410,411,stimulus_411,7.2222,6.5556,3,3
411,412,stimulus_412,5.6667,5.6667,2,1
412,413,stimulus_413,6.7778,3.8889,3,0
413,414,stimulus_414,2.0,4.6667,0,0
414,415,stimulus_415,6.4444,4.8889,2,0
415,416,stimulus_416,6.1111,5.7778,2,1
416,417,stimulus_417,2.1111,6.7778,0,3
417,418,stimulus_418,7.4444,3.8889,3,0
418,419,stimulus_419,5.3333,6.8889,1,3
419,420,stimulus_420,6.7778,6.1111,3,2
420,421,stimulus_421,7.3333,3.1111,3,0
421,422,stimulus_422,2.2222,6.6667,0,3
422,423,stimulus_423,3.3333,5.7778,0,1
423,424,stimulus_424,5.4444,5.7778,1,1
424,425,stimulus_425,7.8889,6.2222,3,2
425,426,stimulus_426,8.1111,6.8889,3,3
426,427,stimulus_427,6.3333,5.5556,2,1
427,428,stimulus_428,5.4444,6.3333,1,2
428,429,stimulus_429,7.4444,6.4444,3,3
429,430,stimulus_430,6.0,6.6667,2,3
430,431,stimulus_431,6.7778,6.4444,3,3
431,432,stimulus_432,7.0,6.4444,3,3
432,433,stimulus_433,6.2222,6.4444,2,3
433,434,stimulus_434,1.3333,5.3333,0,1
434,435,stimulus_435,2.8889,6.3333,0,2
435,436,stimulus_436,3.3333,6.0,0,2
436,437,stimulus_437,1.6667,6.3333,0,2
437,438,stimulus_438,6.8889,5.0,3,0
438,439,stimulus_439,2.2222,5.5556,0,1
439,440,stimulus_440,4.8889,4.8889,1,0
440,441,stimulus_441,1.4444,3.1111,0,0
441,442,stimulus_442,5.3333,6.5556,1,3
442,443,stimulus_443,2.2222,6.2222,0,2
443,444,stimulus_444,2.5556,5.3333,0,1
444,445,stimulus_445,7.5556,6.5556,3,3
445,446,stimulus_446,6.7778,5.6667,3,1
446,447,stimulus_447,5.6667,6.3333,2,2
447,448,stimulus_448,5.0,6.6667,1,3
448,449,stimulus_449,6.4444,6.3333,2,2
449,450,stimulus_450,1.6667,6.0,0,2
450,451,stimulus_451,2.2222,6.6667,0,3
451,452,stimulus_452,7.1111,7.0,3,3
452,453,stimulus_453,4.8889,4.7778,1,0
453,454,stimulus_454,7.1111,6.3333,3,2
454,455,stimulus_455,4.1111,4.3333,1,0
455,456,stimulus_456,6.4444,6.2222,2,2
456,457,stimulus_457,5.3333,5.3333,1,1
457,458,stimulus_458,8.3333,6.8889,3,3
458,459,stimulus_459,4.4444,6.1111,1,2
459,460,stimulus_460,2.7778,6.5556,0,3
460,461,stimulus_461,1.6667,6.4444,0,3
461,462,stimulus_462,7.2222,6.2222,3,2
462,463,stimulus_463,6.6667,5.5556,2,1
463,464,stimulus_464,1.6667,5.1111,0,0
464,465,stimulus_465,7.4444,8.0,3,3
465,466,stimulus_466,2.8889,5.3333,0,1
466,467,stimulus_467,6.1111,6.0,2,2
467,468,stimulus_468,5.7778,5.5556,2,1
468,469,stimulus_469,6.6667,7.0,2,3
469,470,stimulus_470,5.3333,5.7778,1,1
470,471,stimulus_471,6.2222,5.3333,2,1
471,472,stimulus_472,7.8889,5.8889,3,2
472,473,stimulus_473,5.8889,6.2222,2,2
