stim_idx,stimulus_num,stimulus_name,valence_score,arousal_score,v_quartile,a_quartile,v_label
0,1,stimulus_1,2.2222,5.5556,0,1,0
4,5,stimulus_5,2.5556,6.7778,0,3,0
7,8,stimulus_8,6.7778,4.0,3,0,1
8,9,stimulus_9,3.3333,5.0,0,0,0
9,10,stimulus_10,7.8889,7.6667,3,3,1
10,11,stimulus_11,7.6667,6.7778,3,3,1
12,13,stimulus_13,8.4444,6.8889,3,3,1
14,15,stimulus_15,3.3333,6.6667,0,3,0
15,16,stimulus_16,6.8889,7.1111,3,3,1
16,17,stimulus_17,7.1111,6.3333,3,2,1
17,18,stimulus_18,3.1111,6.2222,0,2,0
18,19,stimulus_19,6.7778,6.1111,3,2,1
20,21,stimulus_21,1.7778,6.3333,0,2,0
22,23,stimulus_23,7.3333,6.2222,3,2,1
24,25,stimulus_25,2.8889,5.4444,0,1,0
25,26,stimulus_26,8.0,5.2222,3,1,1
26,27,stimulus_27,2.7778,5.8889,0,2,0
27,28,stimulus_28,1.4444,5.3333,0,1,0
28,29,stimulus_29,6.8889,6.3333,3,2,1
29,30,stimulus_30,1.8889,6.1111,0,2,0
30,31,stimulus_31,3.2222,6.0,0,2,0
34,35,stimulus_35,7.0,5.8889,3,2,1
36,37,stimulus_37,7.1111,6.4444,3,3,1
39,40,stimulus_40,7.5556,5.7778,3,1,1
40,41,stimulus_41,6.7778,5.6667,3,1,1
42,43,stimulus_43,6.7778,5.8889,3,2,1
44,45,stimulus_45,3.0,5.6667,0,1,0
45,46,stimulus_46,2.7778,5.3333,0,1,0
47,48,stimulus_48,2.0,4.5556,0,0,0
50,51,stimulus_51,2.7778,5.1111,0,0,0
57,58,stimulus_58,7.4444,6.7778,3,3,1
58,59,stimulus_59,3.1111,5.1111,0,0,0
61,62,stimulus_62,1.4444,4.0,0,0,0
66,67,stimulus_67,1.3333,3.0,0,0,0
70,71,stimulus_71,3.2222,4.7778,0,0,0
72,73,stimulus_73,2.2222,5.7778,0,1,0
73,74,stimulus_74,7.3333,6.2222,3,2,1
77,78,stimulus_78,7.2222,5.4444,3,1,1
78,79,stimulus_79,2.1111,4.1111,0,0,0
80,81,stimulus_81,1.4444,6.3333,0,2,0
82,83,stimulus_83,7.7778,4.8889,3,0,1
86,87,stimulus_87,7.0,5.3333,3,1,1
88,89,stimulus_89,2.7778,5.4444,0,1,0
89,90,stimulus_90,7.3333,5.5556,3,1,1
93,94,stimulus_94,6.7778,4.8889,3,0,1
94,95,stimulus_95,2.0,5.7778,0,1,0
95,96,stimulus_96,2.6667,6.6667,0,3,0
97,98,stimulus_98,7.7778,5.3333,3,1,1
99,100,stimulus_100,8.0,7.1111,3,3,1
100,101,stimulus_101,8.0,6.8889,3,3,1
101,102,stimulus_102,6.7778,5.8889,3,2,1
103,104,stimulus_104,1.7778,4.5556,0,0,0
106,107,stimulus_107,1.2222,5.7778,0,1,0
108,109,stimulus_109,2.4444,6.3333,0,2,0
109,110,stimulus_110,7.0,5.7778,3,1,1
110,111,stimulus_111,6.7778,6.1111,3,2,1
112,113,stimulus_113,7.2222,5.5556,3,1,1
115,116,stimulus_116,6.8889,5.7778,3,1,1
118,119,stimulus_119,3.4444,5.3333,0,1,0
122,123,stimulus_123,7.6667,5.2222,3,1,1
123,124,stimulus_124,2.8889,3.7778,0,0,0
124,125,stimulus_125,7.0,5.8889,3,2,1
125,126,stimulus_126,8.3333,6.3333,3,2,1
126,127,stimulus_127,2.1111,6.5556,0,3,0
127,128,stimulus_128,2.6667,5.7778,0,1,0
128,129,stimulus_129,1.6667,5.8889,0,2,0
131,132,stimulus_132,1.8889,4.8889,0,0,0
132,133,stimulus_133,1.6667,5.1111,0,0,0
134,135,stimulus_135,1.6667,4.2222,0,0,0
135,136,stimulus_136,2.2222,3.6667,0,0,0
136,137,stimulus_137,2.2222,3.2222,0,0,0
140,141,stimulus_141,1.6667,3.3333,0,0,0
145,146,stimulus_146,7.2222,7.5556,3,3,1
148,149,stimulus_149,8.3333,6.3333,3,2,1
150,151,stimulus_151,8.0,5.8889,3,2,1
151,152,stimulus_152,8.3333,7.1111,3,3,1
152,153,stimulus_153,1.7778,5.1111,0,0,0
153,154,stimulus_154,1.2222,5.0,0,0,0
157,158,stimulus_158,1.8889,5.4444,0,1,0
158,159,stimulus_159,3.4444,5.4444,0,1,0
160,161,stimulus_161,8.1111,5.8889,3,2,1
161,162,stimulus_162,7.1111,7.5556,3,3,1
162,163,stimulus_163,8.1111,6.4444,3,3,1
163,164,stimulus_164,7.4444,5.4444,3,1,1
164,165,stimulus_165,8.3333,6.1111,3,2,1
165,166,stimulus_166,1.1111,6.2222,0,2,0
166,167,stimulus_167,8.1111,6.4444,3,3,1
169,170,stimulus_170,3.4444,7.7778,0,3,0
171,172,stimulus_172,7.6667,5.7778,3,1,1
175,176,stimulus_176,7.3333,7.7778,3,3,1
180,181,stimulus_181,1.0,5.3333,0,1,0
181,182,stimulus_182,7.5556,7.5556,3,3,1
183,184,stimulus_184,8.7778,6.7778,3,3,1
185,186,stimulus_186,1.3333,3.6667,0,0,0
186,187,stimulus_187,1.0,5.0,0,0,0
187,188,stimulus_188,7.4444,5.3333,3,1,1
188,189,stimulus_189,2.2222,7.4444,0,3,0
189,190,stimulus_190,1.7778,6.2222,0,2,0
190,191,stimulus_191,6.7778,6.0,3,2,1
191,192,stimulus_192,8.2222,6.8889,3,3,1
194,195,stimulus_195,1.3333,5.5556,0,1,0
195,196,stimulus_196,7.7778,5.8889,3,2,1
196,197,stimulus_197,1.2222,6.6667,0,3,0
197,198,stimulus_198,7.2222,5.1111,3,0,1
203,204,stimulus_204,8.0,5.7778,3,1,1
204,205,stimulus_205,6.8889,7.0,3,3,1
205,206,stimulus_206,7.4444,6.6667,3,3,1
206,207,stimulus_207,7.1111,6.5556,3,3,1
207,208,stimulus_208,1.8889,5.5556,0,1,0
210,211,stimulus_211,3.0,5.5556,0,1,0
212,213,stimulus_213,1.2222,5.4444,0,1,0
213,214,stimulus_214,2.8889,4.8889,0,0,0
214,215,stimulus_215,7.0,6.4444,3,3,1
215,216,stimulus_216,1.8889,6.1111,0,2,0
216,217,stimulus_217,7.2222,6.5556,3,3,1
217,218,stimulus_218,1.2222,6.2222,0,2,0
218,219,stimulus_219,8.3333,7.3333,3,3,1
221,222,stimulus_222,2.5556,6.5556,0,3,0
222,223,stimulus_223,2.8889,6.7778,0,3,0
224,225,stimulus_225,3.2222,3.4444,0,0,0
225,226,stimulus_226,1.3333,4.8889,0,0,0
227,228,stimulus_228,7.8889,7.7778,3,3,1
229,230,stimulus_230,7.4444,7.5556,3,3,1
231,232,stimulus_232,7.3333,6.7778,3,3,1
233,234,stimulus_234,2.0,7.7778,0,3,0
234,235,stimulus_235,1.4444,5.2222,0,1,0
235,236,stimulus_236,1.5556,4.5556,0,0,0
