stim_idx,cluster_id
0,2
1,3
2,26
3,4
4,8
5,17
6,19
7,2
8,13
9,12
10,17
11,2
12,17
13,13
14,13
15,3
16,23
17,7
18,24
19,4
20,7
21,5
22,2
23,26
24,8
25,22
26,8
27,10
28,22
29,4
30,21
31,10
32,9
33,16
34,3
35,20
36,13
37,17
38,4
39,24
40,26
41,10
42,7
43,17
44,5
45,21
46,10
47,16
48,2
49,3
50,12
51,16
52,17
53,12
54,23
55,13
56,17
57,23
58,20
59,0
60,18
61,13
62,23
63,3
64,10
65,5
66,2
67,26
68,2
69,13
70,3
71,7
72,4
73,12
74,23
75,19
76,13
77,10
78,18
79,5
80,18
81,0
82,10
83,25
84,11
85,22
86,14
87,5
88,16
89,4
90,9
91,1
92,14
93,17
94,8
95,6
96,5
97,17
98,7
99,11
100,9
101,16
102,13
103,1
104,16
105,3
106,13
107,5
108,26
109,11
110,11
111,7
112,17
113,11
114,5
115,21
116,14
117,6
118,19
119,18
120,0
121,7
122,5
123,26
124,24
125,23
126,8
127,16
128,6
129,24
130,24
131,16
132,6
133,1
134,1
135,17
136,25
137,3
138,17
139,20
140,11
141,10
142,26
143,11
144,17
145,23
146,3
147,11
148,22
149,17
150,3
151,12
152,26
153,26
154,18
155,19
156,6
157,17
158,8
159,7
160,24
161,3
162,9
163,14
164,12
165,1
166,18
167,0
168,9
169,8
170,24
171,13
172,19
173,26
174,25
175,21
176,17
177,15
178,13
179,17
180,6
181,16
182,26
183,4
184,16
185,13
186,12
187,21
188,23
189,26
190,6
191,13
192,16
193,12
194,0
195,25
196,7
197,13
198,25
199,5
200,13
201,5
202,1
203,7
204,25
205,14
206,14
207,9
208,7
209,5
210,13
211,23
212,8
213,1
214,24
215,12
216,0
217,26
218,3
219,25
220,19
221,26
222,17
223,4
224,3
225,12
226,10
227,2
228,20
229,13
230,9
231,6
232,19
233,23
234,7
235,14
236,17
237,13
238,7
239,5
240,17
241,2
242,8
243,2
244,3
245,7
246,23
247,2
248,5
249,21
250,18
251,3
252,25
253,26
254,16
255,14
256,23
257,7
258,5
259,4
260,17
261,13
262,17
263,26
264,20
265,1
266,24
267,12
268,5
269,2
270,7
271,23
272,17
273,3
274,24
275,3
276,26
277,8
278,5
279,16
280,11
281,13
282,14
283,7
284,11
285,16
286,1
287,18
288,14
289,15
290,10
291,20
292,7
293,2
294,18
295,10
296,19
297,7
298,10
299,3
300,7
301,10
302,1
303,19
304,20
305,15
306,17
307,23
308,18
309,16
310,17
311,13
312,8
313,6
314,5
315,13
316,25
317,25
318,7
319,8
320,11
321,14
322,18
323,26
324,25
325,7
326,10
327,21
328,4
329,0
330,18
331,1
332,3
333,14
334,25
335,7
336,10
337,26
338,21
339,11
340,19
341,17
342,10
343,9
344,23
345,18
346,15
347,4
348,0
349,11
350,0
351,8
352,16
353,19
354,0
355,20
356,2
357,12
358,3
359,25
360,13
361,8
362,6
363,26
364,21
365,17
366,2
367,4
368,11
369,16
370,11
371,14
372,18
373,18
374,11
375,8
376,10
377,16
378,21
379,13
380,14
381,2
382,18
383,3
384,13
385,22
386,26
387,7
388,19
389,17
390,9
391,4
392,12
393,24
394,24
395,15
396,11
397,19
398,9
399,9
400,26
401,5
402,24
403,8
404,19
405,10
406,5
407,18
408,23
409,24
410,13
411,10
412,21
413,7
414,0
415,15
416,13
417,3
418,5
419,3
420,3
421,21
422,0
423,18
424,14
425,11
426,20
427,26
428,11
429,5
430,12
431,13
432,10
433,24
434,20
435,14
436,21
437,4
438,22
439,17
440,1
441,18
442,2
443,25
444,1
445,14
446,26
447,18
448,3
449,4
450,7
451,13
452,24
453,16
454,7
455,3
456,13
457,24
458,3
459,0
460,11
461,2
462,7
463,23
464,11
465,1
466,19
467,21
468,12
469,9
470,19
471,6
472,22
473,6
474,11
475,25
476,9
477,19
478,12
479,16
480,26
481,20
482,21
483,19
484,6
485,24
486,11
487,12
488,2
489,9
490,6
491,12
492,3
493,8
494,13
495,6
496,2
497,6
498,4
499,4
500,4
501,24
502,18
503,3
504,22
505,10
506,0
507,1
508,7
509,2
510,18
511,8
512,6
513,8
514,2
515,19
516,3
517,4
518,23
519,16
520,9
521,7
522,11
523,24
524,0
525,18
526,11
527,10
528,24
529,14
530,20
531,21
532,16
533,24
534,4
535,26
536,25
537,17
538,9
539,6
540,14
541,12
542,17
543,5
544,12
545,3
546,15
547,26
548,10
549,16
550,0
551,12
552,24
553,13
554,0
555,10
556,24
557,16
558,26
559,10
560,21
561,21
562,12
563,7
564,5
565,10
566,12
567,13
568,11
569,2
570,6
571,17
572,9
573,7
574,5
575,13
576,3
577,8
578,10
579,13
580,11
581,13
