stim_idx,cluster_id
0,1
1,10
2,0
3,10
4,9
5,11
6,9
7,12
8,3
9,10
10,2
11,1
12,6
13,9
14,2
15,1
16,6
17,13
18,7
19,7
20,10
21,4
22,7
23,9
24,2
25,1
26,9
27,1
28,1
29,2
30,12
31,13
32,14
33,5
34,14
35,10
36,3
37,9
38,1
39,1
40,9
41,5
42,9
43,4
44,9
45,12
46,11
47,1
48,14
49,7
50,13
51,11
52,10
53,13
54,1
55,0
56,9
57,1
58,1
59,5
60,7
61,8
62,14
63,11
64,5
65,8
66,13
67,12
68,13
69,9
70,1
71,7
72,14
73,3
74,1
75,9
76,11
77,7
78,13
79,0
80,7
81,4
82,1
83,5
84,12
85,13
86,14
87,8
88,11
89,1
90,10
91,8
92,0
93,1
94,13
95,3
96,0
97,1
98,9
99,10
100,1
101,8
102,0
103,2
104,12
105,10
106,8
107,5
108,8
109,1
110,1
111,5
112,1
113,10
114,0
115,1
116,14
117,14
118,1
119,1
120,14
121,9
122,9
123,6
124,1
125,0
126,9
127,0
128,2
129,1
130,10
131,0
132,6
133,1
134,7
135,6
136,14
137,5
138,13
139,13
140,5
141,10
142,7
143,1
144,14
145,9
146,4
147,14
148,14
149,1
150,4
151,5
152,0
153,0
154,11
155,12
156,2
157,1
158,9
159,4
160,8
161,5
162,14
163,4
164,1
165,1
166,3
167,4
168,2
169,0
170,1
171,13
172,0
173,2
174,10
175,9
176,6
177,11
178,0
179,4
180,8
181,4
182,9
183,1
184,7
185,5
186,13
187,10
188,0
189,8
190,14
191,6
192,1
193,1
194,9
195,5
196,14
197,1
198,5
199,8
200,7
201,9
202,1
203,10
204,5
205,6
206,11
207,1
208,8
209,4
210,2
211,14
212,2
213,11
214,8
215,5
216,14
217,9
218,5
219,7
220,14
221,1
222,1
223,0
224,5
225,3
226,0
227,1
228,3
229,3
230,14
231,9
232,2
233,10
234,13
235,2
236,2
237,14
238,9
239,8
240,7
241,13
242,14
243,6
244,9
245,12
246,3
247,4
248,9
249,5
250,7
251,0
252,5
253,0
254,1
255,14
256,12
257,9
258,8
259,3
260,5
261,9
262,14
263,12
264,0
265,13
266,1
267,10
268,8
269,11
270,7
271,1
272,11
273,1
274,11
275,6
276,0
277,1
278,8
279,1
280,0
281,0
282,8
283,3
284,4
285,5
286,4
287,2
288,14
289,10
290,7
291,1
292,9
293,6
294,7
295,5
296,10
297,8
298,0
299,6
300,11
301,11
302,1
303,4
304,10
305,13
306,13
307,7
308,3
309,11
310,5
311,0
312,11
313,9
314,12
315,9
316,5
317,7
318,10
319,4
320,9
321,11
322,12
323,9
324,5
325,6
326,12
327,0
328,13
329,9
330,9
331,1
332,1
333,8
334,7
335,8
336,1
337,9
338,1
339,13
340,2
341,1
342,2
343,10
344,9
345,0
346,1
347,4
348,1
349,5
350,1
351,7
352,9
353,13
354,9
355,5
356,4
357,0
358,13
359,7
360,0
361,5
362,0
363,8
364,4
365,1
366,9
367,10
368,13
369,12
370,14
371,4
372,5
373,2
374,12
375,10
376,12
377,1
378,14
379,14
380,2
381,4
382,1
383,14
384,12
385,6
386,12
387,7
388,14
389,7
390,1
391,1
392,13
393,7
394,12
395,5
396,1
397,0
398,2
399,10
400,9
401,9
402,7
403,11
404,11
405,9
406,8
407,9
408,3
409,1
410,6
411,3
412,1
413,0
414,8
415,6
416,4
417,14
418,8
419,1
420,1
421,12
422,13
423,7
424,1
425,5
426,1
427,10
428,14
429,9
430,13
431,1
432,1
433,14
434,12
435,12
436,12
437,3
438,4
439,10
440,5
441,3
442,4
443,7
444,9
445,1
446,2
447,9
448,14
449,10
450,6
451,9
452,5
453,14
454,10
455,1
456,1
457,1
458,2
459,14
460,12
461,1
462,12
463,7
464,11
465,5
466,10
467,2
468,1
469,10
470,7
471,0
472,5
473,9
474,1
475,5
476,1
477,14
478,1
479,6
480,6
481,9
482,13
483,7
484,2
485,5
486,12
487,13
488,8
489,14
490,9
491,10
492,1
493,0
494,5
495,5
496,11
497,9
498,5
499,1
500,10
501,1
502,0
503,1
504,1
505,0
506,11
507,7
508,4
509,0
510,3
511,13
512,3
513,13
514,14
515,1
516,12
517,3
518,14
519,13
520,1
521,9
522,10
523,8
524,14
525,12
526,1
527,5
528,4
529,8
530,5
531,8
532,5
533,4
534,1
535,8
536,7
537,9
538,10
539,0
540,1
541,10
542,6
543,10
544,0
545,12
546,13
547,9
548,1
549,12
550,5
551,1
552,14
553,1
554,1
555,5
556,2
557,5
558,14
559,13
560,5
561,3
562,1
563,2
564,8
565,5
566,13
567,8
568,9
569,8
570,1
571,6
572,1
573,0
574,12
575,9
576,0
577,9
578,2
579,14
580,0
581,0
582,1
583,1
584,5
585,2
586,1
587,1
588,9
589,2
590,11
591,9
592,11
593,4
594,0
595,1
596,11
597,8
598,13
599,9
600,9
601,12
602,8
603,8
604,1
605,1
606,8
607,8
608,1
609,7
610,10
611,3
612,5
613,12
614,3
615,3
616,1
617,14
618,6
619,14
620,9
621,7
622,5
623,7
624,10
625,5
626,9
627,1
628,5
629,11
630,1
631,0
632,3
633,8
634,9
635,12
636,14
637,0
638,7
639,11
640,11
641,0
642,6
643,7
644,14
645,9
646,0
647,12
648,2
649,10
650,7
651,1
652,9
653,10
654,3
655,9
656,9
657,1
658,7
659,14
660,7
661,7
662,4
663,14
664,12
665,10
666,3
667,14
668,1
669,4
670,14
671,1
672,4
673,14
674,0
675,7
676,12
677,1
678,6
679,14
680,11
681,10
682,1
683,14
684,14
685,8
686,9
687,0
688,1
689,9
690,6
691,1
692,1
693,1
694,1
695,1
696,9
697,2
698,8
699,13
700,1
701,9
702,12
703,1
704,12
705,12
706,3
707,14
708,13
709,14
710,10
711,1
712,7
713,4
714,10
715,9
716,4
717,1
718,6
719,11
720,1
721,12
722,7
723,13
724,9
725,1
726,0
727,10
728,5
729,9
730,6
731,13
732,1
733,7
734,9
735,14
736,10
737,7
738,11
739,10
740,0
741,2
742,1
743,9
744,9
745,9
746,10
747,6
748,13
749,12
750,1
751,14
752,14
753,5
754,10
755,1
756,14
757,6
758,9
759,7
760,5
761,3
762,6
763,13
764,0
765,14
766,12
767,14
768,6
769,6
770,1
771,10
772,13
773,9
774,13
775,9
776,8
777,14
778,2
779,7
780,6
781,10
782,3
783,11
784,2
785,11
786,9
787,7
788,14
789,0
790,1
791,13
792,13
793,3
794,4
795,3
796,10
797,13
798,7
799,13
800,14
801,7
802,11
803,13
804,6
805,5
806,7
807,9
808,13
809,1
810,1
811,14
812,4
813,9
814,14
815,14
816,7
817,14
818,14
819,2
820,11
821,5
822,1
823,13
824,1
825,13
826,8
827,12
828,7
829,10
830,7
831,13
832,5
833,1
834,14
835,4
836,13
837,14
838,1
839,0
840,1
841,1
842,5
843,2
844,8
845,14
846,7
847,14
848,13
849,4
850,8
851,8
852,9
853,3
854,10
855,9
856,1
857,5
858,1
859,1
860,3
861,2
862,7
863,0
864,13
865,8
866,11
867,11
868,9
869,7
870,2
871,10
872,2
873,5
874,14
875,13
876,14
877,3
878,6
879,14
880,0
881,0
882,7
883,7
884,11
885,3
886,8
887,5
888,1
889,1
890,1
891,11
892,13
893,12
894,1
895,1
896,9
897,7
898,9
899,12
900,5
901,11
902,14
903,10
904,13
905,3
906,6
907,8
908,7
909,11
910,8
911,9
912,9
913,11
914,1
915,1
916,0
917,4
918,9
919,8
920,9
921,10
922,10
923,2
924,0
925,13
926,10
927,3
928,13
929,5
930,3
931,1
932,8
933,2
934,4
935,1
936,3
937,6
938,5
939,8
940,12
941,13
942,1
943,12
944,7
945,10
946,6
947,8
948,12
949,0
950,10
951,1
952,11
953,1
954,9
955,7
956,13
957,8
958,13
959,7
960,14
961,9
962,14
963,5
964,8
965,8
966,9
967,1
968,1
969,12
970,0
971,3
972,0
973,2
974,0
975,2
976,2
977,9
978,5
979,8
980,0
981,1
982,1
983,4
984,11
985,12
986,9
987,14
988,1
989,6
990,1
991,6
992,8
993,4
994,14
995,1
996,13
997,10
998,1
999,13
1000,9
1001,9
1002,1
1003,3
1004,14
1005,9
1006,5
1007,10
1008,10
1009,10
1010,6
1011,11
1012,7
1013,6
1014,9
1015,14
1016,8
1017,2
1018,5
1019,9
1020,2
1021,3
1022,1
1023,1
1024,14
1025,8
1026,14
1027,1
1028,1
1029,13
1030,13
1031,1
1032,6
1033,14
1034,5
1035,7
1036,1
1037,5
1038,2
1039,3
1040,9
1041,8
1042,8
1043,5
1044,1
1045,8
1046,1
1047,14
1048,14
1049,5
1050,9
1051,9
1052,3
1053,1
1054,1
1055,4
1056,10
1057,10
1058,1
1059,1
1060,14
1061,1
1062,10
1063,13
1064,5
1065,5
1066,4
1067,12
1068,1
1069,1
1070,1
1071,0
1072,1
1073,1
1074,7
1075,1
1076,12
1077,14
1078,9
1079,1
1080,10
1081,12
1082,3
1083,12
1084,12
1085,6
1086,0
1087,0
1088,11
1089,13
1090,13
1091,1
1092,11
1093,3
1094,5
1095,6
1096,1
1097,8
1098,5
1099,4
1100,1
1101,14
1102,3
1103,2
1104,8
1105,6
1106,13
1107,0
1108,11
1109,0
1110,5
1111,0
1112,8
1113,8
1114,8
1115,7
1116,5
1117,7
1118,6
1119,5
1120,7
1121,4
1122,5
1123,4
1124,1
1125,10
1126,2
1127,1
1128,5
1129,6
1130,9
1131,12
1132,2
1133,0
1134,14
1135,1
1136,1
1137,7
1138,13
1139,11
1140,9
1141,5
1142,14
1143,7
1144,14
1145,8
1146,11
1147,5
1148,4
1149,0
1150,1
1151,2
1152,9
1153,2
1154,6
1155,7
1156,3
1157,14
1158,3
1159,8
1160,1
1161,7
1162,2
1163,10
1164,10
1165,1
1166,7
1167,1
1168,10
1169,1
1170,11
1171,9
1172,3
1173,10
1174,7
1175,13
1176,1
1177,2
1178,1
1179,5
1180,0
1181,3
1182,2
1183,7
1184,9
1185,8
1186,1
1187,1
1188,1
1189,3
1190,9
1191,8
1192,1
1193,5
1194,14
1195,3
1196,8
1197,2
1198,0
1199,0
1200,10
1201,8
1202,9
1203,10
1204,7
1205,9
1206,1
1207,13
1208,4
1209,6
1210,6
1211,0
1212,1
1213,10
1214,12
1215,12
1216,3
1217,2
1218,8
1219,11
1220,2
1221,5
1222,14
1223,7
1224,4
1225,14
1226,6
1227,14
1228,6
1229,5
1230,1
1231,12
1232,11
1233,6
1234,9
1235,13
1236,7
1237,13
1238,9
1239,4
1240,12
1241,13
1242,9
1243,1
1244,11
1245,9
1246,7
1247,13
1248,10
1249,9
1250,14
1251,1
1252,1
1253,6
1254,1
1255,0
1256,9
1257,0
1258,1
1259,0
