variant,model,init,padding,sub_variant,subject,file_path,file_exists,file_size_mb,mtime,load_ok,err,shape,stim_n,embed_dim,ndim,dtype,obj_type,stim_match_canonical
brain_jepa_LEGACY_T20first16_resting_pad-mean,brain_jepa,resting,mean,LEGACY_T20first16,sub-01,/pscratch/sd/s/sjmoon/FEELIN/output/embeddings/brain_jepa_LEGACY_T20first16_resting_pad-mean/sub-01.pt,True,6.758,2026-05-19T06:40:26,True,,"(2185, 768)",2185,768,2,float32,dict,True
brain_jepa_LEGACY_T20first16_resting_pad-mean,brain_jepa,resting,mean,LEGACY_T20first16,sub-02,/pscratch/sd/s/sjmoon/FEELIN/output/embeddings/brain_jepa_LEGACY_T20first16_resting_pad-mean/sub-02.pt,True,6.758,2026-05-19T06:58:21,True,,"(2185, 768)",2185,768,2,float32,dict,True
brain_jepa_LEGACY_T20first16_resting_pad-mean,brain_jepa,resting,mean,LEGACY_T20first16,sub-03,/pscratch/sd/s/sjmoon/FEELIN/output/embeddings/brain_jepa_LEGACY_T20first16_resting_pad-mean/sub-03.pt,True,6.758,2026-05-19T07:15:45,True,,"(2185, 768)",2185,768,2,float32,dict,True
brain_jepa_LEGACY_T20first16_resting_pad-mean,brain_jepa,resting,mean,LEGACY_T20first16,sub-04,/pscratch/sd/s/sjmoon/FEELIN/output/embeddings/brain_jepa_LEGACY_T20first16_resting_pad-mean/sub-04.pt,True,6.758,2026-05-19T07:33:52,True,,"(2185, 768)",2185,768,2,float32,dict,True
brain_jepa_LEGACY_T20first16_resting_pad-mean,brain_jepa,resting,mean,LEGACY_T20first16,sub-05,/pscratch/sd/s/sjmoon/FEELIN/output/embeddings/brain_jepa_LEGACY_T20first16_resting_pad-mean/sub-05.pt,True,6.758,2026-05-19T07:52:18,True,,"(2185, 768)",2185,768,2,float32,dict,True
brain_jepa_LEGACY_T20first16_resting_pad-spatial_only,brain_jepa,resting,spatial_only,LEGACY_T20first16,sub-01,/pscratch/sd/s/sjmoon/FEELIN/output/embeddings/brain_jepa_LEGACY_T20first16_resting_pad-spatial_only/sub-01.pt,True,6.758,2026-05-18T10:21:19,True,,"(2185, 768)",2185,768,2,float32,dict,True
brain_jepa_LEGACY_T20first16_resting_pad-spatial_only,brain_jepa,resting,spatial_only,LEGACY_T20first16,sub-02,/pscratch/sd/s/sjmoon/FEELIN/output/embeddings/brain_jepa_LEGACY_T20first16_resting_pad-spatial_only/sub-02.pt,True,6.758,2026-05-18T10:21:10,True,,"(2185, 768)",2185,768,2,float32,dict,True
brain_jepa_LEGACY_T20first16_resting_pad-spatial_only,brain_jepa,resting,spatial_only,LEGACY_T20first16,sub-03,/pscratch/sd/s/sjmoon/FEELIN/output/embeddings/brain_jepa_LEGACY_T20first16_resting_pad-spatial_only/sub-03.pt,True,6.758,2026-05-18T10:21:38,True,,"(2185, 768)",2185,768,2,float32,dict,True
brain_jepa_LEGACY_T20first16_resting_pad-spatial_only,brain_jepa,resting,spatial_only,LEGACY_T20first16,sub-04,/pscratch/sd/s/sjmoon/FEELIN/output/embeddings/brain_jepa_LEGACY_T20first16_resting_pad-spatial_only/sub-04.pt,True,6.758,2026-05-18T10:21:47,True,,"(2185, 768)",2185,768,2,float32,dict,True
brain_jepa_LEGACY_T20first16_resting_pad-spatial_only,brain_jepa,resting,spatial_only,LEGACY_T20first16,sub-05,/pscratch/sd/s/sjmoon/FEELIN/output/embeddings/brain_jepa_LEGACY_T20first16_resting_pad-spatial_only/sub-05.pt,True,6.758,2026-05-18T10:21:48,True,,"(2185, 768)",2185,768,2,float32,dict,True
brain_jepa_LEGACY_T20first16_scratch_pad-mean,brain_jepa,scratch,mean,LEGACY_T20first16,sub-01,/pscratch/sd/s/sjmoon/FEELIN/output/embeddings/brain_jepa_LEGACY_T20first16_scratch_pad-mean/sub-01.pt,True,6.758,2026-05-19T06:40:58,True,,"(2185, 768)",2185,768,2,float32,dict,True
