sample_id,text
sub-01::stimulus_1,This brain response shows valence 2.22 and arousal 5.56.
sub-01::stimulus_2,This brain response shows valence 3.67 and arousal 5.33.
sub-01::stimulus_3,This brain response shows valence 6.44 and arousal 6.56.
sub-01::stimulus_4,This brain response shows valence 5.11 and arousal 4.33.
sub-01::stimulus_5,This brain response shows valence 2.56 and arousal 6.78.
sub-01::stimulus_6,This brain response shows valence 6.44 and arousal 5.67.
sub-01::stimulus_7,This brain response shows valence 4.56 and arousal 4.56.
sub-01::stimulus_8,This brain response shows valence 6.78 and arousal 4.00.
sub-01::stimulus_9,This brain response shows valence 3.33 and arousal 5.00.
sub-01::stimulus_10,This brain response shows valence 7.89 and arousal 7.67.
sub-01::stimulus_11,This brain response shows valence 7.67 and arousal 6.78.
sub-01::stimulus_12,This brain response shows valence 6.67 and arousal 5.22.
sub-01::stimulus_13,This brain response shows valence 8.44 and arousal 6.89.
sub-01::stimulus_14,This brain response shows valence 6.00 and arousal 5.89.
sub-01::stimulus_15,This brain response shows valence 3.33 and arousal 6.67.
sub-01::stimulus_16,This brain response shows valence 6.89 and arousal 7.11.
sub-01::stimulus_17,This brain response shows valence 7.11 and arousal 6.33.
sub-01::stimulus_18,This brain response shows valence 3.11 and arousal 6.22.
sub-01::stimulus_19,This brain response shows valence 6.78 and arousal 6.11.
sub-01::stimulus_20,This brain response shows valence 6.44 and arousal 6.44.
sub-01::stimulus_21,This brain response shows valence 1.78 and arousal 6.33.
sub-01::stimulus_22,This brain response shows valence 4.78 and arousal 7.33.
sub-01::stimulus_23,This brain response shows valence 7.33 and arousal 6.22.
sub-01::stimulus_24,This brain response shows valence 3.89 and arousal 5.78.
sub-01::stimulus_25,This brain response shows valence 2.89 and arousal 5.44.
sub-01::stimulus_26,This brain response shows valence 8.00 and arousal 5.22.
sub-01::stimulus_27,This brain response shows valence 2.78 and arousal 5.89.
sub-01::stimulus_28,This brain response shows valence 1.44 and arousal 5.33.
sub-01::stimulus_29,This brain response shows valence 6.89 and arousal 6.33.
sub-01::stimulus_30,This brain response shows valence 1.89 and arousal 6.11.
sub-01::stimulus_31,This brain response shows valence 3.22 and arousal 6.00.
sub-01::stimulus_32,This brain response shows valence 5.89 and arousal 5.89.
sub-01::stimulus_33,This brain response shows valence 6.33 and arousal 5.89.
sub-01::stimulus_34,This brain response shows valence 6.11 and arousal 5.89.
sub-01::stimulus_35,This brain response shows valence 7.00 and arousal 5.89.
sub-01::stimulus_36,This brain response shows valence 5.78 and arousal 5.44.
sub-01::stimulus_37,This brain response shows valence 7.11 and arousal 6.44.
sub-01::stimulus_38,This brain response shows valence 5.89 and arousal 6.11.
sub-01::stimulus_39,This brain response shows valence 5.89 and arousal 5.11.
sub-01::stimulus_40,This brain response shows valence 7.56 and arousal 5.78.
sub-01::stimulus_41,This brain response shows valence 6.78 and arousal 5.67.
sub-01::stimulus_42,This brain response shows valence 4.89 and arousal 5.44.
sub-01::stimulus_43,This brain response shows valence 6.78 and arousal 5.89.
sub-01::stimulus_44,This brain response shows valence 6.22 and arousal 6.33.
sub-01::stimulus_45,This brain response shows valence 3.00 and arousal 5.67.
sub-01::stimulus_46,This brain response shows valence 2.78 and arousal 5.33.
sub-01::stimulus_47,This brain response shows valence 4.11 and arousal 4.33.
sub-01::stimulus_48,This brain response shows valence 2.00 and arousal 4.56.
sub-01::stimulus_49,This brain response shows valence 5.67 and arousal 5.11.
sub-01::stimulus_50,This brain response shows valence 6.11 and arousal 5.33.
sub-01::stimulus_51,This brain response shows valence 2.78 and arousal 5.11.
sub-01::stimulus_52,This brain response shows valence 5.22 and arousal 5.44.
sub-01::stimulus_53,This brain response shows valence 4.11 and arousal 4.89.
sub-01::stimulus_54,This brain response shows valence 4.67 and arousal 5.78.
sub-01::stimulus_55,This brain response shows valence 6.44 and arousal 6.67.
sub-01::stimulus_56,This brain response shows valence 4.89 and arousal 5.67.
sub-01::stimulus_57,This brain response shows valence 6.22 and arousal 7.11.
sub-01::stimulus_58,This brain response shows valence 7.44 and arousal 6.78.
sub-01::stimulus_59,This brain response shows valence 3.11 and arousal 5.11.
sub-01::stimulus_60,This brain response shows valence 5.00 and arousal 6.33.
sub-01::stimulus_61,This brain response shows valence 4.67 and arousal 4.33.
sub-01::stimulus_62,This brain response shows valence 1.44 and arousal 4.00.
sub-01::stimulus_63,This brain response shows valence 4.67 and arousal 4.56.
sub-01::stimulus_64,This brain response shows valence 5.11 and arousal 4.89.
sub-01::stimulus_65,This brain response shows valence 4.78 and arousal 6.33.
sub-01::stimulus_66,This brain response shows valence 5.44 and arousal 4.67.
sub-01::stimulus_67,This brain response shows valence 1.33 and arousal 3.00.
sub-01::stimulus_68,This brain response shows valence 5.56 and arousal 5.11.
sub-01::stimulus_69,This brain response shows valence 6.00 and arousal 5.56.
sub-01::stimulus_70,This brain response shows valence 5.56 and arousal 4.78.
sub-01::stimulus_71,This brain response shows valence 3.22 and arousal 4.78.
sub-01::stimulus_72,This brain response shows valence 4.11 and arousal 4.11.
sub-01::stimulus_73,This brain response shows valence 2.22 and arousal 5.78.
sub-01::stimulus_74,This brain response shows valence 7.33 and arousal 6.22.
sub-01::stimulus_75,This brain response shows valence 6.11 and arousal 5.22.
sub-01::stimulus_76,This brain response shows valence 5.22 and arousal 5.44.
sub-01::stimulus_77,This brain response shows valence 4.00 and arousal 4.44.
sub-01::stimulus_78,This brain response shows valence 7.22 and arousal 5.44.
sub-01::stimulus_79,This brain response shows valence 2.11 and arousal 4.11.
sub-01::stimulus_80,This brain response shows valence 5.33 and arousal 5.33.
sub-01::stimulus_81,This brain response shows valence 1.44 and arousal 6.33.
sub-01::stimulus_82,This brain response shows valence 6.11 and arousal 5.78.
sub-01::stimulus_83,This brain response shows valence 7.78 and arousal 4.89.
sub-01::stimulus_84,This brain response shows valence 6.22 and arousal 5.56.
sub-01::stimulus_85,This brain response shows valence 6.00 and arousal 5.67.
sub-01::stimulus_86,This brain response shows valence 5.56 and arousal 5.56.
sub-01::stimulus_87,This brain response shows valence 7.00 and arousal 5.33.
sub-01::stimulus_88,This brain response shows valence 6.11 and arousal 5.56.
sub-01::stimulus_89,This brain response shows valence 2.78 and arousal 5.44.
sub-01::stimulus_90,This brain response shows valence 7.33 and arousal 5.56.
sub-01::stimulus_91,This brain response shows valence 6.11 and arousal 5.56.
sub-01::stimulus_92,This brain response shows valence 6.00 and arousal 5.78.
sub-01::stimulus_93,This brain response shows valence 5.56 and arousal 6.22.
sub-01::stimulus_94,This brain response shows valence 6.78 and arousal 4.89.
sub-01::stimulus_95,This brain response shows valence 2.00 and arousal 5.78.
sub-01::stimulus_96,This brain response shows valence 2.67 and arousal 6.67.
sub-01::stimulus_97,This brain response shows valence 4.00 and arousal 6.11.
sub-01::stimulus_98,This brain response shows valence 7.78 and arousal 5.33.
sub-01::stimulus_99,This brain response shows valence 5.56 and arousal 6.00.
sub-01::stimulus_100,This brain response shows valence 8.00 and arousal 7.11.
sub-01::stimulus_101,This brain response shows valence 8.00 and arousal 6.89.
sub-01::stimulus_102,This brain response shows valence 6.78 and arousal 5.89.
sub-01::stimulus_103,This brain response shows valence 5.44 and arousal 4.56.
sub-01::stimulus_104,This brain response shows valence 1.78 and arousal 4.56.
sub-01::stimulus_105,This brain response shows valence 4.11 and arousal 5.44.
sub-01::stimulus_106,This brain response shows valence 3.78 and arousal 4.67.
sub-01::stimulus_107,This brain response shows valence 1.22 and arousal 5.78.
sub-01::stimulus_108,This brain response shows valence 6.00 and arousal 6.11.
sub-01::stimulus_109,This brain response shows valence 2.44 and arousal 6.33.
sub-01::stimulus_110,This brain response shows valence 7.00 and arousal 5.78.
sub-01::stimulus_111,This brain response shows valence 6.78 and arousal 6.11.
sub-01::stimulus_112,This brain response shows valence 6.11 and arousal 6.78.
sub-01::stimulus_113,This brain response shows valence 7.22 and arousal 5.56.
sub-01::stimulus_114,This brain response shows valence 5.67 and arousal 5.78.
sub-01::stimulus_115,This brain response shows valence 5.33 and arousal 6.00.
sub-01::stimulus_116,This brain response shows valence 6.89 and arousal 5.78.
sub-01::stimulus_117,This brain response shows valence 4.67 and arousal 4.00.
sub-01::stimulus_118,This brain response shows valence 4.44 and arousal 5.44.
sub-01::stimulus_119,This brain response shows valence 3.44 and arousal 5.33.
sub-01::stimulus_120,This brain response shows valence 5.78 and arousal 4.33.
sub-01::stimulus_121,This brain response shows valence 5.89 and arousal 5.33.
sub-01::stimulus_122,This brain response shows valence 3.78 and arousal 5.56.
sub-01::stimulus_123,This brain response shows valence 7.67 and arousal 5.22.
sub-01::stimulus_124,This brain response shows valence 2.89 and arousal 3.78.
sub-01::stimulus_125,This brain response shows valence 7.00 and arousal 5.89.
sub-01::stimulus_126,This brain response shows valence 8.33 and arousal 6.33.
sub-01::stimulus_127,This brain response shows valence 2.11 and arousal 6.56.
sub-01::stimulus_128,This brain response shows valence 2.67 and arousal 5.78.
sub-01::stimulus_129,This brain response shows valence 1.67 and arousal 5.89.
sub-01::stimulus_130,This brain response shows valence 5.89 and arousal 6.33.
sub-01::stimulus_131,This brain response shows valence 5.78 and arousal 4.56.
sub-01::stimulus_132,This brain response shows valence 1.89 and arousal 4.89.
sub-01::stimulus_133,This brain response shows valence 1.67 and arousal 5.11.
sub-01::stimulus_134,This brain response shows valence 4.33 and arousal 5.89.
sub-01::stimulus_135,This brain response shows valence 1.67 and arousal 4.22.
sub-01::stimulus_136,This brain response shows valence 2.22 and arousal 3.67.
sub-01::stimulus_137,This brain response shows valence 2.22 and arousal 3.22.
sub-01::stimulus_138,This brain response shows valence 4.78 and arousal 4.89.
sub-01::stimulus_139,This brain response shows valence 4.67 and arousal 5.78.
sub-01::stimulus_140,This brain response shows valence 6.00 and arousal 7.33.
sub-01::stimulus_141,This brain response shows valence 1.67 and arousal 3.33.
sub-01::stimulus_142,This brain response shows valence 6.22 and arousal 4.89.
sub-01::stimulus_143,This brain response shows valence 4.22 and arousal 4.89.
sub-01::stimulus_144,This brain response shows valence 5.00 and arousal 4.00.
sub-01::stimulus_145,This brain response shows valence 4.00 and arousal 7.00.
sub-01::stimulus_146,This brain response shows valence 7.22 and arousal 7.56.
sub-01::stimulus_147,This brain response shows valence 6.56 and arousal 6.22.
sub-01::stimulus_148,This brain response shows valence 5.22 and arousal 7.11.
sub-01::stimulus_149,This brain response shows valence 8.33 and arousal 6.33.
sub-01::stimulus_150,This brain response shows valence 5.89 and arousal 5.89.
sub-01::stimulus_151,This brain response shows valence 8.00 and arousal 5.89.
