sample_id,text
sub-01::stimulus_1,This brain response shows low valence and moderate arousal.
sub-01::stimulus_3,This brain response shows moderate valence and high arousal.
sub-01::stimulus_4,This brain response shows moderate valence and low arousal.
sub-01::stimulus_5,This brain response shows low valence and high arousal.
sub-01::stimulus_7,This brain response shows moderate valence and low arousal.
sub-01::stimulus_8,This brain response shows high valence and low arousal.
sub-01::stimulus_9,This brain response shows low valence and low arousal.
sub-01::stimulus_10,This brain response shows high valence and high arousal.
sub-01::stimulus_11,This brain response shows high valence and high arousal.
sub-01::stimulus_13,This brain response shows high valence and high arousal.
sub-01::stimulus_15,This brain response shows low valence and high arousal.
sub-01::stimulus_16,This brain response shows high valence and high arousal.
sub-01::stimulus_17,This brain response shows high valence and moderate arousal.
sub-01::stimulus_18,This brain response shows low valence and moderate arousal.
sub-01::stimulus_19,This brain response shows high valence and moderate arousal.
sub-01::stimulus_20,This brain response shows moderate valence and high arousal.
sub-01::stimulus_21,This brain response shows low valence and moderate arousal.
sub-01::stimulus_22,This brain response shows moderate valence and high arousal.
sub-01::stimulus_23,This brain response shows high valence and moderate arousal.
sub-01::stimulus_25,This brain response shows low valence and moderate arousal.
sub-01::stimulus_26,This brain response shows high valence and moderate arousal.
sub-01::stimulus_27,This brain response shows low valence and moderate arousal.
sub-01::stimulus_28,This brain response shows low valence and moderate arousal.
sub-01::stimulus_29,This brain response shows high valence and moderate arousal.
sub-01::stimulus_30,This brain response shows low valence and moderate arousal.
sub-01::stimulus_31,This brain response shows low valence and moderate arousal.
sub-01::stimulus_35,This brain response shows high valence and moderate arousal.
sub-01::stimulus_37,This brain response shows high valence and high arousal.
sub-01::stimulus_39,This brain response shows moderate valence and low arousal.
sub-01::stimulus_40,This brain response shows high valence and moderate arousal.
sub-01::stimulus_41,This brain response shows high valence and moderate arousal.
sub-01::stimulus_43,This brain response shows high valence and moderate arousal.
sub-01::stimulus_45,This brain response shows low valence and moderate arousal.
sub-01::stimulus_46,This brain response shows low valence and moderate arousal.
sub-01::stimulus_47,This brain response shows moderate valence and low arousal.
sub-01::stimulus_48,This brain response shows low valence and low arousal.
sub-01::stimulus_49,This brain response shows moderate valence and low arousal.
sub-02::stimulus_1,This brain response shows low valence and moderate arousal.
sub-02::stimulus_3,This brain response shows moderate valence and high arousal.
sub-02::stimulus_4,This brain response shows moderate valence and low arousal.
sub-02::stimulus_5,This brain response shows low valence and high arousal.
sub-02::stimulus_7,This brain response shows moderate valence and low arousal.
sub-02::stimulus_8,This brain response shows high valence and low arousal.
sub-02::stimulus_9,This brain response shows low valence and low arousal.
sub-02::stimulus_10,This brain response shows high valence and high arousal.
sub-02::stimulus_11,This brain response shows high valence and high arousal.
sub-02::stimulus_13,This brain response shows high valence and high arousal.
sub-02::stimulus_15,This brain response shows low valence and high arousal.
sub-02::stimulus_16,This brain response shows high valence and high arousal.
sub-02::stimulus_17,This brain response shows high valence and moderate arousal.
sub-02::stimulus_18,This brain response shows low valence and moderate arousal.
sub-02::stimulus_19,This brain response shows high valence and moderate arousal.
sub-02::stimulus_20,This brain response shows moderate valence and high arousal.
sub-02::stimulus_21,This brain response shows low valence and moderate arousal.
sub-02::stimulus_22,This brain response shows moderate valence and high arousal.
sub-02::stimulus_23,This brain response shows high valence and moderate arousal.
sub-02::stimulus_25,This brain response shows low valence and moderate arousal.
sub-02::stimulus_26,This brain response shows high valence and moderate arousal.
sub-02::stimulus_27,This brain response shows low valence and moderate arousal.
sub-02::stimulus_28,This brain response shows low valence and moderate arousal.
sub-02::stimulus_29,This brain response shows high valence and moderate arousal.
sub-02::stimulus_30,This brain response shows low valence and moderate arousal.
sub-02::stimulus_31,This brain response shows low valence and moderate arousal.
sub-02::stimulus_35,This brain response shows high valence and moderate arousal.
sub-02::stimulus_37,This brain response shows high valence and high arousal.
sub-02::stimulus_39,This brain response shows moderate valence and low arousal.
sub-02::stimulus_40,This brain response shows high valence and moderate arousal.
sub-02::stimulus_41,This brain response shows high valence and moderate arousal.
sub-02::stimulus_43,This brain response shows high valence and moderate arousal.
sub-02::stimulus_45,This brain response shows low valence and moderate arousal.
sub-02::stimulus_46,This brain response shows low valence and moderate arousal.
sub-02::stimulus_47,This brain response shows moderate valence and low arousal.
sub-02::stimulus_48,This brain response shows low valence and low arousal.
sub-02::stimulus_49,This brain response shows moderate valence and low arousal.
