sample_id,text
sub-01::stimulus_1,This brain response shows valence 2.22 and arousal 5.56.
sub-01::stimulus_2,This brain response shows valence 3.67 and arousal 5.33.
sub-01::stimulus_3,This brain response shows valence 6.44 and arousal 6.56.
sub-01::stimulus_4,This brain response shows valence 5.11 and arousal 4.33.
sub-01::stimulus_5,This brain response shows valence 2.56 and arousal 6.78.
sub-01::stimulus_6,This brain response shows valence 6.44 and arousal 5.67.
sub-01::stimulus_7,This brain response shows valence 4.56 and arousal 4.56.
sub-01::stimulus_8,This brain response shows valence 6.78 and arousal 4.00.
sub-01::stimulus_9,This brain response shows valence 3.33 and arousal 5.00.
sub-01::stimulus_10,This brain response shows valence 7.89 and arousal 7.67.
sub-01::stimulus_11,This brain response shows valence 7.67 and arousal 6.78.
sub-01::stimulus_12,This brain response shows valence 6.67 and arousal 5.22.
sub-01::stimulus_13,This brain response shows valence 8.44 and arousal 6.89.
sub-01::stimulus_14,This brain response shows valence 6.00 and arousal 5.89.
sub-01::stimulus_15,This brain response shows valence 3.33 and arousal 6.67.
sub-01::stimulus_16,This brain response shows valence 6.89 and arousal 7.11.
sub-01::stimulus_17,This brain response shows valence 7.11 and arousal 6.33.
sub-01::stimulus_18,This brain response shows valence 3.11 and arousal 6.22.
sub-01::stimulus_19,This brain response shows valence 6.78 and arousal 6.11.
sub-01::stimulus_20,This brain response shows valence 6.44 and arousal 6.44.
sub-01::stimulus_21,This brain response shows valence 1.78 and arousal 6.33.
sub-01::stimulus_22,This brain response shows valence 4.78 and arousal 7.33.
sub-01::stimulus_23,This brain response shows valence 7.33 and arousal 6.22.
sub-01::stimulus_24,This brain response shows valence 3.89 and arousal 5.78.
sub-01::stimulus_25,This brain response shows valence 2.89 and arousal 5.44.
sub-01::stimulus_26,This brain response shows valence 8.00 and arousal 5.22.
sub-01::stimulus_27,This brain response shows valence 2.78 and arousal 5.89.
sub-01::stimulus_28,This brain response shows valence 1.44 and arousal 5.33.
sub-01::stimulus_29,This brain response shows valence 6.89 and arousal 6.33.
sub-01::stimulus_30,This brain response shows valence 1.89 and arousal 6.11.
sub-01::stimulus_31,This brain response shows valence 3.22 and arousal 6.00.
sub-01::stimulus_32,This brain response shows valence 5.89 and arousal 5.89.
sub-01::stimulus_33,This brain response shows valence 6.33 and arousal 5.89.
sub-01::stimulus_34,This brain response shows valence 6.11 and arousal 5.89.
sub-01::stimulus_35,This brain response shows valence 7.00 and arousal 5.89.
sub-01::stimulus_36,This brain response shows valence 5.78 and arousal 5.44.
sub-01::stimulus_37,This brain response shows valence 7.11 and arousal 6.44.
sub-01::stimulus_38,This brain response shows valence 5.89 and arousal 6.11.
sub-01::stimulus_39,This brain response shows valence 5.89 and arousal 5.11.
sub-01::stimulus_40,This brain response shows valence 7.56 and arousal 5.78.
sub-01::stimulus_41,This brain response shows valence 6.78 and arousal 5.67.
sub-01::stimulus_42,This brain response shows valence 4.89 and arousal 5.44.
sub-01::stimulus_43,This brain response shows valence 6.78 and arousal 5.89.
sub-01::stimulus_44,This brain response shows valence 6.22 and arousal 6.33.
sub-01::stimulus_45,This brain response shows valence 3.00 and arousal 5.67.
sub-01::stimulus_46,This brain response shows valence 2.78 and arousal 5.33.
sub-01::stimulus_47,This brain response shows valence 4.11 and arousal 4.33.
sub-01::stimulus_48,This brain response shows valence 2.00 and arousal 4.56.
sub-01::stimulus_49,This brain response shows valence 5.67 and arousal 5.11.
sub-01::stimulus_50,This brain response shows valence 6.11 and arousal 5.33.
sub-02::stimulus_1,This brain response shows valence 2.22 and arousal 5.56.
sub-02::stimulus_2,This brain response shows valence 3.67 and arousal 5.33.
sub-02::stimulus_3,This brain response shows valence 6.44 and arousal 6.56.
sub-02::stimulus_4,This brain response shows valence 5.11 and arousal 4.33.
sub-02::stimulus_5,This brain response shows valence 2.56 and arousal 6.78.
sub-02::stimulus_6,This brain response shows valence 6.44 and arousal 5.67.
sub-02::stimulus_7,This brain response shows valence 4.56 and arousal 4.56.
sub-02::stimulus_8,This brain response shows valence 6.78 and arousal 4.00.
sub-02::stimulus_9,This brain response shows valence 3.33 and arousal 5.00.
sub-02::stimulus_10,This brain response shows valence 7.89 and arousal 7.67.
sub-02::stimulus_11,This brain response shows valence 7.67 and arousal 6.78.
sub-02::stimulus_12,This brain response shows valence 6.67 and arousal 5.22.
sub-02::stimulus_13,This brain response shows valence 8.44 and arousal 6.89.
sub-02::stimulus_14,This brain response shows valence 6.00 and arousal 5.89.
sub-02::stimulus_15,This brain response shows valence 3.33 and arousal 6.67.
sub-02::stimulus_16,This brain response shows valence 6.89 and arousal 7.11.
sub-02::stimulus_17,This brain response shows valence 7.11 and arousal 6.33.
sub-02::stimulus_18,This brain response shows valence 3.11 and arousal 6.22.
sub-02::stimulus_19,This brain response shows valence 6.78 and arousal 6.11.
sub-02::stimulus_20,This brain response shows valence 6.44 and arousal 6.44.
sub-02::stimulus_21,This brain response shows valence 1.78 and arousal 6.33.
sub-02::stimulus_22,This brain response shows valence 4.78 and arousal 7.33.
sub-02::stimulus_23,This brain response shows valence 7.33 and arousal 6.22.
sub-02::stimulus_24,This brain response shows valence 3.89 and arousal 5.78.
sub-02::stimulus_25,This brain response shows valence 2.89 and arousal 5.44.
sub-02::stimulus_26,This brain response shows valence 8.00 and arousal 5.22.
sub-02::stimulus_27,This brain response shows valence 2.78 and arousal 5.89.
sub-02::stimulus_28,This brain response shows valence 1.44 and arousal 5.33.
sub-02::stimulus_29,This brain response shows valence 6.89 and arousal 6.33.
sub-02::stimulus_30,This brain response shows valence 1.89 and arousal 6.11.
sub-02::stimulus_31,This brain response shows valence 3.22 and arousal 6.00.
sub-02::stimulus_32,This brain response shows valence 5.89 and arousal 5.89.
sub-02::stimulus_33,This brain response shows valence 6.33 and arousal 5.89.
sub-02::stimulus_34,This brain response shows valence 6.11 and arousal 5.89.
sub-02::stimulus_35,This brain response shows valence 7.00 and arousal 5.89.
sub-02::stimulus_36,This brain response shows valence 5.78 and arousal 5.44.
sub-02::stimulus_37,This brain response shows valence 7.11 and arousal 6.44.
sub-02::stimulus_38,This brain response shows valence 5.89 and arousal 6.11.
sub-02::stimulus_39,This brain response shows valence 5.89 and arousal 5.11.
sub-02::stimulus_40,This brain response shows valence 7.56 and arousal 5.78.
sub-02::stimulus_41,This brain response shows valence 6.78 and arousal 5.67.
sub-02::stimulus_42,This brain response shows valence 4.89 and arousal 5.44.
sub-02::stimulus_43,This brain response shows valence 6.78 and arousal 5.89.
sub-02::stimulus_44,This brain response shows valence 6.22 and arousal 6.33.
sub-02::stimulus_45,This brain response shows valence 3.00 and arousal 5.67.
sub-02::stimulus_46,This brain response shows valence 2.78 and arousal 5.33.
sub-02::stimulus_47,This brain response shows valence 4.11 and arousal 4.33.
sub-02::stimulus_48,This brain response shows valence 2.00 and arousal 4.56.
sub-02::stimulus_49,This brain response shows valence 5.67 and arousal 5.11.
sub-02::stimulus_50,This brain response shows valence 6.11 and arousal 5.33.
