stim_idx,stim_num_int,stimulus_num,video_path,video_exists,score_0,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,score_26,score_27,score_28,score_29,score_30,score_31,score_32,score_33,arousal_score,dominance_score,valence_score,approach_score,attention_score,certainty_score,commitment_score,control_score,effort_score,fairness_score,identity_score,obstruction_score,safety_score,upswing_score
0,1,stimulus_1,/pscratch/sd/s/sjmoon/EmoFM/videos/CowenEmotionVideos/0001.mp4,True,0.0,0.0,0.083333,0.0,0.083333,0.083333,0.083333,0.0,0.0,0.0,0.16667,0.0,0.0,0.16667,0.0,0.0,0.0,0.0,0.0,0.33333,0.083333,0.083333,0.41667,0.0,0.0,0.0,0.0,0.0,0.16667,0.0,0.0,0.25,0.0,0.0,5.5556,4.5556,2.2222,1.6667,6.1111,3.0,4.0,1.5556,4.1111,2.1111,4.3333,2.8889,1.3333,1.6667
1,2,stimulus_2,/pscratch/sd/s/sjmoon/EmoFM/videos/CowenEmotionVideos/0002.mp4,True,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.083333,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083333,0.0,0.0,0.0,0.16667,0.0,0.5,0.0,0.0,0.083333,0.0,0.0,0.25,0.0,0.0,0.0,5.3333,5.1111,3.6667,3.7778,6.2222,4.6667,4.2222,4.7778,3.1111,4.2222,4.3333,4.1111,4.0,3.0
2,3,stimulus_3,/pscratch/sd/s/sjmoon/EmoFM/videos/CowenEmotionVideos/0003.mp4,True,0.083333,0.0,0.083333,0.66667,0.0,0.0,0.0,0.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333,0.16667,0.33333,0.0,6.5556,4.8889,6.4444,6.1111,7.2222,6.0,6.0,4.5556,2.4444,4.1111,5.1111,3.2222,5.6667,5.2222
3,4,stimulus_4,/pscratch/sd/s/sjmoon/EmoFM/videos/CowenEmotionVideos/0004.mp4,True,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.083333,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083333,0.0,0.0,4.3333,3.8889,5.1111,4.2222,5.1111,5.2222,4.2222,5.5556,2.3333,5.2222,5.6667,2.2222,6.2222,4.8889
4,5,stimulus_5,/pscratch/sd/s/sjmoon/EmoFM/videos/CowenEmotionVideos/0005.mp4,True,0.0,0.0,0.0,0.0,0.0,0.33333,0.0,0.0,0.0,0.0,0.41667,0.0,0.0,0.0,0.0,0.083333,0.0,0.0,0.0,0.083333,0.0,0.083333,0.083333,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.33333,0.0,0.0,6.7778,3.7778,2.5556,1.0,7.5556,3.0,4.4444,1.1111,4.0,3.2222,3.6667,4.0,1.0,1.3333
5,6,stimulus_6,/pscratch/sd/s/sjmoon/EmoFM/videos/CowenEmotionVideos/0006.mp4,True,0.0,0.083333,0.0,0.5,0.0,0.0,0.0,0.0,0.083333,0.0,0.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083333,0.25,0.66667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6667,5.4444,6.4444,5.7778,6.0,5.5556,5.3333,4.6667,2.7778,5.3333,4.6667,3.4444,5.8889,6.1111
6,7,stimulus_7,/pscratch/sd/s/sjmoon/EmoFM/videos/CowenEmotionVideos/0007.mp4,True,0.083333,0.0,0.41667,0.0,0.0,0.0,0.25,0.0,0.0,0.083333,0.25,0.0,0.0,0.0,0.083333,0.0,0.083333,0.0,0.0,0.0,0.0,0.0,0.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5556,4.3333,4.5556,3.3333,7.1111,5.4444,4.4444,5.5556,2.6667,4.6667,2.7778,2.4444,4.5556,5.0
7,8,stimulus_8,/pscratch/sd/s/sjmoon/EmoFM/videos/CowenEmotionVideos/0008.mp4,True,0.0,0.0,0.66667,0.0,0.0,0.083333,0.083333,0.0,0.083333,0.25,0.0,0.0,0.0,0.083333,0.083333,0.0,0.083333,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.083333,0.0,0.0,0.0,0.0,0.0,4.0,3.2222,6.7778,6.3333,6.1111,6.4444,4.1111,8.1111,1.7778,6.1111,3.8889,2.4444,7.7778,5.2222
8,9,stimulus_9,/pscratch/sd/s/sjmoon/EmoFM/videos/CowenEmotionVideos/0009.mp4,True,0.0,0.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.083333,0.0,0.0,0.0,0.0,0.0,0.083333,0.0,0.083333,0.0,0.0,0.083333,0.0,0.66667,0.083333,0.0,0.16667,0.33333,0.0,5.0,3.5556,3.3333,3.3333,6.6667,4.3333,6.5556,3.8889,4.4444,1.5556,4.5556,3.8889,3.1111,5.7778
9,10,stimulus_10,/pscratch/sd/s/sjmoon/EmoFM/videos/CowenEmotionVideos/0010.mp4,True,0.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16667,0.0,0.0,0.0,0.16667,0.0,0.0,0.0,0.0,0.25,0.0,0.083333,0.91667,0.083333,0.0,0.0,7.6667,5.7778,7.8889,7.3333,7.4444,6.3333,6.0,6.2222,3.2222,7.0,6.0,4.4444,6.2222,6.6667
