stimulus_num,fold
1,2
2,2
3,4
4,5
5,1
6,2
7,1
8,4
9,5
10,3
11,1
12,5
13,5
14,4
15,2
16,4
17,1
18,3
19,2
20,3
21,4
22,5
23,2
24,2
25,3
26,4
27,1
28,1
29,5
30,5
31,1
32,5
33,5
34,2
35,5
36,5
37,3
38,3
39,3
40,4
41,4
42,5
43,2
44,4
45,2
46,3
47,3
48,2
49,3
50,2
51,1
52,5
53,2
54,4
55,5
56,5
57,4
58,4
59,4
60,3
61,4
62,2
63,1
64,4
65,5
66,1
67,1
68,4
69,1
70,1
71,3
72,2
73,1
74,3
75,5
76,4
77,5
78,3
79,2
80,4
81,5
82,2
83,5
84,3
85,4
86,3
87,3
88,1
89,3
90,3
91,5
92,4
93,2
94,1
95,2
96,5
97,3
98,4
99,1
100,1
101,5
102,4
103,4
104,5
105,2
106,2
107,5
108,1
109,5
110,5
111,5
112,2
113,5
114,1
115,3
116,5
117,2
118,1
119,1
120,3
121,1
122,5
123,2
124,5
125,3
126,5
127,2
128,3
129,1
130,1
131,4
132,2
133,2
134,1
135,1
136,2
137,1
138,5
139,2
140,1
141,2
142,2
143,4
144,2
145,3
146,2
147,2
148,3
149,4
150,1
151,5
152,1
153,2
154,1
155,5
156,4
157,3
158,1
159,5
160,3
161,2
162,2
163,2
164,5
165,5
166,5
167,5
168,5
169,3
170,4
171,1
172,4
173,5
174,5
175,4
176,4
177,3
178,4
179,1
180,2
181,5
182,5
183,2
184,3
185,3
186,4
187,4
188,3
189,2
190,2
191,2
192,4
193,4
194,2
195,5
196,1
197,4
198,5
199,4
200,5
201,2
202,5
203,3
204,4
205,1
206,1
207,3
208,4
209,1
210,1
211,4
212,4
213,3
214,3
215,1
216,1
217,1
218,3
219,2
220,3
221,1
222,1
223,5
224,3
225,2
226,3
227,3
228,4
229,5
230,5
231,3
232,4
233,5
234,1
235,2
236,5
237,4
238,1
239,4
240,2
241,4
242,4
243,2
244,4
245,3
246,5
247,2
248,5
249,5
250,2
251,2
252,1
253,3
254,1
255,4
256,2
257,3
258,1
259,1
260,5
261,2
262,2
263,5
264,2
265,5
266,4
267,4
